Country Name,Country Code,2011,2012,2013,2014,2015
Aruba,ABW,102053,102577,103187,103795,104341
Afghanistan,AFG,29708599,30696958,31731688,32758020,33736494
Angola,AGO,24218565,25096150,25998340,26920466,27859305
Albania,ALB,2905195,2900401,2895092,2889104,2880703
Andorra,AND,83751,82431,80788,79223,78014
Arab World,ARB,364895878,373306993,381702086,390043028,398304960
United Arab Emirates,ARE,8672475,8900453,9006263,9070867,9154302
Argentina,ARG,41656879,42096739,42539925,42981515,43417765
Armenia,ARM,2875581,2881922,2893509,2906220,2916950
American Samoa,ASM,55320,55230,55307,55437,55537
Antigua and Barbuda,ATG,95719,96777,97824,98875,99923
Australia,AUS,22340024,22742475,23145901,23504138,23850784
Austria,AUT,8391643,8429991,8479375,8541575,8633169
Azerbaijan,AZE,9173082,9295784,9416801,9535079,9649341
Burundi,BDI,9043508,9319710,9600186,9891790,10199270
Belgium,BEL,11047744,11128246,11182817,11209057,11274196
Benin,BEN,9460802,9729160,10004451,10286712,10575952
Burkina Faso,BFA,16081904,16571216,17072723,17585977,18110624
Bangladesh,BGD,153911916,155727053,157571292,159405279,161200886
Bulgaria,BGR,7348328,7305888,7265115,7223938,7177991
Bahrain,BHR,1278269,1300217,1315411,1336397,1371855
"Bahamas, The",BHS,366568,372039,377240,382169,386838
Bosnia and Herzegovina,BIH,3688865,3648200,3604999,3566002,3535961
Belarus,BLR,9473172,9464495,9465997,9474511,9489616
Belize,BLZ,329192,336701,344181,351694,359288
Bermuda,BMU,64564,64798,65001,65139,65250
Bolivia,BOL,10078343,10239004,10400264,10562159,10724705
Brazil,BRA,198686688,200560983,202408632,204213133,205962108
Barbados,BRB,280601,281585,282509,283385,284217
Brunei Darussalam,BRN,394013,399748,405716,411704,417542
Bhutan,BTN,740510,752967,764961,776448,787386
Botswana,BWA,2051339,2089315,2128507,2168573,2209197
Central African Republic,CAF,4476153,4490416,4499653,4515392,4546100
Canada,CAN,34342780,34750545,35152370,35535348,35832513
Central Europe and the Baltics,CEB,104174038,103935318,103713726,103496179,103257751
Switzerland,CHE,7912398,7996861,8089346,8188649,8282396
Channel Islands,CHI,160497,161358,162180,162969,163758
Chile,CHL,17153357,17309746,17462982,17613798,17762681
China,CHN,1344130000,1350695000,1357380000,1364270000,1371220000
Cote d'Ivoire,CIV,20895311,21418603,21966312,22531350,23108472
Cameroon,CMR,20520447,21082383,21655715,22239904,22834522
"Congo, Dem. Rep.",COD,66713597,68978682,71316033,73722860,76196619
"Congo, Rep.",COG,4512730,4633363,4751393,4871101,4995648
Colombia,COL,46406646,46881475,47342981,47791911,48228697
Comoros,COM,706569,723868,741500,759385,777424
Cabo Verde,CPV,508067,513979,520106,526437,532913
Costa Rica,CRI,4600474,4654122,4706401,4757575,4807852
Caribbean small states,CSS,7029022,7074129,7118888,7162679,7204948
Cuba,CUB,11354651,11382146,11412167,11439767,11461432
