Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Mauritius,"2,655.23","2,704.32","2,899.36","2,843.27","2,874.61","“Persons Convicted” means persons found guilty by any legal body authorized to pronounce a conviction under national criminal law, whether or not the conviction was later upheld. The total number of persons convicted should also include persons convicted of serious special law offences but exclude persons convicted of minor road traffic offences, misdemeanours and other petty offences. Data supplied by countries may","When using the figures, any cross-national comparison should be conducted with caution because of legal and procedural differences that exist across national criminal justice systems.",https://data.unodc.org/#state:1
Zimbabwe,,,,,,,,
Cameroon,,,97.85,,,,,
Algeria,37.7,35.31,30.93,31.22,53.92,,,
Egypt,,,,,,,,
Morocco,,,,,,,,
South Africa,642.69,601.01,586.56,574.39,600.8,,,
Burkina Faso,,,,,,,,
Barbados*,,,,438.27,405.8,,,
Dominican Republic,,,,,,,,
Grenada,"1,627.33","1,663.40",,,,,,
Jamaica,10.5,12.94,28.19,29.77,,,,
Saint Kitts and Nevis*,765.81,,,,,,,
Belize,,,,32.03,,,,
Costa Rica,218.01,244.3,260.09,257.93,,,,
El Salvador,106.66,123.39,134.11,143.93,147.08,,,
Guatemala,77.21,,,230.94,,,,
Honduras,250.2,,,,94.96,,,
Mexico*,137.58,123.48,129.14,43.67,55.54,,,
Nicaragua,,,,,,,,
Panama*,297.01,236.6,201.26,217.06,209.67,,,
Bermuda,,,"14,486.10",,,,,
Canada,847.37,825.52,792.59,661.71,,,,
United States of America,35.38,33.56,33.99,,,,,
Argentina,32.05,42.46,46.52,46.88,54.2,,,
Bolivia (Plurinational State of),,,,,,,,
Chile,151.28,146.76,141.05,138.51,146.43,,,
Colombia,186.34,138.88,129.6,126.62,152.86,,,
Ecuador,,,,,,,,
Guyana,338.87,317.23,294.81,290,270.5,,,
Paraguay,29.62,42.68,58.62,59.76,81.24,,,
Peru,227.21,222.76,284.26,268.56,286.48,,,
Kazakhstan,212.71,178.81,196.8,191.63,233.96,,,
Kyrgyzstan,247.75,217.57,198.76,191.78,193.23,,,
Tajikistan,,,,,188.75,,,
Turkmenistan,,,,,,,,
China,92.79,103.65,102.07,104.24,,,,
"China, Hong Kong Special Administrative Region",317.2,295.84,276.03,,,,,
"China, Macao Special Administrative Region*",948.13,768.78,644.81,706.64,674.82,,,
Japan,61.22,59.42,54.67,54.42,,,,
Mongolia,412.62,409.4,388.85,393.2,365.4,,,
Republic of Korea,491.72,479.6,476.86,522.81,,,,
Malaysia,,,,,,,,
Philippines,,,,,,,,
Thailand,"1,231.09","1,299.37","1,375.82","1,345.16","1,362.32",,,
Nepal,,,,,,,,
Armenia,171.06,160.21,,122.23,116.95,,,
Azerbaijan,198.77,186.43,182.82,184.36,,,,
Cyprus,"9,874.03","8,001.23","6,695.59","7,471.47","5,787.58",,,
Georgia,528.37,,,513.26,,,,
Iraq (Central Iraq),39.84,32.67,36.69,,,,,
Israel,,,,,,,,
Saudi Arabia,,,,,446.29,,,
State of Palestine,,,,,,,,
Syrian Arab Republic,,,,,,,,
Turkey,"2,368.53","2,740.62","2,905.66","2,531.96",,,,
United Arab Emirates,,,,,,,,
Belarus,,,,512.41,,,,
Bulgaria,623.35,585.51,532.69,503.28,446.04,,,
Czechia,781.66,795.14,871.58,817.56,737.8,,,
Hungary,967.2,857.16,796.8,887.24,,,,
Poland,"1,346.50","1,293.70","1,116.61",932.12,820.28,,,
Republic of Moldova,252.61,,,293.15,,,,
Romania,271.43,285.67,275.54,236.44,252.6,,,
Russian Federation,635.35,604.2,605.44,598.35,614.75,,,
