Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Burundi,,352.33,380.66,392.31,,"“Formal Contact” with the police and/or criminal justice system may include persons suspected, or arrested or cautioned, for a criminal offence, at the national level.",": When using the figures, any cross-national comparison should be conducted with caution because of legal and procedural differences that exist across national criminal justice systems.",https://data.unodc.org/#state:1
Kenya,388.77,386.16,364.92,341.16,296.08,,,
Madagascar,336.73,283.73,278.32,218.29,140.52,,,
Mauritius,"2,059.82",,,,,,,
Mozambique,,,,,,,,
Uganda,317.01,326.01,353.13,338.99,,,,
United Republic of Tanzania,277.69,253.63,,225.55,196.95,,,
Algeria,668.48,685.96,705.93,974.91,"1,142.55",,,
Egypt,98.3,,,,,,,
Morocco,,"1,527.81","3,158.10",,,,,
Sudan,,,,,,,,
Botswana,"15,688.85",,,"12,085.75",,,,
Swaziland,,,,,,,,
Cabo Verde,,,"5,397.85","5,534.18","4,855.52",,,
Cote d'Ivoire,,,,,,,,
Bahamas,,,,,,,,
Barbados,"1,473.78","1,388.68","1,372.90","1,121.00","1,198.15",,,
Dominican Republic,,,,560.57,,,,
Grenada,"8,516.01","7,804.40","7,054.78",,"6,364.21",,,
Saint Kitts and Nevis,"3,016.58",,,,,,,
Trinidad and Tobago,403.95,396.62,323.63,337.09,307.01,,,
Belize,"2,108.70","2,082.91","2,165.07","2,947.24",,,,
Costa Rica,,,,,,,,
El Salvador,"1,269.20","1,220.05","1,015.32","1,006.25",867.79,,,
Guatemala,465.52,495.72,543.24,577.38,,,,
Honduras,159.81,267.4,274.54,,415.27,,,
Mexico*,"2,177.11","1,872.02","1,462.09","2,064.97","2,226.78",,,
Nicaragua,,,,,,,,
Bermuda,,,,,,,,
Canada,"2,023.57","2,010.07","1,900.66","1,838.51","1,844.71",,,
United States of America,"4,591.03","4,514.07","4,190.20","4,134.35","3,972.17",,,
Chile,"3,643.74","3,432.10","3,091.34","2,920.02","2,889.23",,,
Colombia,627.99,724.27,751.57,740.47,693.28,,,
Ecuador,225.01,246.51,265.45,294.36,,,,
Guyana,"8,833.44","7,979.24","8,450.71",,"9,551.67",,,
Paraguay,470.36,532.28,518.24,520.18,288.7,,,
Peru,352.39,436.96,440.38,441.51,440.44,,,
Uruguay*,"2,517.89","3,595.97",,,"3,435.11",,,
Kazakhstan,661.65,777.79,808.58,844.29,856.76,,,
Kyrgyzstan,410.32,435.33,424.98,422.27,359.03,,,
Tajikistan,221.1,,,,,,,
Turkmenistan,,,,,,,,
"China, Hong Kong Special Administrative Region",513.37,532.14,512.39,,,,,
"China, Macao Special Administrative Region*","1,441.65","1,427.31","1,668.87","1,672.20","1,714.34",,,
Japan,213.32,207.37,192.84,189.85,,,,
Mongolia,905.04,976.02,"1,092.11","1,146.66","1,178.23",,,
Republic of Korea,,,,,,,,
Brunei Darussalam,,,,,,,,
Myanmar,51.51,55.08,59.51,60.99,,,,
Philippines*,,,,,,,,
Singapore*,416.79,396.66,363.2,369.05,340.79,,,
Thailand,122.94,127.83,108.2,120.01,142.37,,,
Bangladesh,,,,,,,,
India,392.2,399.2,421.65,,,,,
Maldives,"2,177.03","2,583.42","2,844.35",,,,,
Nepal,,,,,,,,
Sri Lanka,369.36,366.06,356.98,,,,,
Armenia*,510.9,500.44,481.11,453.93,450.51,,,
Azerbaijan,,242.75,206.11,212.83,,,,
Bahrain,,,,,,,,
Cyprus*,696.11,696.74,640.16,599.72,555.4,,,
Georgia,,,,,,,,
Iraq (Central Iraq),340.91,379.92,389.04,353.24,,,,
Israel,"3,617.82",,,,,,,
Lebanon,"3,016.23","2,730.82","2,725.40",,,,,
Qatar,,,,,,,,
State of Palestine,,,,,,,,
Syrian Arab Republic,,,,,,,,
Turkey,"2,734.63","3,006.98",,,,,,
United Arab Emirates,,"1,930.50",,,,,,
Yemen,,,,,,,,
Belarus,812.59,649.6,616.72,615.98,,,,
Bulgaria,741.27,668.37,653.51,605.41,630.24,,,
Czechia,"1,259.83","1,241.39","1,300.68","1,267.45","1,128.96",,,
Hungary,"1,710.35","1,609.43","1,589.87","1,329.91",,,,
Poland,"1,501.75","1,447.71","1,280.31","1,093.00",966.85,,,
Republic of Moldova*,59.14,57.66,46.66,473.15,,,,
Romania,"1,237.76","1,407.51","1,422.68","1,254.32","1,114.63",,,
Russian Federation,832.95,813.46,815.77,818.45,880.46,,,
Slovakia,"1,138.07","1,153.31","1,135.28","1,057.39",983.04,,,
Ukraine,,,,,,,,
Denmark,,,,,,,,
Estonia*,"1,668.07",,,,,,,
Finland*,"6,155.88","5,811.25","5,672.83","5,407.56","5,402.35",,,
Iceland,"1,558.50","1,458.83",,"1,446.61","1,499.41",,,
Ireland,,,,,,,,
Latvia,"1,333.08","1,351.68","1,232.07","1,255.03","1,342.18",,,
Lithuania,767.23,981.69,"1,057.19","1,050.85",973.26,,,
Norway,850.31,827.08,846.28,825.74,,,,
Sweden,"1,423.15","1,377.30","1,254.69","1,219.45","1,212.20",,,
United Kingdom (Northern Ireland),,,,,,,,
Albania,756.09,881.96,933.15,"1,281.28","1,439.56",,,
Andorra,"4,957.72","4,110.11","3,516.82","3,869.89",,,,
Bosnia and Herzegovina,836.61,857.81,788,756.63,670.81,,,
Croatia,796.48,709.11,584.54,526.65,525.37,,,
Greece*,"1,413.65","1,330.55","1,031.78","1,061.79","1,182.06",,,
Italy,"1,750.47","1,813.91","1,899.33","1,899.74","1,856.15",,,
Malta,"1,403.38","1,425.90","1,465.81","1,476.08","1,493.20",,,
Montenegro,"1,010.56",841.49,915.11,831.95,737.09,,,
Portugal,"2,350.45","2,350.23","2,226.04","2,067.32","2,115.78",,,
Serbia,672.98,649.29,671.75,641.68,631.56,,,
Slovenia,"1,045.74","1,013.32","1,013.17","1,010.43",891.77,,,
Spain*,929.37,911.28,913.15,873.79,941.55,,,
The former Yugoslav Republic of Macedonia,"1,093.94",932.99,971.07,933.69,,,,
Austria,"3,232.20","3,246.47","3,287.16","3,156.80","3,120.64",,,
Belgium,"2,478.01","2,399.33","2,405.94","2,394.07","2,182.58",,,
France*,"1,956.69","1,918.65","1,831.66","1,844.68","1,800.86",,,
Germany*,"2,696.57","2,698.74","2,714.92","2,790.22","3,050.13",,,
Liechtenstein*,"4,318.86",,,"5,420.40",,,,
Luxembourg,"5,247.47","5,562.47","5,642.80","6,035.58",,,,
Monaco,,,,,,,,
Netherlands,"2,422.96","2,354.24","2,232.88","2,067.17","1,811.93",,,
Switzerland*,"1,625.93","1,699.95","1,714.23","1,562.25","1,592.54",,,
Australia,"1,582.16","1,571.35","1,654.30","1,726.62","1,751.51",,,
New Zealand,"4,942.55","4,591.46","4,034.55",,,,,
