Country,Year,Number,Definition,Interpretation,Link
Tunisia,2013,0.52,n/a,"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.",https://data.unodc.org/#state:1
El Salvador,2014,1.76,,,
Panama,2015,0.75,,,
Canada,2015,0.35,,,
Mexico,2011,0.3,,,
United States of America,2015,3.1,,,
United States of America,2014,2.6,,,
Argentina,2011,1.3,,,
Bolivia (Plurinational State of),2013,1.87,,,
Chile,2014,1.2,,,
Chile,2012,1.53,,,
Colombia,2013,0.53,,,
Uruguay,2014,2.2,,,
Uruguay,2011,1.3,,,
Venezuela (Bolivarian Republic of),2011,2.13,,,
"China, Hong Kong SAR",2013,0.02,,,
"China, Hong Kong SAR",2012,0.02,,,
Indonesia,2012,0.84,,,
Indonesia,2015,0.19,,,
Pakistan,2012,1.4,,,
Moldova (Republic of),2011,0.5,,,
Bulgaria,2012,4.8,,,
Croatia,2015,17.3,,,
Croatia,2011,16.2,,,
Romania,2013,0.7,,,
Turkey,2011,5.1,,,
Austria,2015,8.9,,,
Cyprus,2012,4.2,,,
Czechia,2013,12.3,,,
Czechia,2014,18.3,,,
Finland,2014,1.8,,,
Germany,2012,5.4,,,
Hungary,2015,5.09,,,
Italy,2013-14,13.8,,,
Italy,2012,3.85,,,
Latvia,2011,7.2,,,
Netherlands,2014,0.5,,,
Norway,2015,4.3,,,
Norway,2014,4.5,,,
Poland,2012,2.2,,,
Portugal,2012,0.6,,,
Spain,2013,0.9,,,
Spain,2011,1.2,,,
Sweden,2013,2.78,,,
United Kingdom (England and Wales),2015/16,0.38,,,
United Kingdom (England and Wales),2014/15,0.5,,,
United Kingdom (Scotland),2014/15,0.6,,,
United Kingdom (Scotland),2012/13,0.8,,,
Australia,2014,1.6,,,
