Country,Year,Number,Definition,Interpretation,Link
Tunisia,2013,,n/a,"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.",https://data.unodc.org/#state:1
El Salvador,2014,1.52,,,
Panama,2015,0.67,,,
Canada,2015,,,,
Mexico,2011,0.3,,,
United States of America,2015,3.2,,,
United States of America,2014,2.7,,,
Argentina,2011,1.2,,,
Bolivia (Plurinational State of),2013,2.07,,,
Chile,2014,0.97,,,
Chile,2012,1.33,,,
Colombia,2013,0.55,,,
Uruguay,2014,2,,,
Uruguay,2011,1.2,,,
Venezuela (Bolivarian Republic of),2011,1.76,,,
"China, Hong Kong SAR",2013,0.03,,,
"China, Hong Kong SAR",2012,0.04,,,
Indonesia,2012,0.76,,,
Indonesia,2015,0.35,,,
Pakistan,2012,1.3,,,
Moldova (Republic of),2011,0.49,,,
Bulgaria,2012,3,,,
Croatia,2015,13.1,,,
Croatia,2011,11.4,,,
Romania,2013,1.1,,,
Turkey,2011,3,,,
Austria,2015,8.1,,,
Cyprus,2012,3,,,
Czechia,2013,12.6,,,
Czechia,2014,15.5,,,
Finland,2014,2.2,,,
Germany,2012,4.6,,,
Hungary,2015,4.88,,,
Italy,2013-14,10.4,,,
Italy,2012,2.94,,,
Latvia,2011,4.3,,,
Netherlands,2014,0.2,,,
Norway,2015,3.1,,,
Norway,2014,3.9,,,
Poland,2012,1.4,,,
Portugal,2012,0.6,,,
Spain,2013,0.8,,,
Spain,2011,1.1,,,
Sweden,2013,2.7,,,
United Kingdom (England and Wales),2015/16,,,,
United Kingdom (England and Wales),2014/15,0.7,,,
United Kingdom (Scotland),2014/15,0.93,,,
United Kingdom (Scotland),2012/13,1.4,,,
Australia,2014,1.8,,,
