Country,Year,Number,Definition,Interpretation,Link
Albania,,,," * Definitions of treatment interventions, recording practices (including counting rules) and methods for determining the primary drug of abuse differ from country to country; percentages may fail to add up to 100 per cent owing to incomplete reporting, gaps in identifying primary drug of abuse and treatment for multiple drugs. ",
Andorra,2015,5.3,,,
Austria,2014,7,,,
Belarus,2011/2014***,1.1,,,
Belgium,2015,13.2,,,
Bosnia and Herzegovina,2010-2015,0.8,,,
Bulgaria,2015,4.1,,,
Croatia,2015,2,,,
Cyprus,2013,2.7,,,
Czechia,2015,69.9,,,
Denmark,2013,6.5,,,
Estonia,2015,2.1,,,
Finland,2014,14.1,,,
France,2014,1.1,,,
Germany,2014,16.3,,,
Gibraltar,,,,,
Greece,2014,0.2,,,
Macedonia (TFYR),,,,,
Hungary,2015,16.6,,,
Iceland,,,,,
Ireland,2014,1.2,,,
Italy,2015,0.3,,,
Latvia,2015,17.6,,,
Liechtenstein,2015,,,,
Lithuania,2015,,,,
Luxembourg,2015,,,,
Malta,2014,1.7,,,
Moldova (Republic of),2011/ 2013***,1.3,,,
Monaco,2013,,,,
Montenegro,2015,,,,
Netherlands,2014,7.3,,,
Norway,2014,13.7,,,
Poland,2014,36.7,,,
Portugal,2015,0.5,,,
Romania,2015,0.9,,,
Russian Federation,2014,-,,,
Serbia,2015,,,,
Slovakia,2015,41.8,,,
Slovenia,2014,1.1,,,
Spain,2014,1.8,,,
Sweden,2014,11.5,,,
Switzerland,,0.8,,,
Turkey,2015,2.8,,,
Ukraine,2015,,,,
United Kingdom,2014,4.9,,,
