Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Zambia,2012,0.87,Gram,n/a,n/a,https://data.unodc.org/#state:23
Côte d'Ivoire,2015,96.4,Gram,,,
El Salvador,2014,3.9,Gram,,,
Mexico,2014,0.25,Gram,,,
Argentina,2012,3,Gram,,,
Chile,2015,30.08,Gram,,,
Armenia,2015,4,Gram,,,
Armenia,2014,22,Gram,,,
Armenia,2013,1,Gram,,,
Armenia,2011,"3,999.90",Gram,,,
Georgia,2013,0,Gram,,,
Kazakhstan,2015,0.01,Gram,,,
Kazakhstan,2012,7,Gram,,,
China,2015,"1,187",Gram,,,
China,2012,1.3,Gram,,,
"China, Macao SAR",2012,"1,321.08",Gram,,,
Indonesia,2015,"1,134.40",Gram,,,
Lebanon,2015,0.5,Gram,,,
Republic of Moldova,2013,26.2,Gram,,,
Republic of Moldova,2012,135,Gram,,,
Bosnia and Herzegovina,2015,"7,400.00",Gram,,,
Bosnia and Herzegovina,2014,"18,381.10",Gram,,,
Bosnia and Herzegovina,2012,"30,771.57",Gram,,,
Montenegro,2011,406,Gram,,,
Romania,2015,375.67,Gram,,,
Andorra,2015,4.2,Gram,,,
Andorra,2014,6.37,Gram,,,
Andorra,2012,48.80,Gram,,,
Andorra,2011,1.5,Gram,,,
Czechia,2014,442,Gram,,,
Iceland,2015,"32,849",Gram,,,
Iceland,2013,"34,189",Gram,,,
Iceland,2012,"12,169",Gram,,,
Iceland,2011,32,Gram,,,
Ireland,2012,"22,809",Gram,,,
Latvia,2012,"9,392.51",Gram,,,
Latvia,2011,108,Gram,,,
Liechtenstein,2013,27.29,Gram,,,
Malta,2015,1.00,Gram,,,
Malta,2014,7.80,Gram,,,
Malta,2013,5,Gram,,,
Malta,2012,20.19,Gram,,,
Malta,2011,0.5,Gram,,,
Netherlands,2011,"782,270.68",Gram,,,
Netherlands,2011,"538,200",Gram,,,
New Zealand,2015,"1,343.61",Gram,,,
,,,,,,
Uganda,2011,10.00,Kilogram,,,
South Africa,2015,0,Kilogram,,,
Burkina Faso,2014,335,Kilogram,,,
Burkina Faso,2013,"8,538",Kilogram,,,
Côte d'Ivoire,2014,1,Kilogram,,,
Côte d'Ivoire,2013,"1,254",Kilogram,,,
Niger,2013,7.00,Kilogram,,,
Niger,2012,7,Kilogram,,,
Nigeria,2015,4.83,Kilogram,,,
Nigeria,2014,0.05,Kilogram,,,
Nigeria,2013,19.3,Kilogram,,,
Haiti,2014,0.03,Kilogram,,,
Guatemala,2015,"12,700.81",Kilogram,,,
Guatemala,2014,"1,531.70",Kilogram,,,
Nicaragua,2014,3.20,Kilogram,,,
Canada,2015,187,Kilogram,,,
Canada,2014,33,Kilogram,,,
Canada,2013,34.71,Kilogram,,,
Canada,2012,36,Kilogram,,,
Canada,2011,1,Kilogram,,,
Mexico,2015,301,Kilogram,,,
Mexico,2013,2,Kilogram,,,
Mexico,2012,0,Kilogram,,,
United States of America,2015,"2,747.78",Kilogram,,,
United States of America,2014,"4,291",Kilogram,,,
United States of America,2013,"3,431.50",Kilogram,,,
United States of America,2012,"1,979.45",Kilogram,,,
United States of America,2011,536.08,Kilogram,,,
Argentina,2015,6.78,Kilogram,,,
Argentina,2014,26.59,Kilogram,,,
Chile,2014,0.0025,Kilogram,,,
Venezuela (Bolivarian Republic of),2013,0.33,Kilogram,,,
Venezuela (Bolivarian Republic of),2011,1.98,Kilogram,,,
Georgia,2015,60,Kilogram,,,
Georgia,2014,0.06,Kilogram,,,
China,2014,18,Kilogram,,,
China,2012,12.1,Kilogram,,,
China,2014,0.97,Kilogram,,,
