Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Canada,2014,0.04,Litre,n/a,n/a,https://data.unodc.org/#state:23
Canada,2013,2,Litre,,,
Lebanon,2012,92,Litre,,,
Lebanon,2012,92,Litre,,,
Belgium,2014,200,Litre,,,
Belgium,2013,300,Litre,,,
Netherlands,2012,35,Litre,,,
Poland,2013,50,Litre,,,
Australia,2014,5,Litre,,,
,,,,,,
Canada,2015,0.5,Millilitre,,,
United States of America,2013,"8,924,259",Millilitre,,,
Iceland,2011,"1,588",Millilitre,,,
Slovenia,2011,3,Millilitre,,,
