Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Egypt,2015,"9,715,806",Pill,n/a,n/a,https://data.unodc.org/#state:23
Costa Rica,2012,15,Pill,,,
United States of America,2015,"9,982",Pill,,,
United States of America,2014,976,Pill,,,
United States of America,2012,432,Pill,,,
United States of America,2011,"147,312",Pill,,,
Bolivia (Plurinational State of),2015,"718,582",Pill,,,
Bolivia (Plurinational State of),2014,"2,029",Pill,,,
Lebanon,2014,"35,276,219",Pill,,,
Lebanon,2013,"11,700,086",Pill,,,
Saudi Arabia,2015,"63,087,602",Pill,,,
State of Palestine,2014,392,Pill,,,
Syrian Arab Republic,2013,"6,072,157",Pill,,,
Syrian Arab Republic,2012,"5,483,446",Pill,,,
Yemen,2012,"255,079",Pill,,,
