Country,ATS-type,Unit,Retail level typical price,Year
China,Amphetamine,Tablets,20.4,2013
Myanmar,Amphetamine,Tablets,3.8,2015
Philippines,Amphetamine,Tablets,,
Qatar,Amphetamine,Tablets,,
Saudi Arabia,Amphetamine,Tablets,,2015
Austria,Amphetamine,Tablets,7.7,2015
Bulgaria,Amphetamine,Tablets,5.5,2015
Cyprus,Amphetamine,Tablets,77.3,2012
Germany,Amphetamine,Tablets,,
Italy,Amphetamine,Tablets,41.2,2015
Latvia,Amphetamine,Tablets,8.2,2015
Montenegro,Amphetamine,Tablets,7.7,2015
Poland,Amphetamine,Tablets,,
Serbia,Amphetamine,Tablets,,
Turkey,Amphetamine,Tablets,,2015
Turkey,Amphetamine,Tablets,,2015
New Zealand,Amphetamine,Tablets,41.3,2015
