Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Mexico,2013,843,Unit,n/a,n/a,https://data.unodc.org/#state:23
Mexico,2011,590,Unit,,,
Argentina,2015,"1,394",Unit,,,
Argentina,2014,"5,059",Unit,,,
Argentina,2013,"21,426",Unit,,,
Argentina,2012,"38,447",Unit,,,
Argentina,2011,500,Unit,,,
Bolivia (Plurinational State of),2012,"10,000",Unit,,,
Bolivia (Plurinational State of),2011,"22,227",Unit,,,
Chile,2013,569,Unit,,,
Chile,2012,263,Unit,,,
Israel,2014,122,Unit,,,
Jordan,2013,"22,515,206",Unit,,,
Jordan,2012,"15,849,192",Unit,,,
Lebanon,2015,"15,065,081",Unit,,,
Lebanon,2011,"499,326",Unit,,,
Bosnia and Herzegovina,2015,628,Unit,,,
Greece,2013,1,Unit,,,
Italy,2011,"1,157",Unit,,,
Poland,2015,"3,755",Unit,,,
Poland,2012,59,Unit,,,
Spain,2015,"458,681",Unit,,,
Spain,2014,"439,173",Unit,,,
Spain,2013,"506,986",Unit,,,
Spain,2012,"181,696",Unit,,,
Switzerland,2014,"1,083",Unit,,,
