Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Burundi,5.1,4.49,4.12,5.08,,"""Serious Assault"" means the intentional or reckless application of serious physical force inflicted upon the body of a person resulting in serious bodily injury. Serious physical force, at minimum, includes being shot, stabbed, cut, hit by an object or poisoned. ""Serious Assault"" should exclude the application of minor physical force (such as hitting, slapping or pushing), resulting in no injury or minor bodily injury. ""Sexual assault"", ""Threat"" and ""Assault leading to death"" should also be excluded.","When using the figures, any cross-national comparison should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, the different methods of offence counting and recording and differences in the share of criminal offences that are not reported to or detected by law enforcement authorities (i.e. the dark figure).",https://data.unodc.org/#state:0
Kenya,34.68,34.16,31.3,31.09,32.4,,,
Madagascar,15.84,9.49,11.97,10.78,9.03,,,
Mauritius,18.35,,,,,,,
Mozambique,,,,,,,,
Rwanda,23.93,29.37,29.78,,,,,
Uganda,55.52,50.93,45.67,38.4,,,,
United Republic of Tanzania,,,,3.54,4.42,,,
Zimbabwe,,,,,,,,
Cameroon*,25.01,26.61,25.35,31.51,20.58,,,
Sao Tome and Principe,2.29,,,,,,,
Algeria*,124.05,139.66,142.65,138.32,123.76,,,
Egypt,0.4,,,,,,,
Morocco,,89.25,202.56,,,,,
Botswana,770.35,,,758.9,,,,
Lesotho,,,,,,,,
Swaziland,,,,,,,,
Cabo Verde,813.88,821.77,791.12,801.12,807.87,,,
Cote d'Ivoire,,,,,,,,
Guinea,,,,,,,,
Nigeria,,9.15,9.54,,,,,
Senegal,,,,,,,,
Sierra Leone,,,,,,,,
Bahamas,891.16,841.06,,,,,,
Barbados,467.57,521.34,442.47,516.97,518.62,,,
Dominican Republic,,58.46,,48.31,,,,
Grenada,"1,176.36","1,244.83","1,316.31","1,342.75",462.44,,,
Jamaica*,,205.72,178.02,,,,,
Puerto Rico,78.17,73.95,64.89,67.14,76.29,,,
Saint Kitts and Nevis,258.5,,,,,,,
Saint Vincent and the Grenadines,"1,138.64","1,017.07",,,,,,
Trinidad and Tobago,40.08,43.16,40.2,41.2,44.11,,,
Belize,,274.13,,296.27,,,,
Costa Rica,160,139.17,174.68,,,,,
El Salvador*,60.79,69.63,70.97,64.18,96.09,,,
Guatemala,41.44,39.6,38.31,37.28,,,,
Honduras,47.83,26.2,22.07,,16.43,,,
Mexico*,176.25,173.6,171.1,31.85,35.78,,,
Nicaragua,,,,,,,,
Panama,157.09,145.87,111.31,105.05,72.36,,,
Bermuda,879.23,873.71,841.13,702.19,922.52,,,
Canada,156.4,152.97,139.82,135.91,140.25,,,
United States of America,240.86,242.06,229.17,228.86,237.57,,,
Argentina,,,,415.57,417.63,,,
Bolivia (Plurinational State of),66.4,72.53,,,,,,
Brazil,357.67,362.11,323.85,,,,,
Chile,133.5,113.94,103.71,98.25,88.96,,,
Colombia,134,175.3,175.17,172.06,180.18,,,
Ecuador,41.57,53.45,54.66,46.72,,,,
Guyana*,,"1,301.01",854.23,,"1,208.34",,,
Paraguay,31.97,31.73,12.95,11.89,10.32,,,
Peru,69.61,82.97,85.6,80.09,78.97,,,
Uruguay,15.18,13.81,12.5,13.74,13.58,,,
Kazakhstan,11.85,9.9,7.96,5.51,5.11,,,
Kyrgyzstan,8.68,7.33,5.33,6.5,6.04,,,
Tajikistan,48.17,,,,,,,
Turkmenistan,,,,,,,,
