Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Armenia,2012,1.3,Gram,,,
Mongolia,2013,10.15,Gram,,,
Bosnia and Herzegovina,2012,"4,000",Gram,,,
Romania,2015,45.23,Gram,,,
Romania,2014,0.1,Gram,,,
Romania,2013,0.73,Gram,,,
Serbia,2012,"12,874",Gram,,,
Andorra,2014,8.9,Gram,,,
Andorra,2013,54,Gram,,,
Andorra,2012,5.2,Gram,,,
Andorra,2011,19.07,Gram,,,
Republic of Korea,2015,69,Kilogram,,,
Republic of Korea,2014,64,Kilogram,,,
Viet Nam,2014,352,Kilogram,,,
Viet Nam,2013,118,Kilogram,,,
Sri Lanka,2014,0.19,Kilogram,,,
Russian Federation,2015,140.3,Kilogram,,,
Russian Federation,2014,727.8,Kilogram,,,
Russian Federation,2013,434.3,Kilogram,,,
Russian Federation,2012,286.8,Kilogram,,,
Russian Federation,2011,100.12,Kilogram,,,
Ukraine,2014,4.54,Kilogram,,,
Ukraine,2013,11.79,Kilogram,,,
Ukraine,2012,2.19,Kilogram,,,
Bosnia and Herzegovina,2015,0.02,Kilogram,,,
Bosnia and Herzegovina,2011,9.18,Kilogram,,,
Montenegro,2015,1.3,Kilogram,,,
Montenegro,2014,0.54,Kilogram,,,
Serbia,2011,4.74,Kilogram,,,
Liechtenstein,2012,0.05,Kilogram,,,
Liechtenstein,2011,0.01,Kilogram,,,
Lithuania,2015,3.26,Kilogram,,,
Spain,2012,250.89,Kilogram,,,
Spain,2011,278.29,Kilogram,,,
Australia,2014,"6,163.11",Kilogram,,,
Australia,2013,"3,152.65",Kilogram,,,
Australia,2012,"1,330.27",Kilogram,,,
