Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Zambia,2015,58.6,Gram,n/a,n/a,https://data.unodc.org/#state:23
Zambia,2014,427.1,Gram,,,
Canada,2015,0.8,Gram,,,
Canada,2013,55.6,Gram,,,
Canada,2012,33,Gram,,,
Canada,2011,15.78,Gram,,,
"China, Macao SAR",2013,14.31,Gram,,,
"China, Taiwan Province of China",2013,13.6,Gram,,,
Belarus,2013,0.88,Gram,,,
Russian Federation,2015,159,Gram,,,
Russian Federation,2011,24,Gram,,,
Russian Federation,2011,84.9,Gram,,,
Romania,2013,1.5,Gram,,,
Czechia,2015,26.4,Gram,,,
Ireland,2014,4.98,Gram,,,
Latvia,2014,0.04,Gram,,,
Latvia,2013,2.54,Gram,,,
Latvia,2011,101.9,Gram,,,
,,,,,,
Canada,2014,0.19,Kilogram,,,
United States of America,2015,1.51,Kilogram,,,
United States of America,2014,41,Kilogram,,,
United States of America,2013,0.51,Kilogram,,,
United States of America,2012,"2,470.17",Kilogram,,,
United States of America,2011,19.58,Kilogram,,,
China,2011,0.01,Kilogram,,,
India,2014,15,Kilogram,,,
Russian Federation,2014,5.3,Kilogram,,,
Russian Federation,2013,1.4,Kilogram,,,
Russian Federation,2012,2.9,Kilogram,,,
Russian Federation,2012,1.1,Kilogram,,,
Russian Federation,2011,8.87,Kilogram,,,
Bulgaria,2014,0.1,Kilogram,,,
Romania,2012,0.0017,Kilogram,,,
Romania,2011,0.001,Kilogram,,,
Belgium,2015,0.02,Kilogram,,,
Estonia,2011,0.04,Kilogram,,,
Hungary,2014,0.03,Kilogram,,,
Hungary,2012,0.01,Kilogram,,,
Hungary,2011,0.001,Kilogram,,,
Italy,2013,0.00024,Kilogram,,,
Norway,2011,0.008,Kilogram,,,
Portugal,2013,10.6,Kilogram,,,
Australia,2015,15.96,Kilogram,,,
Australia,2014,7.59,Kilogram,,,
Australia,2013,6.14,Kilogram,,,
Australia,2012,6.86,Kilogram,,,
Australia,2011,7.47,Kilogram,,,
