Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Zambia,2015,27,Gram,n/a,n/a,https://data.unodc.org/#state:23
Zambia,2014,218.4,Gram,,,
Zambia,2012,139.02,Gram,,,
Zambia,2012,27,Gram,,,
Côte d'Ivoire,2013,"3,422.09",Gram,,,
Argentina,2014,730,Gram,,,
Chile,2014,115.84,Gram,,,
Armenia,2012,39.6,Gram,,,
Azerbaijan,2013,46.92,Gram,,,
Brunei Darussalam,2015,4.06,Gram,,,
China,2013,2,Gram,,,
"China, Taiwan Province of China",2015,"3,835.70",Gram,,,
"China, Taiwan Province of China",2015,832.1,Gram,,,
"China, Taiwan Province of China",2015,"1,809.20",Gram,,,
"China, Taiwan Province of China",2015,17,Gram,,,
"China, Taiwan Province of China",2014,7.6,Gram,,,
"China, Taiwan Province of China",2014,66.1,Gram,,,
"China, Taiwan Province of China",2014,879.2,Gram,,,
"China, Taiwan Province of China",2014,"3,038.30",Gram,,,
"China, Taiwan Province of China",2014,8.5,Gram,,,
"China, Taiwan Province of China",2013,14.4,Gram,,,
"China, Taiwan Province of China",2013,14.6,Gram,,,
"China, Taiwan Province of China",2013,"10,703.10",Gram,,,
"China, Taiwan Province of China",2013,63.3,Gram,,,
"China, Taiwan Province of China",2012,28,Gram,,,
"China, Taiwan Province of China",2012,"116,044.70",Gram,,,
"China, Taiwan Province of China",2012,16.7,Gram,,,
"China, Taiwan Province of China",2012,6,Gram,,,
"China, Taiwan Province of China",2011,5.6,Gram,,,
"China, Taiwan Province of China",2011,"11,964.80",Gram,,,
"China, Taiwan Province of China",2011,16.3,Gram,,,
Belarus,2013,1.3,Gram,,,
Russian Federation,2015,4,Gram,,,
Russian Federation,2014,716,Gram,,,
Russian Federation,2014,110.13,Gram,,,
Russian Federation,2012,39.9,Gram,,,
Russian Federation,2011,14.14,Gram,,,
Romania,2015,0.3,Gram,,,
Romania,2014,2.73,Gram,,,
Romania,2013,0.17,Gram,,,
Estonia,2014,143,Gram,,,
Estonia,2013,125,Gram,,,
Estonia,2012,61,Gram,,,
Ireland,2012,"16,786",Gram,,,
Latvia,2012,"2,457.84",Gram,,,
Latvia,2012,75.67,Gram,,,
Latvia,2011,"2,436.98",Gram,,,
Malta,2011,4.43,Gram,,,
Portugal,2015,20.61,Gram,,,
Portugal,2013,1,Gram,,,
,,,,,,
Côte d'Ivoire,2015,3.82,Kilogram,,,
Côte d'Ivoire,2014,6.57,Kilogram,,,
Côte d'Ivoire,2014,0.71,Kilogram,,,
Canada,2015,8.7,Kilogram,,,
Canada,2014,3.56,Kilogram,,,
Canada,2013,8.97,Kilogram,,,
Canada,2012,50.6,Kilogram,,,
Canada,2011,29.13,Kilogram,,,
United States of America,2015,0.91,Kilogram,,,
United States of America,2015,80.49,Kilogram,,,
United States of America,2015,0.83,Kilogram,,,
United States of America,2014,"4,831",Kilogram,,,
United States of America,2013,0.51,Kilogram,,,
United States of America,2012,63.32,Kilogram,,,
United States of America,2011,550,Kilogram,,,
Argentina,2015,0.89,Kilogram,,,
Venezuela (Bolivarian Republic of),2015,0.34,Kilogram,,,
Kazakhstan,2014,0.00001,Kilogram,,,
Kazakhstan,2014,0.01,Kilogram,,,
China,2012,10.09,Kilogram,,,
China,2011,1.6,Kilogram,,,
Thailand,2015,"2,008",Kilogram,,,
India,2015,452,Kilogram,,,
India,2014,95.87,Kilogram,,,
India,2014,4.9,Kilogram,,,
Belarus,2013,0.06,Kilogram,,,
Russian Federation,2014,27.32,Kilogram,,,
Russian Federation,2013,6.5,Kilogram,,,
Russian Federation,2012,6.8,Kilogram,,,
Russian Federation,2012,2.9,Kilogram,,,
Russian Federation,2011,3.1,Kilogram,,,
Russian Federation,2011,3.93,Kilogram,,,
Bulgaria,2014,15.5,Kilogram,,,
Romania,2012,0.00481,Kilogram,,,
Romania,2011,0.009,Kilogram,,,
Estonia,2011,0.23,Kilogram,,,
Hungary,2012,0.01,Kilogram,,,
Ireland,2015,27.54,Kilogram,,,
Ireland,2014,8.73,Kilogram,,,
Italy,2013,14.56,Kilogram,,,
Latvia,2015,2.24,Kilogram,,,
Latvia,2014,1.25,Kilogram,,,
Latvia,2013,2.06,Kilogram,,,
Lithuania,2014,0.92,Kilogram,,,
Norway,2011,6.84,Kilogram,,,
Slovenia,2014,0.07,Kilogram,,,
Slovenia,2013,0.86,Kilogram,,,
Slovenia,2012,0.18,Kilogram,,,
Slovenia,2011,0.005,Kilogram,,,
Sweden,2015,0.7,Kilogram,,,
Sweden,2014,0.5,Kilogram,,,
Sweden,2013,0.92,Kilogram,,,
Australia,2015,62.75,Kilogram,,,
Australia,2014,0.62,Kilogram,,,
Australia,2013,24.55,Kilogram,,,
Australia,2012,11.99,Kilogram,,,
Australia,2011,40.48,Kilogram,,,
