Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Mauritius,,,,13,,“Annual Prevalence Rate of Bribery means the percentage of individuals who were asked or expected by any public official to pay a bribe for his or her services in the last calendar year or the last 12 months.,"Data that refer to the above specification of the indicator are not yet available. However, relevant data for the indicator have been produced by countries and were collected by UNODC in the annual United Nations Crime Trends Survey (UN-CTS) and ad-hoc corruption surveys in cooperation with UNODC. See sources and definitions used further below.",https://data.unodc.org/#state:1
United Republic of Tanzania,,,,,,,,
South Africa,,,,,,,,
Jamaica,,,,,,,,
Trinidad and Tobago,,,,,,,,
Mexico,,,12.1,,12.6,,,
Chile,0.4,0.3,0.1,0.1,,,,
Paraguay,,,,,,,,
Venezuela (Bolivarian Republic of),,,,,,,,
Republic of Korea,-,-,-,0,,,,
Philippines,,,,,,,,
Philippines,,,4.3,,,,,
Timor-Leste,4,,,,,,,
Afghanistan,,50.1,,,,,,
Iraq,11.6,,,,,,,
Poland,,,,,,,,
Estonia,,,,,,,,
Albania,,,,,,,,
Bosnia and Herzegovina,,,,,,,,
Croatia,,,,,,,,
Kosovo under UNSCR 1244,,,,,,,,
Montenegro,,,,,,,,
Serbia,,,,,,,,
The former Yugoslav Republic of Macedonia,,,,,,,,
Luxembourg,,,0.6,,,,,
