Country,Year,Number,Definition,Interpretation,Link
Pakistan,2014/2015,-,,"Definitions of treatment interventions, recording practices (including counting rules) and methods for determining the primary drug of abuse differ from country to country; percentages may fail to add up to 100 per cent owing to incomplete reporting, gaps in identifying primary drug of abuse and treatment for multiple drugs. ",https://data.unodc.org/#state:44
Afghanistan,2015,7.20%,,,
Armenia,2015,3.40%,,,
Brunei Darussalam,2015,2.90%,,,
China,2015,-,,,
Cambodia,2015,,,,
India,2015,79.40%,,,
Iran (Islamic Republic of),2015,,,,
Israel,2015,,,,
Jordan,2015,73.00%,,,
Kyrgyzstan,2015,9.30%,,,
Lao People's Democratic Republic,2015,0.10%,,,
Lebanon,2015,20.20%,,,
"China, Macao SAR",2015,4.80%,,,
Malaysia,2015,2.70%,,,
Myanmar,2015,0.10%,,,
Philippines,2015,16.70%,,,
Korea (Republic of),2015,-,,,
Saudi Arabia,2015,25.80%,,,
Singapore,2015,6.90%,,,
Sri Lanka,2015,39.30%,,,
Tajikistan,2015,1.40%,,,
Thailand,2015,7.20%,,,
Uzbekistan,2015,34.10%,,,
Viet Nam,2015,,,,
Indonesia,2014,25.20%,,,
Kazakhstan,2014,22.80%,,,
Azerbaijan,2013,0.50%,,,
Mongolia,2013,6.70%,,,
Oman,2013,53.70%,,,
Georgia,2012,0.30%,,,
