Country,Year,Number,Definition,Interpretation,Link
Albania,,5.6,N/A," * Definitions of treatment interventions, recording practices (including counting rules) and methods for determining the primary drug of abuse differ from country to country; percentages may fail to add up to 100 per cent owing to incomplete reporting, gaps in identifying primary drug of abuse and treatment for multiple drugs. ",
Andorra,2015,43.6,,,
Austria,2014,36,,,
Belarus,2011/2014***,0.6,,,
Belgium,2015,33.7,,,
Bosnia and Herzegovina,2010-2015,4.4,,,
Bulgaria,2015,2.8,,,
Croatia,2015,19.5,,,
Cyprus,2013,58.2,,,
Czechia,2015,11.9,,,
Denmark,2013,68.8,,,
Estonia,2015,3.5,,,
Finland,2014,20.5,,,
France,2014,48.1,,,
Germany,2014,39.8,,,
Gibraltar,,,,,
Greece,2014,4.9,,,
Macedonia (TFYR),,,,,
Hungary,2015,56.2,,,
Iceland,,,,,
Ireland,2014,29.6,,,
Italy,2015,10.7,,,
Latvia,2015,23.3,,,
Liechtenstein,2015,-,,,
Lithuania,2015,,,,
Luxembourg,2015,-,,,
Malta,2014,9,,,
Moldova (Republic of),2011/ 2013***,64.7,,,
Monaco,2013,83.9,,,
Montenegro,2015,-,,,
Netherlands,2014,47.6,,,
Norway,2014,24.2,,,
Poland,2014,14.8,,,
Portugal,2015,35.1,,,
Romania,2015,39.3,,,
Russian Federation,2014,100,,,
Serbia,2015,,,,
Slovakia,2015,22.6,,,
Slovenia,2014,14.2,,,
Spain,2014,33.9,,,
Sweden,2014,22.2,,,
Switzerland,,,,,
Turkey,2015,6,,,
Ukraine,2015,,,,
United Kingdom,2014,25.2,,,
