Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Armenia,2015,105,Gram,n/a,n/a,https://data.unodc.org/#state:23
Armenia,2013,0.3,Gram,,,
Armenia,2012,33.6,Gram,,,
Armenia,2011,73.41,Gram,,,
Georgia,2011,17.96,Gram,,,
Kazakhstan,2014,54.7,Gram,,,
Kazakhstan,2012,16.05,Gram,,,
Cambodia,2011,"8,138.80",Gram,,,
Lebanon,2015,0.75,Gram,,,
Lebanon,2011,178,Gram,,,
State of Palestine,2013,34.1,Gram,,,
State of Palestine,2011,0.22,Gram,,,
Republic of Moldova,2013,41.9,Gram,,,
Albania,2014,"11,154.40",Gram,,,
Greece,2012,0.68,Gram,,,
Iceland,2015,25.38,Gram,,,
Liechtenstein,2013,135,Gram,,,
Luxembourg,2015,60,Gram,,,
Portugal,2015,90.73,Gram,,,
,,,,,,
Madagascar,2013,39,Kilogram,,,
Egypt,2015,375,Kilogram,,,
Cuba,2011,7.42,Kilogram,,,
Jamaica,2013,80.9,Kilogram,,,
Jamaica,2012,42.22,Kilogram,,,
Jamaica,2011,169.59,Kilogram,,,
Canada,2015,25.1,Kilogram,,,
Canada,2014,8.22,Kilogram,,,
Canada,2013,23.2,Kilogram,,,
Canada,2012,27.79,Kilogram,,,
Canada,2011,47.46,Kilogram,,,
United States of America,2015,445.6,Kilogram,,,
United States of America,2014,2.78,Kilogram,,,
United States of America,2013,252.24,Kilogram,,,
United States of America,2012,"1,418.74",Kilogram,,,
United States of America,2011,343.82,Kilogram,,,
Armenia,2014,0.01,Kilogram,,,
Georgia,2014,0.01,Kilogram,,,
Republic of Korea,2015,0.19,Kilogram,,,
India,2011,5,Kilogram,,,
Belarus,2014,0.005,Kilogram,,,
Belarus,2013,0.22,Kilogram,,,
Belarus,2012,0.14,Kilogram,,,
Republic of Moldova,2014,0.07,Kilogram,,,
Russian Federation,2015,443.99,Kilogram,,,
Russian Federation,2014,362.5,Kilogram,,,
Russian Federation,2013,381.6,Kilogram,,,
Russian Federation,2012,534.5,Kilogram,,,
Russian Federation,2011,485.05,Kilogram,,,
Austria,2015,0.69,Kilogram,,,
Austria,2014,0.27,Kilogram,,,
Austria,2013,0.67,Kilogram,,,
Austria,2012,0.1,Kilogram,,,
Austria,2011,0.5,Kilogram,,,
Estonia,2014,0.09,Kilogram,,,
Estonia,2013,0.03,Kilogram,,,
France,2014,2.2,Kilogram,,,
France,2013,25,Kilogram,,,
France,2012,0.007,Kilogram,,,
France,2011,0.46,Kilogram,,,
Germany,2015,38.72,Kilogram,,,
Germany,2014,0.38,Kilogram,,,
Greece,2015,38.36,Kilogram,,,
Greece,2014,5.23,Kilogram,,,
Greece,2013,0.26,Kilogram,,,
Greece,2011,0.4,Kilogram,,,
Hungary,2015,0.01,Kilogram,,,
Hungary,2014,0.03,Kilogram,,,
Hungary,2012,0.01,Kilogram,,,
Hungary,2011,0.03,Kilogram,,,
Ireland,2015,0.03,Kilogram,,,
Italy,2015,4.09,Kilogram,,,
Italy,2014,5.39,Kilogram,,,
Italy,2013,46.14,Kilogram,,,
Italy,2012,0.94,Kilogram,,,
Italy,2011,0.78,Kilogram,,,
Norway,2015,0.15,Kilogram,,,
Norway,2014,0.74,Kilogram,,,
Norway,2013,1.9,Kilogram,,,
Norway,2012,0.5,Kilogram,,,
Norway,2011,0.01,Kilogram,,,
Spain,2015,2.19,Kilogram,,,
Spain,2014,105,Kilogram,,,
Spain,2013,53,Kilogram,,,
Spain,2012,2.18,Kilogram,,,
Spain,2011,63.8,Kilogram,,,
Switzerland,2015,1.4,Kilogram,,,
Switzerland,2014,0.14,Kilogram,,,
Switzerland,2013,0.35,Kilogram,,,
Switzerland,2012,4.27,Kilogram,,,
Switzerland,2011,2,Kilogram,,,
Australia,2015,3.47,Kilogram,,,
Australia,2014,3.49,Kilogram,,,
Australia,2013,9.75,Kilogram,,,
Australia,2012,0.01,Kilogram,,,
Australia,2011,0.02,Kilogram,,,
New Zealand,2015,0.87,Kilogram,,,
New Zealand,2014,0.99,Kilogram,,,
New Zealand,2013,0.69,Kilogram,,,
New Zealand,2012,1.8,Kilogram,,,
New Zealand,2011,77.6,Kilogram,,,
