Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Madagascar,2015,59.5,Litre,n/a,n/a,https://data.unodc.org/#state:23
Canada,2015,9,Litre,,,
Canada,2014,517,Litre,,,
Canada,2012,24,Litre,,,
Canada,2011,27,Litre,,,
Argentina,2011,116,Litre,,,
Albania,2015,5.82,Litre,,,
Albania,2012,0.5,Litre,,,
Albania,2011,1.58,Litre,,,
Romania,2012,0.00128,Litre,,,
Turkey,2015,11,Litre,,,
Turkey,2012,0.21,Litre,,,
Belgium,2015,0.5,Litre,,,
France,2015,8,Litre,,,
Germany,2013,0.41,Litre,,,
Germany,2012,0.04,Litre,,,
Germany,2011,0.06,Litre,,,
Poland,2015,2,Litre,,,
Sweden,2015,2,Litre,,,
Australia,2014,1,Litre,,,
Australia,2011,12,Litre,,,
,,,,,,
South Africa,2015,250,Millilitre,,,
Canada,2013,"2,126",Millilitre,,,
United States of America,2015,"18,225",Millilitre,,,
United States of America,2014,"3,575",Millilitre,,,
United States of America,2013,"123,730",Millilitre,,,
United States of America,2012,"3,705",Millilitre,,,
United States of America,2011,"20,242",Millilitre,,,
Japan,2012,"2,210",Millilitre,,,
Japan,2011,770,Millilitre,,,
Republic of Moldova,2012,179,Millilitre,,,
Bosnia and Herzegovina,2015,10.5,Millilitre,,,
Romania,2015,31,Millilitre,,,
Serbia,2015,532,Millilitre,,,
Italy,2015,620,Millilitre,,,
Italy,2014,312,Millilitre,,,
Italy,2013,"5,260",Millilitre,,,
Italy,2012,200,Millilitre,,,
Italy,2011,40,Millilitre,,,
Poland,2014,42,Millilitre,,,
Sweden,2014,942,Millilitre,,,
Sweden,2012,3,Millilitre,,,
Sweden,2011,41,Millilitre,,,
Australia,2015,15,Millilitre,,,
Australia,2012,"2,620",Millilitre,,,
