Country,Cannabis-type,Retail Level Price Typical,Year 
Madagascar,Cannabis oil,,
zambia,Cannabis oil,0.9,2008
anguilla,Cannabis oil,12.5,2005
Bahamas,Cannabis oil,35,2004
jamaica,Cannabis oil,,
Canada,Cannabis oil,21.5,2014
United States of America,Cannabis oil,,
Indonesia,Cannabis oil,,2011
Jordan,Cannabis oil,,
Kyrgyzstan,Cannabis oil,,
Maldives,Cannabis oil,76.9,2006
Russian Federation,Cannabis oil,19.9,2011
Albania,Cannabis oil,,
Austria,Cannabis oil,,
Belgium,Cannabis oil,,
Germany,Cannabis oil,,
Greece,Cannabis oil,20.7,2009
Italy,Cannabis oil,,
Malta,Cannabis oil,,
Poland,Cannabis oil,38.8,2015
Portugal,Cannabis oil,,
Romania,Cannabis oil,,
Spain,Cannabis oil,15,2015
Switzerland,Cannabis oil,,
United Kingdom,Cannabis oil,,2014
Australia,Cannabis oil,51.8,2012
New Zealand,Cannabis oil,27.5,2015
