Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Sudan,2014,"10,314,000",Gram,n/a,n/a,https://data.unodc.org/#state:23
Sudan,2013,"13,630,000",Gram,,,
Sudan,2012,"23,988,000",Gram,,,
Sudan,2011,"34,501,000",Gram,,,
Zambia,2014,"44,207,431",Gram,,,
Zambia,2012,"32,499,180.20",Gram,,,
Zambia,2011,"53,696,257.50",Gram,,,
Armenia,2015,"10,489",Gram,,,
Armenia,2014,"7,932.50",Gram,,,
Georgia,2015,"199,460.34",Gram,,,
Kazakhstan,2015,"810,000",Gram,,,
Kazakhstan,2014,"142,165",Gram,,,
Kazakhstan,2012,"117,728.20",Gram,,,
Philippines,2015,"767,306.04",Gram,,,
Syrian Arab Republic,2015,"26,580",Gram,,,
Bosnia and Herzegovina,2015,"8,452",Gram,,,
Andorra,2013,689.5,Gram,,,
Iceland,2015,"7,221.16",Gram,,,
Iceland,2013,"47,512",Gram,,,
Iceland,2012,"32,093",Gram,,,
Iceland,2011,12.68,Gram,,,
Ireland,2011,"26,531",Gram,,,
Latvia,2012,"334,931.38",Gram,,,
Liechtenstein,2013,80,Gram,,,
,,,,,,
Madagascar,2013,293,Kilogram,,,
Mauritius,2011,102.9,Kilogram,,,
Morocco,2014,"12,752.54",Kilogram,,,
Morocco,2012,"154,400",Kilogram,,,
Namibia,2012,"2,254.90",Kilogram,,,
Zambia,2015,"114,377.06",Kilogram,,,
Sierra Leone,2015,"2,346",Kilogram,,,
Sierra Leone,2014,"2,898.60",Kilogram,,,
Bahamas,2013,204.6,Kilogram,,,
Bahamas,2011,"2,112",Kilogram,,,
Cuba,2014,141.4,Kilogram,,,
Cuba,2013,"1,188.20",Kilogram,,,
Cuba,2012,"1,251.10",Kilogram,,,
Dominica,2014,"3,795.40",Kilogram,,,
Dominica,2013,"14,451.40",Kilogram,,,
Dominica,2012,"15,346.40",Kilogram,,,
Dominica,2011,"12,656.80",Kilogram,,,
Dominican Republic,2013,129.7,Kilogram,,,
Dominican Republic,2012,76.5,Kilogram,,,
Dominican Republic,2011,85.5,Kilogram,,,
Grenada,2014,705.5,Kilogram,,,
Grenada,2013,899,Kilogram,,,
Grenada,2011,666.5,Kilogram,,,
Haiti,2012,"2,500",Kilogram,,,
Jamaica,2014,"62,295.10",Kilogram,,,
Jamaica,2012,"1,570,600",Kilogram,,,
Trinidad and Tobago,2014,"38,265",Kilogram,,,
Trinidad and Tobago,2013,"89,430",Kilogram,,,
Belize,2014,"6,331",Kilogram,,,
Belize,2013,"14,585.20",Kilogram,,,
Belize,2012,"4,132.50",Kilogram,,,
Belize,2011,"2,963.50",Kilogram,,,
El Salvador,2011,58.2,Kilogram,,,
Honduras,2013,407.9,Kilogram,,,
Honduras,2012,270.8,Kilogram,,,
Panama,2013,4.4,Kilogram,,,
Canada,2015,638.2,Kilogram,,,
Argentina,2015,14.78,Kilogram,,,
Bolivia (Plurinational State of),2015,"57,400.67",Kilogram,,,
Bolivia (Plurinational State of),2014,"161,521.42",Kilogram,,,
Bolivia (Plurinational State of),2011,"380,213.27",Kilogram,,,
Guyana,2015,"849,564",Kilogram,,,
Guyana,2013,"124,000",Kilogram,,,
Guyana,2012,"135,751.10",Kilogram,,,
Peru,2013,"342,311.50",Kilogram,,,
Peru,2012,"979,640",Kilogram,,,
Peru,2011,"156,872.30",Kilogram,,,
Venezuela (Bolivarian Republic of),2014,609.7,Kilogram,,,
Venezuela (Bolivarian Republic of),2013,49.22,Kilogram,,,
Armenia,2013,64.84,Kilogram,,,
Azerbaijan,2014,"239,441.34",Kilogram,,,
Azerbaijan,2014,40.3,Kilogram,,,
Azerbaijan,2013,"4,539.30",Kilogram,,,
Azerbaijan,2012,"4,756.60",Kilogram,,,
Azerbaijan,2012,37.1,Kilogram,,,
Azerbaijan,2011,20.57,Kilogram,,,
Georgia,2014,"5,420.80",Kilogram,,,
Georgia,2013,217.78,Kilogram,,,
Georgia,2012,"3,655",Kilogram,,,
Georgia,2011,19.96,Kilogram,,,
Kyrgyzstan,2015,"9,817.01",Kilogram,,,
Kyrgyzstan,2014,"8,900.42",Kilogram,,,
Kyrgyzstan,2013,"12,946",Kilogram,,,
Kyrgyzstan,2012,"10,421.57",Kilogram,,,
Kyrgyzstan,2011,"14,578",Kilogram,,,
China,2015,51.47,Kilogram,,,
Japan,2013,0.04,Kilogram,,,
Japan,2012,33.84,Kilogram,,,
Japan,2011,39.28,Kilogram,,,
Philippines,2014,"1,436.11",Kilogram,,,
Thailand,2015,"2,156.75",Kilogram,,,
Thailand,2011,"1,353",Kilogram,,,
Lebanon,2015,253,Kilogram,,,
Lebanon,2012,770,Kilogram,,,
Pakistan,2015,574,Kilogram,,,
Pakistan,2015,"5,293",Kilogram,,,
State of Palestine,2012,83,Kilogram,,,
Syrian Arab Republic,2012,"3,594",Kilogram,,,
Syrian Arab Republic,2011,"1,480",Kilogram,,,
Bangladesh,2014,21.9,Kilogram,,,
Bangladesh,2013,66.6,Kilogram,,,
Bangladesh,2012,48.5,Kilogram,,,
India,2012,598.5,Kilogram,,,
Sri Lanka,2011,"203,500.88",Kilogram,,,
Republic of Moldova,2015,"8,000",Kilogram,,,
Russian Federation,2015,"1,597.33",Kilogram,,,
Ukraine,2015,41.29,Kilogram,,,
Ukraine,2014,37.88,Kilogram,,,
Bulgaria,2015,"37,774.50",Kilogram,,,
Bulgaria,2014,"21,516",Kilogram,,,
Bulgaria,2012,196.58,Kilogram,,,
Bulgaria,2012,"1,991.53",Kilogram,,,
Romania,2015,293.23,Kilogram,,,
Romania,2014,40.24,Kilogram,,,
Romania,2013,85.96,Kilogram,,,
Romania,2012,16.53,Kilogram,,,
Austria,2015,687.46,Kilogram,,,
Austria,2014,281.31,Kilogram,,,
Austria,2013,195.79,Kilogram,,,
Austria,2012,172.94,Kilogram,,,
Austria,2011,219.5,Kilogram,,,
Cyprus,2015,"2,814",Kilogram,,,
Denmark,2015,449.49,Kilogram,,,
Denmark,2014,675,Kilogram,,,
Denmark,2012,"1,401",Kilogram,,,
Estonia,2015,11.79,Kilogram,,,
Estonia,2014,12.59,Kilogram,,,
Estonia,2013,16.82,Kilogram,,,
Estonia,2012,6.63,Kilogram,,,
Estonia,2011,29.28,Kilogram,,,
Finland,2015,125,Kilogram,,,
Finland,2014,189,Kilogram,,,
Finland,2013,63,Kilogram,,,
Finland,2012,66,Kilogram,,,
Finland,2011,42,Kilogram,,,
France,2013,"14,137.40",Kilogram,,,
Greece,2015,"60,922",Kilogram,,,
Latvia,2015,20.09,Kilogram,,,
Latvia,2014,11.48,Kilogram,,,
Latvia,2013,344.4,Kilogram,,,
Latvia,2011,496.67,Kilogram,,,
Liechtenstein,2012,2,Kilogram,,,
Netherlands,2014,"2,000",Kilogram,,,
Norway,2015,62.1,Kilogram,,,
Norway,2014,275.5,Kilogram,,,
Norway,2013,152.62,Kilogram,,,
Norway,2012,140.94,Kilogram,,,
Norway,2011,209.49,Kilogram,,,
Portugal,2015,45.43,Kilogram,,,
Portugal,2013,2.58,Kilogram,,,
Portugal,2011,35.12,Kilogram,,,
Slovakia,2014,496,Kilogram,,,
Spain,2012,"39,932.18",Kilogram,,,
Spain,2011,"26,108.37",Kilogram,,,
Switzerland,2015,655,Kilogram,,,
Switzerland,2014,"1,511",Kilogram,,,
Switzerland,2013,"1,351",Kilogram,,,
Switzerland,2012,642,Kilogram,,,
Switzerland,2011,"1,854",Kilogram,,,
Australia,2015,"75,526.67",Kilogram,,,
Australia,2014,"12,389.57",Kilogram,,,
Australia,2013,75.82,Kilogram,,,
Australia,2012,3.86,Kilogram,,,
Australia,2011,92.78,Kilogram,,,
