Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
South Africa,2015,"1,027",Seeds,n/a,n/a,https://data.unodc.org/#state:23
Cuba,2011,"17,465",Seeds,,,
Canada,2015,436,Seeds,,,
Canada,2014,568,Seeds,,,
Canada,2013,312,Seeds,,,
Canada,2012,"1,109",Seeds,,,
Canada,2011,149,Seeds,,,
Argentina,2015,"40,459",Seeds,,,
Argentina,2014,"52,927",Seeds,,,
Chile,2012,376,Seeds,,,
Indonesia,2012,"2,002",Seeds,,,
Philippines,2014,"735,739",Seeds,,,
Lebanon,2011,204,Seeds,,,
State of Palestine,2014,"49,564",Seeds,,,
State of Palestine,2013,"10,663",Seeds,,,
State of Palestine,2012,"3,560",Seeds,,,
State of Palestine,2011,"6,485",Seeds,,,
Bosnia and Herzegovina,2015,39,Seeds,,,
Bosnia and Herzegovina,2012,"1,035",Seeds,,,
Bulgaria,2011,18,Seeds,,,
Croatia,2011,"7,518",Seeds,,,
Kosovo under UNSCR 1249,2015,141,Seeds,,,
Kosovo under UNSCR 1260,2014,"5,165",Seeds,,,
Belgium,2015,"13,464",Seeds,,,
Greece,2015,"9,560",Seeds,,,
Greece,2014,"14,021",Seeds,,,
Greece,2012,"7,603",Seeds,,,
Greece,2011,"5,931",Seeds,,,
Iceland,2013,32,Seeds,,,
Iceland,2012,21,Seeds,,,
Iceland,2011,1,Seeds,,,
Italy,2011,"92,311",Seeds,,,
Malta,2015,"100,222",Seeds,,,
Malta,2014,376,Seeds,,,
Malta,2013,54,Seeds,,,
Malta,2012,73,Seeds,,,
Malta,2011,61,Seeds,,,
Portugal,2015,"5,767",Seeds,,,
Portugal,2014,"3,015",Seeds,,,
Portugal,2013,"36,468",Seeds,,,
Portugal,2011,"1,952",Seeds,,,
Sweden,2014,"53,000",Seeds,,,
Switzerland,2015,"25,398",Seeds,,,
Australia,2014,"2,676",Seeds,,,
Australia,2013,462,Seeds,,,
Australia,2012,896,Seeds,,,
Australia,2011,"11,232",Seeds,,,
New Zealand,2015,"67,111",Seeds,,,
New Zealand,2014,"115,237",Seeds,,,
New Zealand,2013,"371,229.66",Seeds,,,
New Zealand,2012,"233,219",Seeds,,,
New Zealand,2011,"146,799",Seeds,,,
