Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Algeria,2015,309,Gram,n/a,n/a,https://data.unodc.org/#state:23
Algeria,2013,36.3,Gram,,,
Algeria,2012,127.4,Gram,,,
Zambia,2014,"101,183",Gram,,,
Zambia,2012,"93,600.60",Gram,,,
Zambia,2011,"83,023.79",Gram,,,
Argentina,2012,"29,397.22",Gram,,,
Argentina,2011,"37,464",Gram,,,
Chile,2013,470,Gram,,,
Uruguay,2013,671,Gram,,,
Uruguay,2012,10,Gram,,,
Indonesia,2015,6.28,Gram,,,
Indonesia,2014,378.33,Gram,,,
Indonesia,2012,284.91,Gram,,,
Philippines,2015,"29,250.99",Gram,,,
State of Palestine,2014,925.6,Gram,,,
State of Palestine,2013,171.6,Gram,,,
Syrian Arab Republic,2013,680,Gram,,,
Albania,2014,"1,826",Gram,,,
Bosnia and Herzegovina,2011,230,Gram,,,
The former Yugoslav Republic of Macedonia,2013,90.62,Gram,,,
Andorra,2015,12,Gram,,,
Iceland,2015,1.9,Gram,,,
Luxembourg,2015,30.5,Gram,,,
Portugal,2015,696.11,Gram,,,
Uganda,2012,200,Kilogram,,,
Algeria,2014,9.17,Kilogram,,,
Algeria,2011,39.92,Kilogram,,,
Egypt,2014,67.67,Kilogram,,,
Egypt,2013,63,Kilogram,,,
Egypt,2012,3.4,Kilogram,,,
Egypt,2011,4.71,Kilogram,,,
Sudan,2014,630,Kilogram,,,
Sudan,2013,622,Kilogram,,,
Zambia,2015,256.5,Kilogram,,,
Cuba,2014,0.21,Kilogram,,,
Cuba,2013,1.65,Kilogram,,,
Cuba,2012,0.25,Kilogram,,,
Dominica,2014,305,Kilogram,,,
Dominica,2013,6.7,Kilogram,,,
Dominica,2012,1.1,Kilogram,,,
Dominica,2011,4.9,Kilogram,,,
Jamaica,2013,285,Kilogram,,,
Jamaica,2012,302.22,Kilogram,,,
Jamaica,2011,130.49,Kilogram,,,
Trinidad and Tobago,2014,64.4,Kilogram,,,
