Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Kenya,3.06,2.82,2.65,2.76,2.41," “Theft of a Motorized Land Vehicle” means the theft of a motorized land vehicle. 'Motorized land vehicle' means all land vehicles with an engine that run on the road, including cars, motorcycles, buses, lorries, construction and agricultural vehicles. ""Theft of a motorized land vehicle"" should exclude the illegal use of a motorized land vehicle with intent to temporarily deprive it from the owner ('joyriding').","When using the figures, any cross-national comparison should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, the different methods of offence counting and recording and differences in the share of criminal offences that are not reported to or detected by law enforcement authorities (i.e. the dark figure). ",https://data.unodc.org/#state:0
Madagascar,0.07,0.07,0.14,0.04,0.08,,,
Mauritius,40.22,,,,,,,
Uganda,1.44,2.62,1.7,1.7,,,,
United Republic of Tanzania,6.37,8.03,10.27,10.92,10.86,,,
Zimbabwe,,,,,,,,
Cameroon*,5.45,6.15,8.95,8.54,6.78,,,
Sao Tome and Principe,-,,,,,,,
Algeria*,7.64,10.09,11.05,12.93,13.49,,,
Egypt,24.15,,,,,,,
Morocco,,30.99,9.18,,,,,
Botswana,15.65,,,14.28,,,,
Lesotho,,,,,,,,
Swaziland,,,,,,,,
Cabo Verde,,10.58,16.36,20.04,14.41,,,
Cote d'Ivoire,,,,,,,,
Guinea,,,,,,,,
Nigeria,,0.74,1.18,,,,,
Senegal,,,,,0.01,,,
Bahamas,362.68,357.69,,,,,,
Barbados,32.43,24.15,20.88,32.47,39.05,,,
Dominican Republic,,78.09,,57.53,,,,
Grenada,-,-,,,-,,,
Jamaica*,,8.54,20.77,,21.59,,,
Puerto Rico,158.1,158.21,149.84,125.84,110.61,,,
Saint Kitts and Nevis,5.66,,,,,,,
Saint Vincent and the Grenadines,39.33,40.24,,,,,,
Trinidad and Tobago,67.5,79.23,77.66,54.78,57.72,,,
Belize,27.95,38.02,22.66,30.42,,,,
Costa Rica,110.38,93.14,89.64,88.81,,,,
El Salvador*,18.08,13.8,17.77,22.45,35.31,,,
Guatemala*,79.47,77.05,72.81,66.24,,,,
Honduras,41.99,27.44,17.7,,2.19,,,
Mexico*,191.43,170.79,153.39,136.09,122.68,,,
Nicaragua,,,,,,,,
Panama*,8.8,7.32,5.78,20.81,28.45,,,
Bermuda,"1,036.52",981.34,"1,140.62","1,330.64","1,243.47",,,
Canada,239.02,223.89,205.82,207.96,219.39,,,
United States of America,229.36,229.73,220.82,215,219.96,,,
Argentina,,,,,85.66,,,
Bolivia (Plurinational State of),58.92,54.82,,,,,,
Brazil,83.34,91.54,112.08,,,,,
Chile,201.97,189.86,177.63,185.01,178.01,,,
Colombia,66.2,67.99,67.87,66.29,72.62,,,
Ecuador,72.16,79.15,87.76,80.76,,,,
Guyana,3.31,6.33,10.12,,6.78,,,
Paraguay,81.33,68.82,68.44,62.69,60.31,,,
Peru,53.36,54.24,61.92,58.08,52.59,,,
Suriname,,,,,,,,
