Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Uruguay,2014,"208,266",Gram,n/a,n/a,https://data.unodc.org/#state:23
Uruguay,2013,"92,707",Gram,,,
Uruguay,2012,"223,163",Gram,,,
Grenada,2014,60.7,Kilogram,,,
Grenada,2013,5.7,Kilogram,,,
Honduras,2014,620.98,Kilogram,,,
Canada,2014,1.49,Kilogram,,,
Canada,2013,33,Kilogram,,,
Canada,2012,14.7,Kilogram,,,
Canada,2011,5.72,Kilogram,,,
United States of America,2015,268.88,Kilogram,,,
United States of America,2015,213.3,Kilogram,,,
United States of America,2014,177,Kilogram,,,
United States of America,2014,20,Kilogram,,,
Argentina,2013,"11,448.99",Kilogram,,,
Argentina,2011,237.88,Kilogram,,,
Bolivia (Plurinational State of),2013,"20,400",Kilogram,,,
Bolivia (Plurinational State of),2011,40.14,Kilogram,,,
Chile,2015,"5,757.21",Kilogram,,,
Chile,2015,"5,946.09",Kilogram,,,
Chile,2014,"13,870.61",Kilogram,,,
Chile,2013,"10,798.40",Kilogram,,,
Chile,2012,"9,675.39",Kilogram,,,
Chile,2011,"7,059",Kilogram,,,
Colombia,2015,"42,711.93",Kilogram,,,
Colombia,2015,"2,399.42",Kilogram,,,
Colombia,2014,"41,121.36",Kilogram,,,
Colombia,2014,"2,490.05",Kilogram,,,
Colombia,2013,"51,595.48",Kilogram,,,
Colombia,2013,"3,701.67",Kilogram,,,
Ecuador,2015,"2,435.20",Kilogram,,,
Ecuador,2014,"3,111.13",Kilogram,,,
Ecuador,2013,"2,416.92",Kilogram,,,
Ecuador,2012,833.4,Kilogram,,,
Ecuador,2011,"1,622.81",Kilogram,,,
Paraguay,2013,15.67,Kilogram,,,
Peru,2015,"11,600",Kilogram,,,
Peru,2014,"11,117",Kilogram,,,
Peru,2013,"10,841",Kilogram,,,
Peru,2012,"19,697",Kilogram,,,
Peru,2011,"13,975.27",Kilogram,,,
Uruguay,2015,74,Kilogram,,,
Uruguay,2011,195.16,Kilogram,,,
Venezuela (Bolivarian Republic of),2015,12.85,Kilogram,,,
Venezuela (Bolivarian Republic of),2014,4.09,Kilogram,,,
Venezuela (Bolivarian Republic of),2013,15.89,Kilogram,,,
Venezuela (Bolivarian Republic of),2012,16.01,Kilogram,,,
Venezuela (Bolivarian Republic of),2011,87.5,Kilogram,,,
Italy,2015,0.05,Kilogram,,,
Italy,2013,9.68,Kilogram,,,
Italy,2012,6.55,Kilogram,,,
Italy,2011,0.07,Kilogram,,,
Spain,2015,377.04,Kilogram,,,
Spain,2014,4,Kilogram,,,
Spain,2013,0.03,Kilogram,,,
Spain,2012,14.18,Kilogram,,,
Australia,2014,21.93,Kilogram,,,
Australia,2013,3.83,Kilogram,,,
