Country,Year,Number,Definition,Interpretation,Link
Albania,,,," * Definitions of treatment interventions, recording practices (including counting rules) and methods for determining the primary drug of abuse differ from country to country; percentages may fail to add up to 100 per cent owing to incomplete reporting, gaps in identifying primary drug of abuse and treatment for multiple drugs. ",
Andorra,2015,17,,,
Austria,2014,11.1,,,
Belarus,2011/2014***,0.2,,,
Belgium,2015,17.5,,,
Bosnia and Herzegovina,2010-2015,-,,,
Bulgaria,2015,1.3,,,
Croatia,2015,1.3,,,
Cyprus,2013,11.6,,,
Czechia,2015,0.3,,,
Denmark,2013,5.8,,,
Estonia,2015,0.7,,,
Finland,2014,-,,,
France,2014,6.8,,,
Germany,2014,5.9,,,
Gibraltar,,,,,
Greece,2014,1.8,,,
Macedonia (TFYR),,,,,
Hungary,2015,2.3,,,
Iceland,,,,,
Ireland,2014,8.4,,,
Italy,2015,16.7,,,
Latvia,2015,1.2,,,
Liechtenstein,2015,-,,,
Lithuania,2015,,,,
Luxembourg,2015,-,,,
Malta,2014,15.9,,,
Moldova (Republic of),2011/ 2013***,-,,,
Monaco,2013,1.8,,,
Montenegro,2015,0.5,,,
Netherlands,2014,26.3,,,
Norway,2014,1,,,
Poland,2014,1.4,,,
Portugal,2015,12.4,,,
Romania,2015,0.6,,,
Russian Federation,2014,-,,,
Serbia,2015,,,,
Slovakia,2015,0.7,,,
Slovenia,2014,1.1,,,
Spain,2014,36.8,,,
Sweden,2014,1.4,,,
Switzerland,,,,,
Turkey,2015,1.8,,,
Ukraine,2015,,,,
United Kingdom,2014,12.2,,,
