Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Armenia,2011,Non-specified cocaine,2.2,Gram,,,
"China, Taiwan Province of China",2015,Non-specified cocaine,69.9,Gram,,,
"China, Taiwan Province of China",2012,Non-specified cocaine,"1,689.70",Gram,,,
,,,,,,,
Benin,2015,Non-specified cocaine,308.2,Kilogram,,,
Benin,2014,Non-specified cocaine,171,Kilogram,,,
Benin,2011,Non-specified cocaine,425.36,Kilogram,,,
Liberia,2015,Non-specified cocaine,1.87,Kilogram,,,
Liberia,2014,Non-specified cocaine,2.5,Kilogram,,,
Bahamas,2015,Non-specified cocaine,637,Kilogram,,,
Cuba,2011,Non-specified cocaine,107.59,Kilogram,,,
Haiti,2015,Non-specified cocaine,160.71,Kilogram,,,
Haiti,2014,Non-specified cocaine,5,Kilogram,,,
Puerto Rico,2015,Non-specified cocaine,"12,352.84",Kilogram,,,
Puerto Rico,2014,Non-specified cocaine,"4,817.82",Kilogram,,,
Trinidad and Tobago,2012,Non-specified cocaine,129,Kilogram,,,
Trinidad and Tobago,2011,Non-specified cocaine,170.4,Kilogram,,,
Belize,2015,Non-specified cocaine,2.8,Kilogram,,,
Nicaragua,2015,Non-specified cocaine,"4,250",Kilogram,,,
Panama,2011,Non-specified cocaine,"34,132.51",Kilogram,,,
United States of America,2015,Non-specified cocaine,131.68,Kilogram,,,
United States of America,2014,Non-specified cocaine,75,Kilogram,,,
United States of America,2013,Non-specified cocaine,147.83,Kilogram,,,
United States of America,2012,Non-specified cocaine,"104,345.13",Kilogram,,,
United States of America,2011,Non-specified cocaine,"105,518.74",Kilogram,,,
Argentina,2014,Non-specified cocaine,"10,419.99",Kilogram,,,
Suriname,2015,Non-specified cocaine,626.6,Kilogram,,,
Uruguay,2015,Non-specified cocaine,137,Kilogram,,,
Georgia,2015,Non-specified cocaine,37,Kilogram,,,
Republic of Korea,2012,Non-specified cocaine,0.06,Kilogram,,,
Lebanon,2011,Non-specified cocaine,66.21,Kilogram,,,
Republic of Moldova,2015,Non-specified cocaine,0.01,Kilogram,,,
Italy,2014,Non-specified cocaine,15.76,Kilogram,,,
Italy,2013,Non-specified cocaine,24.63,Kilogram,,,
