Country,Cocaine-type,Retail Level Price Typical,Year 
United Republic of Tanzania,Coca paste/cocaine base,5,2009
Algeria,Coca paste/cocaine base,,2010
Egypt,Coca paste/cocaine base,,2015
Morocco,Coca paste/cocaine base,105.9,2011
Burkina Faso,Coca paste/cocaine base,71.7,2008
Cabo Verde,Coca paste/cocaine base,,
Congo,Coca paste/cocaine base,6,2005
Gambia,Coca paste/cocaine base,,
Guinea,Coca paste/cocaine base,,
Guinea-Bissau,Coca paste/cocaine base,,
Mali,Coca paste/cocaine base,,
Mauritania,Coca paste/cocaine base,,
Nigeria,Coca paste/cocaine base,8.1,2009
Senegal,Coca paste/cocaine base,,
South Africa,Coca paste/cocaine base,5.9,2015
Bahamas,Coca paste/cocaine base,10,2009
Jamaica,Coca paste/cocaine base,,
Montserrat,Coca paste/cocaine base,59,2004
Trinidad and Tobago,Coca paste/cocaine base,0.8,2009
Canada,Coca paste/cocaine base,81.2,2011
Guatemala,Coca paste/cocaine base,9.4,2015
Honduras,Coca paste/cocaine base,9.2,2008
United States of America,Coca paste/cocaine base,,2009
Bolivia (Plurinational State of),Coca paste/cocaine base,4.3,2015
Brazil,Coca paste/cocaine base,,
Chile,Coca paste/cocaine base,9.9,2015
Colombia,Coca paste/cocaine base,,
Colombia,Coca paste/cocaine base,,
Ecuador,Coca paste/cocaine base,5,2011
Falkland Islands (Malvinas),Coca paste/cocaine base,,
Peru,Coca paste/cocaine base,1.1,2012
Peru,Coca paste/cocaine base,,
Uruguay,Coca paste/cocaine base,1.7,2015
Armenia,Coca paste/cocaine base,,2008
Jordan,Coca paste/cocaine base,,2008
Lebanon,Coca paste/cocaine base,60,2007
Pakistan,Coca paste/cocaine base,118.7,2010
Saudi Arabia,Coca paste/cocaine base,133.5,2010
Syrian Arab Republic,Coca paste/cocaine base,50,2007
China,Coca paste/cocaine base,,
China,Coca paste/cocaine base,,
Indonesia,Coca paste/cocaine base,96.5,2009
Japan,Coca paste/cocaine base,,
Malaysia,Coca paste/cocaine base,,
Thailand,Coca paste/cocaine base,,2008
Belarus,Coca paste/cocaine base,120,2009
Republic of Moldova,Coca paste/cocaine base,155.4,2008
Russian Federation,Coca paste/cocaine base,150,2007
Ukraine,Coca paste/cocaine base,200,2014
Andorra,Coca paste/cocaine base,,2010
Austria,Coca paste/cocaine base,,
Bosnia and Herzegovina,Coca paste/cocaine base,70.6,2009
Finland,Coca paste/cocaine base,,
Germany,Coca paste/cocaine base,,
Greece,Coca paste/cocaine base,110.3,2008
Hungary,Coca paste/cocaine base,,
Ireland,Coca paste/cocaine base,87.5,2015
Liechtenstein,Coca paste/cocaine base,109.9,2009
Luxembourg,Coca paste/cocaine base,,
Malta,Coca paste/cocaine base,55.3,2014
Monaco,Coca paste/cocaine base,,2008
Poland,Coca paste/cocaine base,63.2,2008
Portugal,Coca paste/cocaine base,,
Serbia,Coca paste/cocaine base,88.2,2008
The former Yugoslav Republic of Macedonia,Coca paste/cocaine base,76.5,2009
Turkey,Coca paste/cocaine base,,2008
United Kingdom,Coca paste/cocaine base,,
