Country,Cocaine-type,Retail level price typical,Year
Kenya,Cocaine salts,,2014
Kenya,Cocaine salts,,
Madagascar,Cocaine salts,,2015
United Republic of Tanzania,Cocaine salts,27.3,2015
Algeria,Cocaine salts,116.7,2015
Egypt,Cocaine salts,,2012
Morocco,Cocaine salts,86.1,2015
Benin,Cocaine salts,30.3,2010
Burkina Faso,Cocaine salts,,
Burkina Faso,Cocaine salts,,
Cameroon,Cocaine salts,31.3,2007
Congo,Cocaine salts,,2006
Côte d'Ivoire,Cocaine salts,40.4,2010
Gabon,Cocaine salts,92.2,2006
Gambia,Cocaine salts,23,2007
Ghana,Cocaine salts,,2008
Ghana,Cocaine salts,,
Guinea,Cocaine salts,20,2006
Liberia,Cocaine salts,,2006
Mali,Cocaine salts,62.7,2007
Namibia,Cocaine salts,70.8,2007
Nigeria,Cocaine salts,32.5,2007
Senegal,Cocaine salts,,2010
South Africa,Cocaine salts,13.1,2015
Swaziland,Cocaine salts,,2014
Togo,Cocaine salts,2.5,2009
Zambia,Cocaine salts,37.8,2007
Zimbabwe,Cocaine salts,7.4,2006
Anguilla,Cocaine salts,17.5,2005
Bahamas,Cocaine salts,20,2008
Barbados,Cocaine salts,20.8,2007
Cuba,Cocaine salts,,2009
Dominica,Cocaine salts,57.5,2004
Dominican Republic,Cocaine salts,6.2,2014
Grenada,Cocaine salts,36.9,2005
Haiti,Cocaine salts,10,2004
Jamaica,Cocaine salts,,
Saint Lucia,Cocaine salts,9.3,2004
Saint Vincent and the Grenadines,Cocaine salts,1.8,2008
Trinidad and Tobago,Cocaine salts,1.6,2015
Trinidad and Tobago,Cocaine salts,,
Turks and Caicos Islands,Cocaine salts,20,2006
Belize,Cocaine salts,7.5,2005
Canada,Cocaine salts,86,2014
Canada,Cocaine salts,,
Costa Rica,Cocaine salts,6,2015
El Salvador,Cocaine salts,15,2015
Guatemala,Cocaine salts,13.5,2015
Guatemala,Cocaine salts,,
Honduras,Cocaine salts,7.6,2006
Honduras,Cocaine salts,,
Mexico,Cocaine salts,,
Mexico,Cocaine salts,,
Nicaragua,Cocaine salts,4,2014
Panama,Cocaine salts,2,2005
Panama,Cocaine salts,,
United States of America,Cocaine salts,,2015
United States of America,Cocaine salts,,
Argentina,Cocaine salts,5.9,2004
Bolivia (Plurinational State of),Cocaine salts,5.8,2015
Brazil,Cocaine salts,12,2005
Brazil,Cocaine salts,,
Chile,Cocaine salts,22.6,2015
Chile,Cocaine salts,,
Colombia,Cocaine salts,3.5,2008
Colombia,Cocaine salts,,
Ecuador,Cocaine salts,7,2011
Guyana,Cocaine salts,4.8,2015
Paraguay,Cocaine salts,4.3,2014
Peru,Cocaine salts,5.5,2012
Peru,Cocaine salts,,
Uruguay,Cocaine salts,13.4,2015
Uruguay,Cocaine salts,,
Venezuela (Bolivarian Republic of),Cocaine salts,9.3,2006
Armenia,Cocaine salts,,2015
Bahrain,Cocaine salts,159.1,2005
Israel,Cocaine salts,113,2011
Israel,Cocaine salts,,
Jordan,Cocaine salts,126.2,2009
Kazakhstan,Cocaine salts,301.6,2014
Kuwait,Cocaine salts,309.3,2005
Lebanon,Cocaine salts,70,2012
Pakistan,Cocaine salts,186,2015
Qatar,Cocaine salts,,
Saudi Arabia,Cocaine salts,,2015
Sri Lanka,Cocaine salts,125,2015
Syrian Arab Republic,Cocaine salts,50,2007
Tajikistan,Cocaine salts,,
Cambodia,Cocaine salts,,
China,Cocaine salts,57,2015
Indonesia,Cocaine salts,115,2014
Japan,Cocaine salts,498.1,2015
Japan,Cocaine salts,,
"Hong Kong SAR, China",Cocaine salts,139,2015
"Macao SAR, China",Cocaine salts,370,2015
Malaysia,Cocaine salts,46571.2,2015
Malaysia,Cocaine salts,,
Philippines,Cocaine salts,,2014
Singapore,Cocaine salts,,2014
Thailand,Cocaine salts,,2010
Thailand,Cocaine salts,,
Belarus,Cocaine salts,110,2013
Republic of Moldova,Cocaine salts,181.5,2014
Russian Federation,Cocaine salts,86.9,2015
Ukraine,Cocaine salts,67.6,2015
Ukraine,Cocaine salts,,
Albania,Cocaine salts,,2015
Andorra,Cocaine salts,,2010
Andorra,Cocaine salts,,
Austria,Cocaine salts,109.4,2015
