Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Algeria,"9,666","9,304","8,311","8,586","15,036","“Persons Convicted” means persons found guilty by any legal body authorized to pronounce a conviction under national criminal law, whether or not the conviction was later upheld. The total number of persons convicted should also include persons convicted of serious special law offences but exclude persons convicted of minor road traffic offences, misdemeanours and other petty offences. Data supplied by countries may","When using the figures, any cross-national comparison should be conducted with caution because of legal and procedural differences that exist across national criminal justice systems.",https://data.unodc.org/#state:0
South Africa,"114,900","182,865","199,391","197,353","227,991",,,
Grenada,"1,120","1,181",,,,,,
Belize,,,,74,,,,
Costa Rica,"6,142","7,061","7,774","7,934",,,,
Guatemala,,,,,,,,
Mexico,,,"72,678",,,,,
Nicaragua,,,,,,,,
Bermuda,,,"7,900",,,,,
United States of America,"43,120","42,894","41,519",,,,,
Argentina,"27,035","27,807","27,674","31,547","34,095",,,
Chile,"24,105","23,837","23,543","23,736","24,624",,,
Guyana,"1,326","1,455","1,382","1,386","1,327",,,
Paraguay,,,"2,476","2,523","3,586",,,
Peru,"47,221","47,396",,,,,,
Tajikistan,,,,,"9,821",,,
China,"1,050,146","1,172,801","1,157,215","1,183,574",,,,
"China, Macao Special Administrative Region*","2,101","1,747","1,542","1,537","1,275",,,
Japan,"61,871","60,170","55,272","54,941",,,,
Mongolia,"8,182","8,296","8,017","8,150","7,662",,,
Republic of Korea,"192,279","190,338","191,386","212,295",,,,
Thailand,"623,152","661,010","708,882","694,448","695,279",,,
India,"764,963","717,781","761,368",,,,,
Armenia,"3,842","3,673",,"2,881","2,788",,,
Azerbaijan,"13,408","12,875","12,888","13,256",,,,
Georgia,"17,852",,,"16,380",,,,
Iraq (Central Iraq),"12,950","10,999","12,696",,,,,
Saudi Arabia,,,,,"65,363",,,
State of Palestine,"12,245",,,,,,,
Syrian Arab Republic,,,,,,,,
Turkey,"1,229,807","1,457,180","1,594,778","1,441,154",,,,
Belarus,,,,"39,585",,,,
Bulgaria,"39,434","36,065","30,649","26,998","24,513",,,
Czechia,"65,307","66,558","73,056","68,048","60,692",,,
Hungary,"83,159","73,437","68,603","75,537",,,,
Poland,"439,742","422,027","365,428","304,957","265,129",,,
Republic of Moldova,,,,"9,847",,,,
Romania,,,,,,,,
Russian Federation,"750,337","710,743","705,238","688,747","706,442",,,
Slovakia,"29,536","34,405","35,371","32,914","28,921",,,
Ukraine,,,,,,,,
Finland,"180,642","169,883","162,416","153,440",,,,
Latvia,"9,079","8,813","8,478","9,041","9,309",,,
Norway,"10,704","9,668","10,624",,"9,852",,,
Andorra,60,42,66,40,18,,,
Bosnia and Herzegovina,"15,670","17,803","18,974",,,,,
Croatia,"22,893","20,320","16,495","14,829","12,535",,,
Holy See,-,1,-,-,-,,,
Italy,"174,453","173,456","172,499","155,992","149,111",,,
Kosovo under UNSCR 1244,"18,367","20,893","15,748","18,271","16,827",,,
Montenegro,"1,089","1,398","1,145","1,387",,,,
Portugal,"67,619","69,065","60,962",,"51,491",,,
Serbia,,"32,861","34,147","36,736","34,257",,,
Slovenia,,,,,"5,570",,,
Austria,"24,836","23,746","22,317","20,770",,,,
Belgium,"113,046","126,993","105,585","85,360","94,167",,,
France,"535,268","560,447","554,365","534,442","530,914",,,
Germany*,"630,240","596,959","570,896","554,109",,,,
Monaco,47,51,78,,36,,,
Switzerland,"44,792","46,539","46,129","47,176","45,989",,,
New Zealand,,,,,,,,
