Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Algeria,2015,48.3,Gram,n/a,n/a,https://data.unodc.org/#state:23
Algeria,2011,5.7,Gram,,,
Botswana,2014,146.91,Gram,,,
Botswana,2011,28.59,Gram,,,
Saint Kitts and Nevis,2011,525,Gram,,,
El Salvador,2015,"2,707.69",Gram,,,
Honduras,2015,362.2,Gram,,,
Mexico,2013,0.25,Gram,,,
Mexico,2012,870,Gram,,,
Uruguay,2014,500,Gram,,,
Uruguay,2013,5,Gram,,,
Singapore,2014,0.5,Gram,,,
Saudi Arabia,2015,112,Gram,,,
Saudi Arabia,2014,211.7,Gram,,,
Saudi Arabia,2012,906.2,Gram,,,
Saudi Arabia,2011,"1,807.70",Gram,,,
Austria,2015,0.7,Gram,,,
Malta,2015,15.19,Gram,,,
Malta,2014,0.2,Gram,,,
Malta,2013,14.3,Gram,,,
Malta,2012,8.7,Gram,,,
Portugal,2015,17.48,Gram,,,
Portugal,2014,143,Gram,,,
Côte d'Ivoire,2015,18.08,Kilogram,,,
Cuba,2011,0.01,Kilogram,,,
Dominican Republic,2015,27.1,Kilogram,,,
Dominican Republic,2014,6.8,Kilogram,,,
Dominican Republic,2013,11.4,Kilogram,,,
Dominican Republic,2012,11.2,Kilogram,,,
Dominican Republic,2011,10.6,Kilogram,,,
Grenada,2014,63,Kilogram,,,
Grenada,2013,598,Kilogram,,,
Haiti,2014,0.001,Kilogram,,,
Jamaica,2015,0.49,Kilogram,,,
Jamaica,2014,0.3,Kilogram,,,
Jamaica,2013,4,Kilogram,,,
Jamaica,2012,1.37,Kilogram,,,
Jamaica,2011,1.35,Kilogram,,,
Trinidad and Tobago,2015,391.61,Kilogram,,,
Trinidad and Tobago,2014,82.6,Kilogram,,,
Trinidad and Tobago,2013,95.2,Kilogram,,,
Belize,2014,0.8,Kilogram,,,
Belize,2013,0.4,Kilogram,,,
Belize,2012,1.4,Kilogram,,,
Belize,2011,0.2,Kilogram,,,
El Salvador,2014,3.83,Kilogram,,,
El Salvador,2013,1.79,Kilogram,,,
El Salvador,2012,1.3,Kilogram,,,
El Salvador,2011,3.6,Kilogram,,,
Guatemala,2015,6.12,Kilogram,,,
Guatemala,2014,4.02,Kilogram,,,
Guatemala,2013,4.1,Kilogram,,,
