Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Kenya,6.21,6.75,5.63,5.04,4.92,"""Domestic burglary/burglary of private residential premises"" means burglary of real estate owned, rented, or leased by a person, including a house, apartment or other dwelling place.","When using the figures, any cross-national comparison should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, the different methods of offence counting and recording and differences in the share of criminal offences that are not reported to or detected by law enforcement authorities (i.e. the dark figure).",https://data.unodc.org/#state:1
Mauritius,56.98,,,,,,,
Uganda,17.52,16.06,15.12,14.03,,,,
United Republic of Tanzania,16.89,16.83,15.28,13.81,12.68,,,
Cameroon*,4.35,1.84,1.69,1.33,1.02,,,
Sao Tome and Principe,11.45,,,,,,,
Algeria,,,8.57,22.78,23.85,,,
Egypt,11.05,,,,,,,
Morocco,,,16.03,,,,,
Sudan,,,,,,,,
Botswana,195.63,,,128.43,,,,
Cabo Verde,151.67,252.76,213.11,230.39,306.24,,,
Guinea,,,,,,,,
Nigeria,,1.76,1.83,,,,,
Sierra Leone,,,,,,,,
Bahamas,884.07,776.34,,,,,,
Barbados,513.54,549.75,531.68,418.87,362.05,,,
Dominican Republic,,36.74,,36.61,,,,
Grenada,172.27,169.71,118.98,119.42,315.47,,,
Jamaica,86.4,83.17,64.91,64.53,33.51,,,
Saint Kitts and Nevis,947.21,,,,,,,
Saint Vincent and the Grenadines,"1,074.62",921.95,,,,,,
Trinidad and Tobago,235.99,231.89,159.54,134.15,99.04,,,
Belize,,217.1,186.81,177.71,,,,
Costa Rica,,,,,,,,
El Salvador,6.37,7.23,6.8,5.93,4.99,,,
Guatemala,5.31,5.93,,,,,,
Honduras,,,,,4.02,,,
Mexico*,96.82,93.63,96.36,80.51,69.41,,,
Panama,6.19,9.4,6.94,,9.75,,,
Bermuda,"1,110.45","1,076.31",826.79,708.61,724.15,,,
Canada,328.08,318.26,277.13,259.76,255.61,,,
United States of America,521.37,499.27,450.41,392.52,351.46,,,
Brazil,11.12,11.2,,,,,,
Chile,434.62,414.13,403.5,398.76,377.34,,,
Colombia,38.72,47.66,44.79,43.42,43.83,,,
Ecuador,77.73,96.08,116.01,108.24,,,,
Guyana,256.12,231.8,292.5,,238.04,,,
Paraguay,35.11,29.83,28.47,29.62,,,,
Peru,,,,,,,,
Uruguay,,,,706.18,753.45,,,
Kazakhstan,197.42,255.27,268.27,256.47,219.67,,,
Kyrgyzstan*,133.24,115.08,159.53,146.13,124.46,,,
Tajikistan,1.95,,,,,,,
"China, Hong Kong Special Administrative Region",,,37.81,,,,,
"China, Macao Special Administrative Region*",113.96,89.46,61.79,32.7,13.27,,,
Japan,52.66,47.99,45.53,37.95,,,,
Mongolia,56.32,45.58,15.67,17.18,64.14,,,
Republic of Korea,70.82,,60.85,47.44,,,,
Myanmar,0.03,0.02,0.01,0.02,0.01,,,
Singapore,6.9,,,,,,,
Thailand,4.84,5,4.79,4.44,5.23,,,
Maldives,5.32,3.48,9.68,,,,,
Armenia,33.15,36.83,45.62,49.63,47.55,,,
Azerbaijan,3.05,2.44,3.02,3.72,,,,
Bahrain,,,,,,,,
Cyprus,175.62,177.99,156.35,140.86,116.88,,,
Georgia,,,,38.59,,,,
Israel,331,,,,,,,
Jordan,42.51,39.05,,,,,,
Kuwait,,,,,,,,
Oman,,,,,,,,
Syrian Arab Republic,,,,,,,,
Turkey,64.65,72.38,,,,,,
United Arab Emirates,,32.39,19.57,6.43,6.17,,,
Yemen,,,,,,,,
Belarus,209.83,175.75,155.83,138.19,,,,
Bulgaria,89.16,88.39,88.19,74.22,62,,,
Czechia,90.83,92.16,105.42,84.2,65.4,,,
Hungary,210.96,226.82,228.37,243.92,,,,
Poland,66.19,69.48,59.25,32.53,29.56,,,
Republic of Moldova,51.77,47.9,64.85,68.61,,,,
Romania*,81.1,76.67,76.21,130.23,77.47,,,
Russian Federation,90.48,79.63,70.19,66.08,66.18,,,
Slovakia,31.67,32.17,31.46,28.12,35.46,,,
Ukraine,,,,,,,,
Denmark,"1,136.72","1,034.23","1,005.03",896.88,806.59,,,
Estonia,210.23,205.28,161.51,157.42,126.62,,,
Finland,123.65,115.79,105.43,116.12,108.75,,,
Iceland,190.95,140.07,117.4,118.84,122.03,,,
Latvia*,,35.88,34.94,21.72,12.94,,,
Lithuania,132.91,116.89,110.16,114.58,104.19,,,
Norway,116.88,119.3,107.37,97.81,,,,
Sweden,452.82,414.44,422.41,436.32,434.51,,,
United Kingdom (England and Wales),436.72,401.78,372.25,343.13,,,,
United Kingdom (Northern Ireland),383.45,321.78,317.21,310.41,,,,
United Kingdom (Scotland),327.84,294.64,306.59,283.6,,,,
Albania,33.92,42.98,44.29,57.34,47.88,,,
Andorra,,,,-,,,,
Bosnia and Herzegovina,,,,,30.99,,,
Croatia,107.3,132.12,140.37,116.17,115.77,,,
Greece,247.39,253.77,231.54,207.99,219.29,,,
Holy See,-,-,-,-,-,,,
Italy,343.32,397.33,420.64,427.98,392.53,,,
Kosovo under UNSCR 1244,181.22,176.19,353.2,285.84,,,,
Malta,229.91,241.58,186.44,223.11,170.06,,,
Portugal,268.09,239.19,212.3,185.65,156.39,,,
Serbia,76.74,75.01,87.15,74.09,62.28,,,
Slovenia,120.74,131.71,184.76,177.63,150.76,,,
Spain,215.76,271.08,274.34,263.25,196.76,,,
The former Yugoslav Republic of Macedonia,104.56,96.02,127.33,138.8,,,,
Austria*,185.29,182.63,194.98,200.89,181.59,,,
Belgium,636.4,682.7,676.77,647.36,587.42,,,
France*,347.8,374.58,392.25,367.46,362.67,,,
Germany,164.87,179.08,185.56,188.63,207.14,,,
Liechtenstein,246.33,138.62,248.38,311.11,271.78,,,
