Country,Year,Number,Definition,Interpretation,Link
Mexico,2015,378,n/a,n/a,https://data.unodc.org/#state:31
United States of America,2015,"52,404",,,
Honduras,2015,1,,,
"China, Macao SAR",2015,3,,,
Japan,2015,,,,
Myanmar,2015,186,,,
Korea (Republic of),2015,3,,,
Iran (Islamic Republic of),2015,"3,003",,,
Lebanon,2015,9,,,
Pakistan,2015,,,,
Syrian Arab Republic,2015,5,,,
United Arab Emirates,2015,69,,,
Kazakhstan,2015,336,,,
Kyrgyzstan,2015,28,,,
Tajikistan,2015,45,,,
Uzbekistan,2015,347,,,
Estonia,2015,88,,,
Hungary,2015,25,,,
Italy,2015,305,,,
Latvia,2015,18,,,
Liechtenstein,2015,0,,,
Lithuania,2015,115,,,
Slovakia,2015,48,,,
Croatia,2015,79,,,
Romania,2015,36,,,
Nicaragua,2014,11,,,
Ecuador,2014,17,,,
Uruguay,2014,11,,,
Kenya,2014,"1,387",,,
"China, Hong Kong SAR",2014,101,,,
Andorra,2014,0,,,
Austria,2014,155,,,
Cyprus,2014,10,,,
Czechia,2014,35,,,
Denmark,2014,263,,,
France,2014,147,,,
Germany,2014,"1,032",,,
Greece,2014,26,,,
Luxembourg,2014,8,,,
Netherlands,2014,123,,,
Norway,2014,266,,,
Poland,2014,279,,,
Portugal,2014,37,,,
Slovenia,2014,28,,,
Sweden,2014,765,,,
Switzerland,2014,134,,,
United Kingdom,2014,"2,949",,,
Bulgaria,2014,15,,,
Turkey,2014,497,,,
Belarus,2014,271,,,
Moldova (Republic of),2014,27,,,
Russian Federation,2014,"8,189",,,
Ukraine,2014,"3,311",,,
Argentina,2013,339,,,
Brazil,2013,200,,,
Israel,2013,57,,,
Saudi Arabia,2013,,,,
Australia,2013,"1,808",,,
Finland,2013,274,,,
Ireland,2013,219,,,
Malta,2013,3,,,
Monaco,2013,0,,,
Spain,2013,"1,170",,,
Panama,2012,1,,,
Azerbaijan,2012,31,,,
Belgium,2012,72,,,
Bosnia and Herzegovina,2012,40,,,
Serbia,2012,50,,,
Peru,2011,42,,,
Qatar,2011,10,,,
New Zealand,2011,78,,,
