Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Egypt,2011,129,Gram,n/a,n/a,https://data.unodc.org/#state:23
Zambia,2015,"1,194.10",Gram,,,
El Salvador,2014,3.01,Gram,,,
Panama,2013,279.76,Gram,,,
Mexico,2014,0.19,Gram,,,
Argentina,2014,10,Gram,,,
Argentina,2012,602,Gram,,,
Chile,2015,"22,087.49",Gram,,,
Venezuela (Bolivarian Republic of),2012,33,Gram,,,
Armenia,2015,7.45,Gram,,,
Armenia,2015,991,Gram,,,
Armenia,2013,0.46,Gram,,,
Georgia,2013,76.93,Gram,,,
Kazakhstan,2015,42.82,Gram,,,
Kazakhstan,2013,12.33,Gram,,,
Kazakhstan,2012,178.9,Gram,,,
Brunei Darussalam,2015,30.38,Gram,,,
Brunei Darussalam,2014,0.52,Gram,,,
Cambodia,2015,21,Gram,,,
Cambodia,2014,"3,160",Gram,,,
"China, Taiwan Province of China",2015,"1,050",Gram,,,
"China, Taiwan Province of China",2015,145.6,Gram,,,
"China, Taiwan Province of China",2014,"2,274.90",Gram,,,
"China, Taiwan Province of China",2013,"20,379.50",Gram,,,
"China, Taiwan Province of China",2012,"5,751.30",Gram,,,
"China, Taiwan Province of China",2011,"23,947.90",Gram,,,
Indonesia,2015,"4,310.08",Gram,,,
Singapore,2013,49.9,Gram,,,
State of Palestine,2014,32,Gram,,,
State of Palestine,2013,5.9,Gram,,,
Belarus,2013,0.77,Gram,,,
Albania,2015,1.4,Gram,,,
Bosnia and Herzegovina,2015,"1,453",Gram,,,
Bosnia and Herzegovina,2013,2.4,Gram,,,
Bosnia and Herzegovina,2012,1,Gram,,,
Bulgaria,2015,2,Gram,,,
Romania,2015,143.19,Gram,,,
Romania,2014,30.7,Gram,,,
Serbia,2015,"6,263.63",Gram,,,
Serbia,2012,105,Gram,,,
Andorra,2015,0.6,Gram,,,
Andorra,2014,41.9,Gram,,,
Andorra,2013,32.8,Gram,,,
Andorra,2012,2.9,Gram,,,
Andorra,2011,9.5,Gram,,,
Cyprus,2015,937,Gram,,,
Cyprus,2013,125,Gram,,,
Czechia,2015,392.2,Gram,,,
Czechia,2014,75.2,Gram,,,
Czechia,2013,41.8,Gram,,,
Czechia,2012,65.8,Gram,,,
Estonia,2014,"3,273",Gram,,,
Estonia,2013,"1,261",Gram,,,
Iceland,2015,"11,003.49",Gram,,,
Iceland,2013,"1,176",Gram,,,
Iceland,2012,"1,176",Gram,,,
Iceland,2011,287,Gram,,,
Ireland,2012,"5,830",Gram,,,
Ireland,2011,827,Gram,,,
Latvia,2015,417.31,Gram,,,
Latvia,2014,343.07,Gram,,,
Latvia,2014,2.64,Gram,,,
Latvia,2013,4.18,Gram,,,
Latvia,2012,"1,233.79",Gram,,,
Latvia,2011,123,Gram,,,
Lithuania,2013,457,Gram,,,
Malta,2015,10.84,Gram,,,
Netherlands,2011,"265,243.82",Gram,,,
Poland,2014,"46,801",Gram,,,
Poland,2012,"2,169",Gram,,,
Poland,2011,3.31,Gram,,,
New Zealand,2015,"8,846.30",Gram,,,
Bahamas,2014,7.94,Kilogram,,,
El Salvador,2012,0.01,Kilogram,,,
Panama,2012,2.1,Kilogram,,,
Panama,2011,0.1,Kilogram,,,
Canada,2015,14.86,Kilogram,,,
Canada,2014,6.79,Kilogram,,,
Canada,2013,123.12,Kilogram,,,
Canada,2012,51.4,Kilogram,,,
Canada,2011,155.26,Kilogram,,,
Mexico,2015,0.42,Kilogram,,,
United States of America,2015,570.11,Kilogram,,,
United States of America,2014,513,Kilogram,,,
United States of America,2013,741.39,Kilogram,,,
United States of America,2012,485.43,Kilogram,,,
United States of America,2011,881.04,Kilogram,,,
Argentina,2015,2.05,Kilogram,,,
Chile,2014,0.12,Kilogram,,,
Ecuador,2013,0.01,Kilogram,,,
Ecuador,2012,0.18,Kilogram,,,
Paraguay,2015,6.45,Kilogram,,,
Paraguay,2014,6.45,Kilogram,,,
Venezuela (Bolivarian Republic of),2015,0.24,Kilogram,,,
Venezuela (Bolivarian Republic of),2011,0.01,Kilogram,,,
Georgia,2014,0.07,Kilogram,,,
Kazakhstan,2014,0.04,Kilogram,,,
Cambodia,2011,1.11,Kilogram,,,
China,2015,189.63,Kilogram,,,
China,2014,49,Kilogram,,,
China,2013,130.56,Kilogram,,,
China,2012,112.33,Kilogram,,,
China,2011,73.19,Kilogram,,,
China,2014,0.22,Kilogram,,,
China,2014,0.05,Kilogram,,,
China,2013,0.5,Kilogram,,,
Malaysia,2014,53.7,Kilogram,,,
Malaysia,2011,26.53,Kilogram,,,
Republic of Korea,2015,0.19,Kilogram,,,
Republic of Korea,2014,0.21,Kilogram,,,
Republic of Korea,2012,0.77,Kilogram,,,
Thailand,2015,3.44,Kilogram,,,
Thailand,2011,5.26,Kilogram,,,
India,2015,1.57,Kilogram,,,
India,2014,0.38,Kilogram,,,
India,2012,0.06,Kilogram,,,
India,2011,0.14,Kilogram,,,
Belarus,2012,0.002,Kilogram,,,
Belarus,2011,1.3,Kilogram,,,
Republic of Moldova,2015,6.47,Kilogram,,,
Russian Federation,2015,45.84,Kilogram,,,
Russian Federation,2014,14.5,Kilogram,,,
Russian Federation,2013,96.3,Kilogram,,,
Russian Federation,2012,4.3,Kilogram,,,
Russian Federation,2011,8.37,Kilogram,,,
Ukraine,2015,0.007,Kilogram,,,
Ukraine,2014,0.03,Kilogram,,,
Ukraine,2013,0.01,Kilogram,,,
Bosnia and Herzegovina,2011,0.007,Kilogram,,,
Bulgaria,2014,147.93,Kilogram,,,
Bulgaria,2013,13.3,Kilogram,,,
Bulgaria,2012,14.71,Kilogram,,,
Bulgaria,2011,0.05,Kilogram,,,
Croatia,2015,11,Kilogram,,,
Croatia,2014,6.35,Kilogram,,,
Croatia,2013,0.89,Kilogram,,,
Croatia,2012,1.06,Kilogram,,,
Romania,2013,0.04,Kilogram,,,
Romania,2012,0.02,Kilogram,,,
Romania,2011,0.08,Kilogram,,,
Serbia,2014,39.9,Kilogram,,,
Serbia,2013,20.3,Kilogram,,,
Serbia,2011,48.7,Kilogram,,,
Turkey,2012,356.94,Kilogram,,,
Austria,2015,3.2,Kilogram,,,
Belgium,2015,9.19,Kilogram,,,
Belgium,2014,4.8,Kilogram,,,
Belgium,2014,2.98,Kilogram,,,
Cyprus,2012,0.1,Kilogram,,,
Denmark,2015,10,Kilogram,,,
Denmark,2014,10,Kilogram,,,
Denmark,2013,12.82,Kilogram,,,
Estonia,2015,12.91,Kilogram,,,
Estonia,2012,2.91,Kilogram,,,
Estonia,2011,3.58,Kilogram,,,
Greece,2014,9.4,Kilogram,,,
Greece,2013,0.4,Kilogram,,,
Greece,2012,0.39,Kilogram,,,
Greece,2011,0.3,Kilogram,,,
Hungary,2015,7.15,Kilogram,,,
Hungary,2014,0.39,Kilogram,,,
Hungary,2013,1.63,Kilogram,,,
Hungary,2012,0.28,Kilogram,,,
Hungary,2011,0.04,Kilogram,,,
Ireland,2015,37.54,Kilogram,,,
Ireland,2014,42.39,Kilogram,,,
Ireland,2013,1.4,Kilogram,,,
Italy,2015,10.62,Kilogram,,,
Italy,2014,28.83,Kilogram,,,
Italy,2013,16.88,Kilogram,,,
Italy,2012,20.22,Kilogram,,,
Italy,2011,6.36,Kilogram,,,
Latvia,2015,2.95,Kilogram,,,
Lithuania,2015,0.88,Kilogram,,,
Lithuania,2014,0.36,Kilogram,,,
Lithuania,2012,2,Kilogram,,,
Netherlands,2015,398,Kilogram,,,
Netherlands,2014,361.3,Kilogram,,,
Netherlands,2013,13.48,Kilogram,,,
Netherlands,2012,60,Kilogram,,,
Norway,2015,27.4,Kilogram,,,
Norway,2014,10.69,Kilogram,,,
Norway,2013,2.53,Kilogram,,,
Norway,2013,1.36,Kilogram,,,
Norway,2012,1.67,Kilogram,,,
Norway,2011,1.45,Kilogram,,,
Poland,2015,78.4,Kilogram,,,
Poland,2014,1.36,Kilogram,,,
Portugal,2012,7.3,Kilogram,,,
Slovenia,2015,1.98,Kilogram,,,
Slovenia,2014,0.11,Kilogram,,,
Slovenia,2013,0.85,Kilogram,,,
Slovenia,2011,0.007,Kilogram,,,
Sweden,2015,4.4,Kilogram,,,
Sweden,2014,8.15,Kilogram,,,
Sweden,2013,16.39,Kilogram,,,
Sweden,2012,2.7,Kilogram,,,
Sweden,2011,0.8,Kilogram,,,
Switzerland,2015,6.12,Kilogram,,,
Switzerland,2014,2.01,Kilogram,,,
Switzerland,2013,5.89,Kilogram,,,
Switzerland,2012,1.88,Kilogram,,,
Australia,2015,670.76,Kilogram,,,
Australia,2014,"4,374",Kilogram,,,
Australia,2013,331.29,Kilogram,,,
Australia,2012,106.3,Kilogram,,,
Australia,2011,116.96,Kilogram,,,
