Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Egypt,2014,"1,087",Tablet,n/a,n/a,https://data.unodc.org/#state:23
Egypt,2013,414,Tablet,,,
Egypt,2012,14,Tablet,,,
Morocco,2015,"12,505",Tablet,,,
Botswana,2014,16,Tablet,,,
Botswana,2013,16,Tablet,,,
Botswana,2012,34,Tablet,,,
Botswana,2011,49,Tablet,,,
Namibia,2015,18,Tablet,,,
Namibia,2014,18,Tablet,,,
South Africa,2015,"17,527",Tablet,,,
Dominican Republic,2011,"5,551",Tablet,,,
Jamaica,2012,6,Tablet,,,
Jamaica,2011,9,Tablet,,,
Costa Rica,2012,293,Tablet,,,
Canada,2015,"25,574",Tablet,,,
Canada,2014,"5,723",Tablet,,,
Canada,2013,"21,984",Tablet,,,
Canada,2012,"66,048",Tablet,,,
Canada,2011,"144,759",Tablet,,,
Mexico,2015,794,Tablet,,,
Mexico,2011,972,Tablet,,,
Bolivia (Plurinational State of),2013,"183,289",Tablet,,,
Bolivia (Plurinational State of),2012,"339,105",Tablet,,,
Bolivia (Plurinational State of),2011,"259,104",Tablet,,,
Colombia,2015,"121,579",Tablet,,,
Colombia,2014,"20,406",Tablet,,,
Colombia,2013,"117,101",Tablet,,,
Colombia,2012,"56,961",Tablet,,,
Colombia,2011,"26,112",Tablet,,,
Ecuador,2011,750,Tablet,,,
Peru,2011,229,Tablet,,,
Suriname,2015,"2,878",Tablet,,,
Suriname,2014,"27,764",Tablet,,,
Suriname,2013,154,Tablet,,,
Uruguay,2013,18,Tablet,,,
Venezuela (Bolivarian Republic of),2015,35,Tablet,,,
Venezuela (Bolivarian Republic of),2014,634,Tablet,,,
Georgia,2013,112,Tablet,,,
Tajikistan,2015,"11,233",Tablet,,,
Tajikistan,2014,"2,590",Tablet,,,
Tajikistan,2013,6,Tablet,,,
Tajikistan,2012,"21,740",Tablet,,,
Tajikistan,2011,485,Tablet,,,
Brunei Darussalam,2015,43,Tablet,,,
Brunei Darussalam,2013,6,Tablet,,,
Brunei Darussalam,2012,9,Tablet,,,
Brunei Darussalam,2011,349,Tablet,,,
Cambodia,2011,"7,855",Tablet,,,
China,2015,"2,848",Tablet,,,
China,2014,"1,418",Tablet,,,
China,2013,"3,593",Tablet,,,
China,2012,"1,152",Tablet,,,
China,2011,2,Tablet,,,
"China, Macao SAR",2013,2,Tablet,,,
"China, Macao SAR",2011,16,Tablet,,,
Indonesia,2015,"1,980,873",Tablet,,,
Indonesia,2014,"489,311",Tablet,,,
Indonesia,2012,"4,271,632",Tablet,,,
Indonesia,2011,"1,096,194.75",Tablet,,,
Japan,2015,"1,074",Tablet,,,
Japan,2013,"1,897",Tablet,,,
Japan,2012,"3,708",Tablet,,,
Japan,2011,"26,755",Tablet,,,
Malaysia,2014,"117,702",Tablet,,,
Malaysia,2011,"98,751",Tablet,,,
Mongolia,2012,22,Tablet,,,
Myanmar,2015,1,Tablet,,,
Myanmar,2014,"2,388,953",Tablet,,,
Philippines,2015,"2,902",Tablet,,,
Philippines,2014,"3,599",Tablet,,,
Singapore,2015,"2,943",Tablet,,,
Singapore,2014,"3,874",Tablet,,,
Singapore,2013,"7,327",Tablet,,,
Singapore,2012,"4,102",Tablet,,,
Singapore,2011,"3,213",Tablet,,,
Thailand,2014,"31,377",Tablet,,,
Thailand,2011,"21,063",Tablet,,,
Viet Nam,2012,"500,000",Tablet,,,
Israel,2015,"16,438",Tablet,,,
Israel,2014,"11,229",Tablet,,,
Israel,2013,"4,178",Tablet,,,
Israel,2012,"6,919",Tablet,,,
Israel,2011,"22,502",Tablet,,,
Jordan,2014,190,Tablet,,,
Lebanon,2012,"3,040",Tablet,,,
Pakistan,2015,"35,498",Tablet,,,
Pakistan,2014,"5,195",Tablet,,,
Pakistan,2013,"8,454",Tablet,,,
Pakistan,2011,2,Tablet,,,
State of Palestine,2014,898,Tablet,,,
State of Palestine,2013,"1,651.50",Tablet,,,
State of Palestine,2011,"5,374",Tablet,,,
India,2014,17,Tablet,,,
India,2011,363,Tablet,,,
Republic of Moldova,2014,"6,428",Tablet,,,
Republic of Moldova,2013,347,Tablet,,,
Republic of Moldova,2012,"3,221",Tablet,,,
Ukraine,2015,7,Tablet,,,
Ukraine,2011,"1,750",Tablet,,,
Bosnia and Herzegovina,2015,95,Tablet,,,
Bosnia and Herzegovina,2013,8,Tablet,,,
Bosnia and Herzegovina,2012,154,Tablet,,,
Bosnia and Herzegovina,2011,950,Tablet,,,
Bulgaria,2015,"17,284",Tablet,,,
Bulgaria,2013,"4,170",Tablet,,,
Bulgaria,2012,"1,848",Tablet,,,
Bulgaria,2011,"2,125",Tablet,,,
Kosovo under UNSCR 1246,2015,265,Tablet,,,
Kosovo under UNSCR 1257,2014,52,Tablet,,,
Kosovo under UNSCR 1272,2013,107,Tablet,,,
Kosovo under UNSCR 1284,2012,153,Tablet,,,
Kosovo under UNSCR 1297,2011,699,Tablet,,,
Romania,2015,"13,794",Tablet,,,
Romania,2014,"317,966",Tablet,,,
Romania,2013,"27,506",Tablet,,,
Romania,2012,"12,861",Tablet,,,
Romania,2011,"7,594",Tablet,,,
Serbia,2014,"1,956",Tablet,,,
Serbia,2013,"9,502",Tablet,,,
Serbia,2012,"2,507",Tablet,,,
Serbia,2011,410,Tablet,,,
The former Yugoslav Republic of Macedonia,2015,363,Tablet,,,
The former Yugoslav Republic of Macedonia,2014,"1,253",Tablet,,,
The former Yugoslav Republic of Macedonia,2013,142,Tablet,,,
The former Yugoslav Republic of Macedonia,2012,208,Tablet,,,
Turkey,2015,"5,673,901",Tablet,,,
Turkey,2014,"3,600,831",Tablet,,,
Turkey,2013,"4,441,217",Tablet,,,
Turkey,2012,"2,961,553",Tablet,,,
Turkey,2011,"1,364,253",Tablet,,,
Andorra,2015,3,Tablet,,,
Austria,2015,"10,149",Tablet,,,
Austria,2014,"5,001",Tablet,,,
Austria,2013,"5,768",Tablet,,,
Austria,2012,"8,998",Tablet,,,
Austria,2011,"45,780",Tablet,,,
Belgium,2015,"59,696",Tablet,,,
Belgium,2014,"44,422",Tablet,,,
Belgium,2012,"26,874",Tablet,,,
Belgium,2011,"64,384",Tablet,,,
Cyprus,2015,173,Tablet,,,
Cyprus,2014,"17,236",Tablet,,,
Cyprus,2013,504,Tablet,,,
Cyprus,2012,102,Tablet,,,
Cyprus,2011,653,Tablet,,,
Czechia,2015,"3,110",Tablet,,,
Czechia,2014,"1,338",Tablet,,,
Czechia,2013,"5,061",Tablet,,,
Czechia,2012,"1,782",Tablet,,,
Denmark,2015,"70,244",Tablet,,,
Denmark,2014,"54,690",Tablet,,,
Denmark,2013,"7,706",Tablet,,,
Denmark,2012,"72,604",Tablet,,,
Denmark,2011,"16,000",Tablet,,,
Estonia,2015,"41,549",Tablet,,,
Finland,2015,"23,660",Tablet,,,
Finland,2014,"131,700",Tablet,,,
Finland,2013,"121,595",Tablet,,,
Finland,2012,"23,623",Tablet,,,
Finland,2011,"17,800",Tablet,,,
France,2015,"1,325,305",Tablet,,,
France,2014,"940,390",Tablet,,,
France,2013,"414,800",Tablet,,,
France,2012,"156,337",Tablet,,,
France,2011,"1,510,500",Tablet,,,
Germany,2015,"967,410",Tablet,,,
Germany,2014,"702,439",Tablet,,,
Greece,2015,315,Tablet,,,
Greece,2014,"102,299",Tablet,,,
Greece,2012,"3,253",Tablet,,,
Greece,2011,70,Tablet,,,
Hungary,2015,"56,420",Tablet,,,
Hungary,2014,"13,020",Tablet,,,
Hungary,2013,"17,664",Tablet,,,
Hungary,2012,"10,282",Tablet,,,
Hungary,2011,270,Tablet,,,
Iceland,2015,"1,116",Tablet,,,
Iceland,2012,"2,100",Tablet,,,
Iceland,2011,"78,098",Tablet,,,
Ireland,2015,"187,665",Tablet,,,
Ireland,2014,"159,112",Tablet,,,
Ireland,2013,"846,153",Tablet,,,
Ireland,2012,"200,491",Tablet,,,
Ireland,2011,"101,850",Tablet,,,
Italy,2013,"4,713",Tablet,,,
Italy,2012,"19,051",Tablet,,,
Latvia,2015,205,Tablet,,,
Latvia,2015,33,Tablet,,,
Latvia,2014,119,Tablet,,,
Latvia,2014,21,Tablet,,,
Latvia,2013,22,Tablet,,,
Latvia,2013,38,Tablet,,,
Latvia,2012,87,Tablet,,,
Latvia,2011,"3,592",Tablet,,,
Lithuania,2012,54,Tablet,,,
Lithuania,2011,303,Tablet,,,
Luxembourg,2015,247,Tablet,,,
Luxembourg,2013,13,Tablet,,,
Luxembourg,2012,91,Tablet,,,
Luxembourg,2011,91,Tablet,,,
Malta,2015,"1,404",Tablet,,,
Malta,2014,334,Tablet,,,
Malta,2013,"30,374",Tablet,,,
Malta,2012,"1,080",Tablet,,,
Malta,2011,"2,143",Tablet,,,
Netherlands,2012,"2,442,200",Tablet,,,
Netherlands,2011,"1,174,200",Tablet,,,
Norway,2015,"116,714",Tablet,,,
Norway,2014,"54,150",Tablet,,,
Norway,2013,"7,158",Tablet,,,
Norway,2012,"6,588",Tablet,,,
Norway,2011,"6,900",Tablet,,,
Poland,2015,"120,886",Tablet,,,
Poland,2014,"62,028",Tablet,,,
Poland,2013,"45,997",Tablet,,,
Poland,2012,"31,092",Tablet,,,
Poland,2011,"75,082",Tablet,,,
Portugal,2015,"50,934",Tablet,,,
Portugal,2014,"7,169",Tablet,,,
Portugal,2013,"14,554",Tablet,,,
Portugal,2011,"7,791",Tablet,,,
Slovakia,2015,"1,460",Tablet,,,
Slovakia,2014,419,Tablet,,,
Slovakia,2012,529,Tablet,,,
Slovakia,2011,30,Tablet,,,
Slovenia,2015,"2,908",Tablet,,,
Slovenia,2014,218,Tablet,,,
Slovenia,2013,922,Tablet,,,
Slovenia,2012,960,Tablet,,,
Slovenia,2011,33,Tablet,,,
Spain,2011,"183,028",Tablet,,,
Sweden,2015,"146,558",Tablet,,,
Sweden,2014,"6,105",Tablet,,,
Sweden,2013,"26,919",Tablet,,,
Sweden,2012,"38,630",Tablet,,,
Sweden,2011,"17,060",Tablet,,,
Switzerland,2014,"42,363",Tablet,,,
Switzerland,2013,"49,876",Tablet,,,
Switzerland,2011,"13,293",Tablet,,,
United Kingdom,2015,"801,294",Tablet,,,
United Kingdom,2014,"1,134,005",Tablet,,,
United Kingdom,2013,"423,000",Tablet,,,
Australia,2014,"2,071",Tablet,,,
Australia,2013,"40,901",Tablet,,,
Australia,2012,"15,095",Tablet,,,
Australia,2011,"11,231",Tablet,,,
New Zealand,2015,"5,170",Tablet,,,
New Zealand,2014,"122,135",Tablet,,,
New Zealand,2013,"19,193",Tablet,,,
New Zealand,2012,"173,715",Tablet,,,
New Zealand,2011,"130,044",Tablet,,,
