Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Mauritius,343.97,315.49,318.37,351.5,362.2,"“Persons Convicted” means persons found guilty by any legal body authorized to pronounce a conviction under national criminal law, whether or not the conviction was later upheld. The total number of persons convicted should also include persons convicted of serious special law offences but exclude persons convicted of minor road traffic offences, misdemeanours and other petty offences. Data supplied by countries may","When using the figures, any cross-national comparison should be conducted with caution because of legal and procedural differences that exist across national criminal justice systems.",https://data.unodc.org/#state:0
Uganda,,,,,,,,
Zimbabwe,,,,,,,,
Cameroon,,,12.6,,,,,
Algeria,1.79,1.92,1.49,1.53,2.25,,,
Egypt,,,,,,,,
Morocco,,,,,,,,
South Africa,64.29,93.89,96.42,97.4,99.07,,,
Burkina Faso,0.84,,,,,,,
Dominican Republic,,,,,,,,
Grenada,96,44.77,,,,,,
Saint Kitts and Nevis,171.77,,,,,,,
Belize,,,,1.93,,,,
Costa Rica,39.56,42.92,41.61,42.87,,,,
Guatemala,11.86,,,105.98,,,,
Honduras,42.99,,,,10.72,,,
Mexico*,,11.55,13.55,6.49,6.61,,,
Nicaragua,,,,,,,,
Panama,,,,,,,,
Bermuda,,,"4,019.50",,,,,
Canada,270.31,269.38,260.4,222.9,,,,
United States of America,9.21,8.48,7.87,,,,,
Bolivia (Plurinational State of),,,,,,,,
Colombia,38.41,63.28,28.47,28.05,52.94,,,
Guyana,26.98,24.59,18.35,23.19,30.41,,,
Paraguay,,8.55,25.51,23.79,15.05,,,
Kazakhstan,50.05,39.44,46.62,52.8,54.57,,,
Kyrgyzstan,46.83,44.94,41.8,48.41,38.84,,,
Tajikistan,,,,,36.09,,,
Turkmenistan,,,,,,,,
China,11.04,12.16,12.88,14.45,,,,
"China, Hong Kong Special Administrative Region",173.96,159.72,144.3,,,,,
"China, Macao Special Administrative Region*",529.25,367.48,301.15,307.77,328.69,,,
Mongolia,73.96,75.49,70.65,72.09,65.71,,,
Republic of Korea,128.87,124.38,119.55,131.66,,,,
Malaysia,,,,,,,,
Philippines,,,,,,,,
Thailand,463.99,447.32,462.21,472.38,529.39,,,
Nepal,,,,,,,,
Armenia,19.52,18.6,,13.77,18.6,,,
Azerbaijan,25.01,20.47,16.34,16.94,,,,
Bahrain,,,,,,,,
Cyprus,"3,847.43","3,038.96","2,672.99","3,058.29","2,370.24",,,
Georgia,82.12,,,37.9,,,,
Iraq (Central Iraq),1.4,1.2,0.92,,,,,
Israel,,,,,,,,
Saudi Arabia,,,,,39.71,,,
State of Palestine,,,,,,,,
Syrian Arab Republic,,,,,,,,
Turkey,298.88,373.56,300.46,258.59,,,,
United Arab Emirates,,,,,,,,
Belarus,,,,127.72,,,,
Bulgaria,89.07,86.5,84.32,81.02,74.4,,,
Czechia,200.24,204.85,238.44,195.41,214.33,,,
Hungary,244.56,212.15,195.11,203.57,,,,
Poland,216.1,208.3,196.8,178.03,163.61,,,
Republic of Moldova,47.2,,,43.06,,,,
Romania,24.56,28.88,26.12,28.58,29.61,,,
Russian Federation,177.58,167.38,168.4,159.78,159.92,,,
Slovakia,197.6,219.33,222.02,215.86,195.9,,,
Ukraine,,,,,,,,
Denmark,541.92,557.21,522.37,590.42,610.04,,,
Estonia,,,,,,,,
Finland,"1,678.23","1,611.02","1,570.58","1,546.05",,,,
Iceland,,,345.34,,,,,
Latvia,104,105.18,95.81,111.75,121.91,,,
Lithuania,102.59,114.12,149.42,152.9,118.17,,,
Norway,84.12,81.19,88.14,,82.02,,,
Sweden,526.34,503.54,434.4,424.2,418.92,,,
United Kingdom (England and Wales),"1,294.99","1,259.81","1,219.27","1,305.81",,,,
United Kingdom (Northern Ireland)*,"1,076.37","1,169.24","1,072.65","1,042.09",,,,
United Kingdom (Scotland),385.07,352.59,327.09,,,,,
Albania,43.75,31.2,28.33,32.71,71.37,,,
Andorra,45.24,45.24,109.3,37.21,,,,
Bosnia and Herzegovina,77.42,73.39,104.27,106.83,92.84,,,
Croatia,131.08,107.86,93.23,99.06,79.28,,,
Italy,154.58,155.13,153.49,143.28,136.34,,,
Kosovo under UNSCR 1244,106.99,136.8,93.63,120.03,,,,
Malta,,,,,,,,
Montenegro,25.05,32.7,,,,,,
Portugal*,174.88,189.27,175.6,,149.47,,,
Serbia,75.43,78.84,81.34,85.17,78.53,,,
Slovenia,105.49,124.19,158.08,156.47,100.62,,,
The former Yugoslav Republic of Macedonia,79.46,74.52,83.26,133.12,,,,
Austria,141.33,135.42,135.5,129.24,,,,
Belgium,450.83,615.38,472.8,393.31,582,,,
France,236.44,248.9,248.42,239.39,235.99,,,
Germany*,406.89,392.44,390.21,393.86,,,,
Liechtenstein,,,,,,,,
Monaco,936.92,626.37,"1,051.47",,,,,
Netherlands,161.43,141.75,152.89,148.36,156.23,,,
Switzerland,409.58,454.38,468.16,491.75,486.72,,,
Australia,624.34,598.19,608.43,657.73,688.04,,,
New Zealand,"1,115.98","1,040.23",924.7,867.16,,,,
