Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Burundi,,47.56,51.02,42.95,,"“Formal Contact” with the police and/or criminal justice system may include persons suspected, or arrested or cautioned, for a criminal offence, at the national level.",": When using the figures, any cross-national comparison should be conducted with caution because of legal and procedural differences that exist across national criminal justice systems.",https://data.unodc.org/#state:1
Kenya,73.96,129.86,110.5,136.83,119.12,,,
Madagascar,52.67,42.7,49.23,37.3,58.68,,,
Mauritius,365.49,,,,,,,
Mozambique,,,,,,,,
Uganda,45.22,54.39,58,56.19,,,,
United Republic of Tanzania,47.24,42.55,,42.5,44.36,,,
Algeria,78.22,76.7,81.06,86.66,100.14,,,
Egypt,14.17,,,,,,,
Morocco,,273.12,493.7,,,,,
Sudan,,,,,,,,
Botswana,"4,442.61",,,"5,095.92",,,,
Swaziland,,,,,,,,
Cabo Verde,,,"1,639.42","1,642.00","1,549.44",,,
Cote d'Ivoire,,,,,,,,
Bahamas,,,,,,,,
Barbados,320.06,251.4,295.62,209.5,242.9,,,
Dominican Republic,,,,210.06,,,,
Grenada,"1,711.09","1,650.90",,,"1,465.40",,,
Saint Kitts and Nevis,763.41,,,,,,,
Trinidad and Tobago,51.74,51.06,39.59,47.19,50.73,,,
Belize,552.3,499.65,571.96,638.35,,,,
Costa Rica,,,,,,,,
El Salvador,197.44,516.18,192.42,178.15,120.44,,,
Guatemala,65.35,78.08,85.49,94.22,,,,
Honduras,25.53,44.07,29.56,,47.2,,,
Mexico*,,251.05,331.48,484.78,596.23,,,
Nicaragua,,,,,,,,
Canada,789.11,802.58,773.29,752.24,773.42,,,
United States of America,"2,259.95","2,258.42","2,137.04","2,130.81","2,063.52",,,
Chile,"1,171.05","1,096.45","1,008.87",955.99,970.96,,,
Colombia,125.22,143.72,150.82,152.81,147.81,,,
Ecuador,,42.07,40.89,51.17,,,,
Guyana,"1,933.88","2,487.16","5,548.63",,"1,428.84",,,
Paraguay,56.11,62,57.26,62.89,32.01,,,
Peru,40.93,49.27,49.19,51.51,55.95,,,
Uruguay*,,"1,089.93",,,"1,615.88",,,
Kazakhstan,161.9,197.12,232.17,261.87,237.42,,,
Kyrgyzstan,96.53,113.21,111.86,115,115.84,,,
Tajikistan,56.38,,,,,,,
Turkmenistan,,,,,,,,
"China, Hong Kong Special Administrative Region",281.16,285.34,284.2,,,,,
Japan,91.51,88.04,82.05,80.16,,,,
Mongolia,244.02,207.65,307.9,350.13,364.38,,,
Republic of Korea,,,,,,,,
Brunei Darussalam,,,,,,,,
Myanmar,13.81,13.42,15.7,16.27,,,,
Philippines*,,,,,,,,
Singapore*,180.82,,,,,,,
Thailand,,,,,48.14,,,
Bangladesh,,,,,,,,
India,50.06,53.68,53.47,,,,,
Maldives,145.52,181.42,225.87,,,,,
Nepal,,,,,,,,
Sri Lanka,197.24,195.83,182.08,,,,,
Armenia*,137.24,124.71,140.36,106.14,114.38,,,
Azerbaijan,,47.49,28.23,26.53,,,,
Bahrain,,,,,,,,
Cyprus*,156.65,198.05,124.33,164.89,129.82,,,
Georgia,,,,,,,,
Iraq (Central Iraq),8.92,10.44,10.73,13.66,,,,
Israel,,,,,,,,
Qatar,,,,,,,,
State of Palestine,,,,,,,,
Syrian Arab Republic,,,,,,,,
Turkey,731.78,854.48,,,,,,
United Arab Emirates,,932.54,,,,,,
Yemen,,,,,,,,
Belarus,229.17,182.01,181.93,175.57,,,,
Bulgaria,176.38,167.02,167.68,161.9,160.59,,,
Czechia,326.6,312.55,358.13,362.11,338.61,,,
Hungary,567.11,533.38,510.83,420.84,,,,
Poland,269.95,263.87,245.13,196.58,205.28,,,
Republic of Moldova*,,,,86.05,,,,
Romania,249.12,,,,,,,
Russian Federation,236.34,229.89,233.75,239,261.2,,,
Slovakia,346.57,329.88,333.03,311.73,292.68,,,
Ukraine,,,,,,,,
Denmark,,,,,,,,
Finland,"2,038.15","1,925.53","1,988.98","1,899.13","1,951.29",,,
Iceland,665.69,572.09,,588.55,651.73,,,
Ireland,,,,,,,,
Latvia,317.48,327.95,295.02,287,305.37,,,
Lithuania,161.95,183.58,202.18,205.52,180.3,,,
Norway,267.27,263.49,262.33,261.41,,,,
Sweden,544.41,514.86,465.5,463.05,467.26,,,
United Kingdom (Northern Ireland),,,,,,,,
Andorra,"1,116.67","1,023.81",869.77,804.65,,,,
Bosnia and Herzegovina,,3.74,2.71,2.07,0.69,,,
Croatia,175.59,152.3,137.04,123.21,125.34,,,
Italy,606.64,650.19,698.69,701.86,675.38,,,
Malta,629.45,610.26,603.08,663.18,630.72,,,
Montenegro,136.34,124.24,126.85,108.07,116.59,,,
Serbia,120.79,120.24,129.17,120.98,125.11,,,
Slovenia,353.24,365.77,408.87,397.94,367.54,,,
Spain*,204.7,217.84,240.24,234.1,312.14,,,
Austria,"1,288.54","1,301.00","1,325.67","1,256.25","1,238.78",,,
Belgium,988.11,972.93,979.4,975.02,881.37,,,
France*,594.62,628.66,620.62,632.08,629.35,,,
Germany*,"1,254.21","1,261.81","1,292.67","1,332.20","1,419.91",,,
Liechtenstein*,"1,211.57",,,"1,584.93",,,,
Luxembourg,"2,506.81","2,898.57","2,859.16","3,131.00",,,,
Monaco,,,,,,,,
Netherlands,734.63,735.74,721.71,668.79,587.53,,,
Switzerland*,665.92,680.77,673.9,642.3,675.11,,,
Australia,639.88,654.52,688.29,727.53,725.77,,,
New Zealand,"1,967.30","1,811.86","1,594.40",,,,,
