Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Mauritius,14.81,14.52,19.32,34.16,19.43,"“Persons Convicted” means persons found guilty by any legal body authorized to pronounce a conviction under national criminal law, whether or not the conviction was later upheld. The total number of persons convicted should also include persons convicted of serious special law offences but exclude persons convicted of minor road traffic offences, misdemeanours and other petty offences. Data supplied by countries may","When using the figures, any cross-national comparison should be conducted with caution because of legal and procedural differences that exist across national criminal justice systems.",https://data.unodc.org/#state:0
Uganda,,,,,,,,
Zimbabwe,,,,,,,,
Cameroon,,,4.28,,,,,
Algeria*,0.15,0.15,0.07,0.1,0.25,,,
Morocco,,,,,,,,
South Africa,0.92,1,1,1.08,,,,
Dominican Republic,,,,,,,,
Grenada,23.37,-,,,,,,
Saint Kitts and Nevis,31.67,,,,,,,
Belize,,,,-,,,,
Costa Rica,3.92,1.67,4,4.5,,,,
El Salvador,6.19,6.5,7.88,8.14,7.1,,,
Guatemala,1.13,,,11.81,,,,
Honduras,,,,,2.82,,,
Mexico*,,1.61,1.9,0.73,0.83,,,
Nicaragua,,,,,,,,
Panama,,,,,,,,
Canada,150.75,137.92,118.25,95.03,,,,
Bolivia (Plurinational State of),,,,,,,,
Colombia,17.71,12.98,15.6,13.38,14.65,,,
Guyana,-,-,-,-,-,,,
Paraguay,,,2.1,0.93,0.42,,,
Kazakhstan,4.3,3.44,2.92,2.25,0.81,,,
Kyrgyzstan,2.84,2.8,0.78,1.34,1.51,,,
Tajikistan,,,,,0.89,,,
Turkmenistan,,,,,,,,
China,1.6,1.57,1.52,1.41,,,,
"China, Hong Kong Special Administrative Region",20.16,9.07,9.83,,,,,
"China, Macao Special Administrative Region*",141.26,64.53,50.21,42.78,28.84,,,
Mongolia,5.83,3.32,3.91,2.77,4.38,,,
Republic of Korea,1.16,2.66,4.21,4.74,,,,
Malaysia,,,,,,,,
Philippines,,,,,,,,
Thailand*,22.36,18.51,17.48,17.08,15.55,,,
Nepal,,,,,,,,
Armenia,0.63,0.63,,1.26,1.58,,,
Azerbaijan,0.67,0.17,0.59,0.68,,,,
Cyprus,30.53,16.23,12.93,11.3,13.14,,,
Georgia,7.37,,,4.02,,,,
Iraq (Central Iraq),0.4,0.42,0.47,,,,,
Israel,,,,,,,,
Saudi Arabia,,,,,0.17,,,
State of Palestine,,,,,,,,
Syrian Arab Republic,,,,,,,,
Turkey,18.58,22.04,27.25,32.13,,,,
Belarus,,,,7.97,,,,
Bulgaria,20.8,18.2,15.93,13.23,7.73,,,
Czechia,23.35,21.21,19.81,17.75,19.04,,,
Hungary,81.06,71.38,76.93,73.26,,,,
Poland,131.33,118.95,112.72,102.66,77.87,,,
Republic of Moldova,3.42,,,2.61,,,,
Romania,15.84,8.25,9.6,12.87,9.18,,,
Russian Federation,22.54,18.76,15.8,11.73,12.3,,,
Slovakia,18.72,26.51,26.6,23.05,19.56,,,
Ukraine,,,,,,,,
Denmark,204.88,202.9,181.5,197.28,166.73,,,
Estonia,,,,,,,,
Finland,454.39,387.84,337.46,278.17,,,,
Iceland,,,5.08,,,,,
Latvia,29.16,22.32,43.86,26.15,24.26,,,
Lithuania,30.92,25.76,33.97,28.56,31.12,,,
Norway,14.11,9.32,6.76,,6,,,
Sweden,316.79,251.83,221.42,221.24,221.23,,,
United Kingdom (England and Wales),159.6,113.14,86.59,70.3,,,,
United Kingdom (Northern Ireland)*,113.33,93.26,87.36,74.31,,,,
United Kingdom (Scotland)*,62.54,50.72,31.76,,,,,
Albania,2.71,2.8,0.86,2.35,3.32,,,
Andorra,-,14.67,58.69,88.46,,,,
Bosnia and Herzegovina,5.66,7.54,14.16,13.83,7.05,,,
Croatia,10.41,10.22,10.09,10.75,7.96,,,
Italy,14.2,11.19,11.31,13.39,13.1,,,
Kosovo under UNSCR 1244,3.93,4.51,5.48,4.52,,,,
Malta,42.62,65.5,69.71,107.43,49.93,,,
Montenegro,4.2,4.24,,,,,,
Portugal,70.71,75.81,64.15,,53.89,,,
Serbia,15.87,13.53,14.39,16.42,16.42,,,
Slovenia,28.35,21.68,17.44,21.32,22.26,,,
The former Yugoslav Republic of Macedonia,9.9,4.11,11.11,7.5,,,,
Austria,49.9,44.42,36.22,35.73,,,,
Belgium,1.19,1.37,1.18,1.17,0.99,,,
France,72.35,72.89,68.71,66.21,63.04,,,
Germany,145.84,131.3,115.3,,,,,
Liechtenstein,,,,,,,,
Monaco,314.23,580.72,210.53,,,,,
Netherlands,69.63,60.83,47.69,41.64,36.45,,,
Switzerland,177.35,165.21,181.38,184.46,166.13,,,
Australia,187.44,173.85,167.66,165.61,152.03,,,
New Zealand,7.13,5.62,5.06,4.31,,,,
