Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Burundi,,,,0.4,,"“Formal Contact” with the police and/or criminal justice system may include persons suspected, or arrested or cautioned, for a criminal offence, at the national level.",": When using the figures, any cross-national comparison should be conducted with caution because of legal and procedural differences that exist across national criminal justice systems.",https://data.unodc.org/#state:1
Madagascar,5.14,5.9,5.89,5.91,11.86,,,
Mauritius,32.1,,,,,,,
Mozambique,,,,,,,,
Uganda,3.39,4.48,3.49,29.27,,,,
Algeria,4.76,4.52,4.42,8.63,9.8,,,
Egypt,12.27,,,,,,,
Morocco,,22.11,12,,,,,
Botswana,960.21,,,13.58,,,,
Swaziland,,,,,,,,
Cabo Verde,,,112.25,82.46,63.1,,,
Bahamas,,,,,,,,
Barbados,70.25,52.21,144.82,86.45,71.1,,,
Dominican Republic,,6.08,,18.15,,,,
Grenada,274.65,230.17,,,258.96,,,
Saint Kitts and Nevis,211.13,,,,,,,
Trinidad and Tobago,8.55,10.39,3.66,6.09,7.29,,,
Belize,103.18,77.6,84.42,102.88,,,,
El Salvador,47.74,95.1,74.28,43.73,26.8,,,
Guatemala,5.62,7.19,8.17,10.85,,,,
Honduras,2.41,4.35,5.8,,8.06,,,
Mexico*,,21.21,36.06,37.36,54.51,,,
Nicaragua,,,,,,,,
Canada,517.42,464.04,406.64,365.23,366.04,,,
United States of America,"1,187.63","1,065.58",877.17,827.53,755.23,,,
Chile,438.43,400.1,385.46,402.37,398.62,,,
Colombia,32.72,41.17,41.33,37.43,37.64,,,
Ecuador*,0.63,0.7,5.96,4.44,,,,
Guyana,29.38,42.16,14.52,,34.69,,,
Paraguay,17.42,20.64,22.46,17.04,15.56,,,
Peru,5.43,6.57,5.13,5.41,6.64,,,
Uruguay,,345.93,,,382.15,,,
Kazakhstan,27.71,23.13,22.17,17.57,11.83,,,
Kyrgyzstan,10.64,11.38,9.61,9.7,9.42,,,
Tajikistan,1.89,,,,,,,
Turkmenistan,,,,,,,,
"China, Hong Kong Special Administrative Region",289.68,229.14,211.28,,,,,
Japan,150.01,117.44,95.54,71.86,,,,
Mongolia,14.14,8.62,26.29,27.92,20.88,,,
Republic of Korea,,,,,,,,
Brunei Darussalam,,,,,,,,
Myanmar,1.35,0.62,1.29,,1.39,,,
Philippines,0.13,2.71,,,,,,
Singapore,61.6,,,,,,,
Thailand,,,,,18.03,,,
Bangladesh,,,,,,,,
India,0.71,0.78,0.68,,,,,
Maldives,24.48,45.61,36.86,,,,,
Nepal,,,,,,,,
Sri Lanka,45.93,136.07,106.73,,,,,
Armenia*,5.63,5.98,7.57,5.36,8.54,,,
Azerbaijan,,1.51,0.84,1.35,,,,
Bahrain,,,,,,,,
Cyprus*,3.39,7.69,4.31,0.87,2.63,,,
Georgia,,,,,,,,
Iraq (Central Iraq),0.25,0.56,0.49,0.22,,,,
Israel,,,,,,,,
Qatar,,,,,,,,
State of Palestine,,,,,,,,
Syrian Arab Republic,,,,,,,,
Turkey,219.25,253.67,,,,,,
United Arab Emirates,,20.13,,,,,,
Yemen,,,,,,,,
Belarus,35.4,30.34,24.43,22.15,,,,
Bulgaria,146.96,140.87,131.52,127.69,84.98,,,
Czechia,66.13,39.4,61.34,63.13,64.9,,,
Hungary,340.05,322.79,304.68,233.87,,,,
Poland,218.6,198.37,126.62,102.28,69.1,,,
Republic of Moldova*,,,,44.68,,,,
Romania,47.14,,,,,,,
Russian Federation,56.13,52.31,51.49,44.9,49.8,,,
Slovakia,56.15,56.29,64.96,88.88,52.03,,,
Ukraine,,,,,,,,
Denmark,,,,,,,,
Estonia,,,,,,,,
Finland,"1,672.37","1,340.02","1,222.35","1,004.61",899.1,,,
Iceland,98.54,88.54,,117.32,196.83,,,
Ireland,,,,,,,,
Latvia,111.48,106.33,108.74,96.07,58.83,,,
Lithuania,76.93,82.13,76.42,79.32,58.59,,,
Norway,147.46,124.79,119.4,113.22,,,,
Sweden,378.45,300.29,252.38,248.41,257.48,,,
United Kingdom (Northern Ireland),,,,,,,,
Andorra,"1,335.85",484.15,938.97,869.82,,,,
Bosnia and Herzegovina,,1.51,1.23,8.17,7.05,,,
Croatia,71.1,60.83,47.09,47.72,46.19,,,
Italy,109.8,119.26,129.59,126.77,140.06,,,
Malta,274.66,281.42,219.09,163.71,186.58,,,
Montenegro,,,,11.55,14.59,,,
Serbia,29.66,30.83,42.72,36.48,54,,,
Slovenia,174.81,170.53,159.89,143.51,115.29,,,
Spain,53.36,58.09,57.99,54.78,80.15,,,
Austria,755.11,725.2,703.65,734.78,703.92,,,
Belgium,480.53,418.83,370.14,356.19,344,,,
France*,518.27,505.2,480.43,446.56,422.28,,,
Germany*,"1,020.39",944.24,904.93,906.23,899.1,,,
Liechtenstein,822.51,,,689.89,,,,
Luxembourg,"1,336.34","1,363.18","1,501.03","1,212.74",,,,
Monaco,,,,,,,,
Netherlands,611.71,545.24,459.29,439.01,394.48,,,
Switzerland*,458.66,421.48,417.56,425.55,373.65,,,
Australia,"1,094.93",962.35,877.76,823.49,809.63,,,
New Zealand,"1,534.14","1,323.52","1,155.68",,,,,
