Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Burundi*,,2.94,0.68,0.22,,"“Persons Held in Prisons, Penal Institutions or Correctional Institutions” means persons held in Prisons, Penal Institutions or Correctional Institutions on a specified day and should exclude non-criminal prisoners held for administrative purposes, for example, persons held pending investigation into their immigration status or foreign citizens without a legal right to stay.","Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.",https://data.unodc.org/#state:1
Kenya*,0.57,0.62,0.46,0.19,0.32,,,
Madagascar,0.48,0.51,0.57,0.61,0.85,,,
Mauritius,15.43,16.41,,,,,,
Mozambique,,,,,,,,
Seychelles,,,,,,,,
Zimbabwe,,,,,,,,
Cameroon*,,0.17,0.27,0.21,,,,
Algeria,0.07,0.07,0.08,0.05,0.05,,,
Morocco,,,,,,,,
Botswana*,0.49,,1.21,0.95,,,,
Lesotho,,,,,,,,
Swaziland,,,,,,,,
Burkina Faso,0.1,,,,,,,
Senegal,,,,,,,,
Togo,,0.12,,,,,,
Bahamas,,2.03,,,,,,
Barbados,,,,80.28,,,,
Dominican Republic,,,,,,,,
Grenada,11.69,5.9,-,6,6.02,,,
Jamaica,22.58,20.96,11.92,8.79,6.73,,,
Saint Kitts and Nevis,-,,,,,,,
Trinidad and Tobago,-,-,-,-,10.93,,,
Belize,20.64,8.79,13.1,4.35,,,,
Costa Rica,0.6,0.61,0.77,2.17,1.88,,,
El Salvador,11.45,13.28,13.65,13.63,7.7,,,
Honduras,1.65,,,,,,,
Mexico*,4.01,3.33,3.82,1.27,1.15,,,
Nicaragua,,,,,,,,
Panama*,1.31,1.46,1.29,,,,,
United States of America,1.66,1.39,1.67,0.84,0.84,,,
Argentina,,0.35,0.58,0.41,,,,
Bolivia (Plurinational State of),,7,,,,,,
Brazil,3.26,3.51,3.58,,,,,
Chile*,3.43,4,3.34,3.73,3.71,,,
Colombia,,,,,,,,
Ecuador,,1.77,1.36,0.84,,,,
Guyana,-,-,,,-,,,
Paraguay,0.5,0.84,1.01,0.84,,,,
Kazakhstan,0.34,0.33,0.24,0.08,0.15,,,
Kyrgyzstan,,,,,,,,
Turkmenistan,,,,,,,,
China,,0.22,,0.19,,,,
"China, Hong Kong Special Administrative Region",39.93,27.22,30.65,,,,,
"China, Macao Special Administrative Region*",-,2.3,2.28,-,-,,,
Japan,0.01,-,0.02,0.02,,,,
Mongolia,0.9,0.22,-,0.21,-,,,
Republic of Korea,0.76,0.8,0.55,2.97,,,,
Brunei Darussalam,,,,,,,,
Indonesia,,0.31,0.26,0.18,0.13,,,
Philippines,0.09,0.08,0.14,0.11,0.13,,,
Singapore,,,,,,,,
Thailand,,,,5.39,5.38,,,
Bangladesh,,,,,,,,
Bhutan,,-,-,,,,,
Maldives,,,,,,,,
Armenia,-,0.31,0.32,-,,,,
Azerbaijan,-,-,-,-,,,,
Bahrain,,,,,,,,
Cyprus,1.7,1.71,4.31,-,0.88,,,
Georgia,0.48,0.24,-,-,,,,
Iraq (Central Iraq),0.04,0.06,0.06,,,,,
Israel,0.42,0.33,0.16,0.64,,,,
Lebanon,0.87,0.81,0.63,,0.34,,,
State of Palestine,0.59,0.49,,,,,,
Turkey,0.63,0.47,0.45,0.5,0.64,,,
United Arab Emirates,,0.87,1.28,1.55,,,,
Belarus,1.66,0.36,0.24,0.47,,,,
Bulgaria,-,0.34,0.17,0.17,0.17,,,
Czechia*,1.34,1.01,0.56,0.67,0.33,,,
Hungary,2.63,1.86,2.35,2.02,,,,
Poland,6.78,6.08,5.23,4.89,4.9,,,
Republic of Moldova,1.47,1,0.51,0.26,,,,
Romania,1.13,0.92,1.1,1.11,0.9,,,
Russian Federation,1.57,0.88,0.85,0.74,0.69,,,
Slovakia,0.81,1.02,1.24,0.62,0.62,,,
Ukraine,1.09,,,,,,,
Denmark,-,0.17,-,-,-,,,
Estonia,3.38,1.7,1.71,1.71,1.69,,,
Finland,0.57,0.38,0.57,0.57,1.71,,,
Iceland,-,-,5.08,,,,,
Ireland,-,-,-,-,0.17,,,
Latvia,1.72,1.76,-,1.22,1.82,,,
Lithuania,1.8,2.61,0.77,1.19,0.4,,,
Norway*,-,0.18,-,,,,,
Sweden,-,-,-,-,-,,,
United Kingdom (England and Wales),0.4,0.41,0.14,-,,,,
United Kingdom (Northern Ireland),-,-,-,-,,,,
United Kingdom (Scotland),8.65,6.71,5.13,5.13,,,,
Albania,-,-,-,-,-,,,
Andorra*,-,-,-,-,,,,
Croatia,1.27,1.28,1.55,2.1,1.06,,,
Greece,1.66,1.36,1.27,1.18,0.54,,,
Italy,2.11,1.83,1.88,1.45,2.09,,,
Kosovo under UNSCR 1244,-,0.32,0.65,-,,,,
Malta,-,-,-,-,-,,,
Montenegro,1.4,1.41,-,-,-,,,
Portugal,,,,,,,,
Serbia,2.08,1,1.35,1.37,1.04,,,
Slovenia,-,-,-,-,-,,,
Spain,1.72,1.76,1.67,0.94,0.89,,,
The former Yugoslav Republic of Macedonia,,,,,,,,
Austria,2.02,1.49,0.82,0.82,,,,
Belgium,,,,,0.36,,,
France,0.48,0.51,0.44,0.51,0.4,,,
Liechtenstein,-,-,-,-,,,,
Luxembourg,1.88,-,3.67,1.82,-,,,
Monaco,209.49,105.59,105.26,,,,,
Netherlands,1.48,1.07,1.02,0.54,0.61,,,
Switzerland,0.42,0.56,0.42,0.28,0.14,,,
Australia,,,,,,,,
New Zealand,0.94,0.19,1.69,0.56,0.75,,,
