Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Algeria,63,62,62,93,89,"“Persons Convicted” means persons found guilty by any legal body authorized to pronounce a conviction under national criminal law, whether or not the conviction was later upheld. The total number of persons convicted should also include persons convicted of serious special law offences but exclude persons convicted of minor road traffic offences, misdemeanours and other petty offences. Data supplied by countries may","When using the figures, any cross-national comparison should be conducted with caution because of legal and procedural differences that exist across national criminal justice systems.",https://data.unodc.org/#state:0
South Africa,"4,786","3,881",,"5,457","9,049",,,
Grenada,41,33,,,,,,
Belize,,,,-,,,,
Costa Rica,932,"1,024","1,003",935,,,,
Guatemala,,,,,,,,
Mexico,,,899,,,,,
Nicaragua,,,,,,,,
Panama,,,,,,,,
Bermuda,,,21,,,,,
United States of America,"40,325","37,279","33,680",,,,,
Argentina,"1,656","1,849","1,755","1,969","2,150",,,
Chile,578,665,808,"1,090","1,465",,,
Guyana,32,39,18,23,22,,,
Paraguay,,,71,88,125,,,
Peru,,,,,,,,
Tajikistan,,,,,31,,,
Turkmenistan,,,,,,,,
China,601,605,569,210,,,,
"China, Macao Special Administrative Region*","3,220","2,649","2,301","2,698","2,717",,,
Japan,"3,658","3,424","3,235","3,290",,,,
Mongolia,28,28,48,28,34,,,
Republic of Korea,"2,678","2,682","2,792","3,102",,,,
Malaysia,,,,,,,,
Philippines,,,,,,,,
Thailand,"36,634","37,046","37,975","39,701","50,076",,,
Nepal,,,,,,,,
Armenia,98,54,,61,56,,,
Azerbaijan,80,63,92,86,,,,
Georgia,301,,,396,,,,
Saudi Arabia,,,,,"29,373",,,
State of Palestine,24,,,,,,,
Syrian Arab Republic,,,,,,,,
Turkey,"7,641","8,866","10,284","14,774",,,,
United Arab Emirates,,,,,,,,
Belarus,,,,885,,,,
Bulgaria,"1,579","1,931","3,464","4,851","3,274",,,
Czechia,"4,853","4,913","4,920","4,777","4,877",,,
Hungary,"1,951","1,854","1,723","2,277",,,,
Poland,"6,529","7,060","6,915","6,784","7,142",,,
Republic of Moldova,,,,47,,,,
Romania,,,,,,,,
Russian Federation,"31,937","28,535","30,352","30,558","28,139",,,
Slovakia,574,672,708,696,770,,,
Ukraine,,,,,,,,
Denmark,,,,,,,,
Finland,"22,280","21,132","20,263","19,615",,,,
Latvia,115,129,148,172,249,,,
Norway,"2,391","2,332","2,816",,"2,481",,,
Andorra,116,96,158,72,123,,,
Bosnia and Herzegovina,39,43,41,,,,,
Croatia,"1,310",739,667,542,436,,,
Holy See,5,3,4,1,8,,,
Italy,"91,586","86,467","74,481","70,994","71,854",,,
Kosovo under UNSCR 1244,110,97,84,59,80,,,
Montenegro,31,46,186,147,,,,
Portugal,"10,222","10,161","7,756",,"6,242",,,
Serbia,,572,567,527,732,,,
Slovenia,,,,,887,,,
Austria,"11,625","11,795","12,107","12,210",,,,
Belgium,"23,541","28,623","28,530","24,628","28,355",,,
France,"128,149","118,772","113,214","107,876","102,961",,,
Germany,"177,575","176,942","185,042","194,673",,,,
Monaco,670,682,679,,530,,,
Switzerland*,"51,184","57,220","60,572","60,886","59,525",,,
New Zealand,,,,,,,,
