Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Canada,2015,Other Hallucinogens,22.6,Gram,,,
Canada,2013,Other Hallucinogens,76.5,Gram,,,
Canada,2012,Other Hallucinogens,0.08,Gram,,,
Chile,2014,Other Hallucinogens,26.8,Gram,,,
Romania,2014,Other Hallucinogens,0.05,Gram,,,
Andorra,2012,Other Hallucinogens,11.1,Gram,,,
Czechia,2014,Other Hallucinogens,0.3,Gram,,,
Czechia,2014,Other Hallucinogens,4.02,Gram,,,
Czechia,2013,Other Hallucinogens,10.9,Gram,,,
Estonia,2014,Other Hallucinogens,13.91,Gram,,,
Estonia,2014,Other Hallucinogens,168.2,Gram,,,
Estonia,2013,Other Hallucinogens,2.12,Gram,,,
Estonia,2013,Other Hallucinogens,2.03,Gram,,,
Estonia,2012,Other Hallucinogens,2.2,Gram,,,
Ireland,2015,Other Hallucinogens,3.87,Gram,,,
Ireland,2015,Other Hallucinogens,41.1,Gram,,,
Ireland,2014,Other Hallucinogens,94,Gram,,,
Ireland,2012,Other Hallucinogens,757,Gram,,,
Latvia,2012,Other Hallucinogens,1.18,Gram,,,
Latvia,2011,Other Hallucinogens,543.9,Gram,,,
Liechtenstein,2013,Other Hallucinogens,"1,596",Gram,,,
Norway,2014,Other Hallucinogens,2,Gram,,,
Portugal,2015,Other Hallucinogens,6.77,Gram,,,
,,,,,,,
Canada,2015,Other Hallucinogens,12.27,Kilogram,,,
Canada,2015,Other Hallucinogens,118.12,Kilogram,,,
Canada,2014,Other Hallucinogens,10.66,Kilogram,,,
Canada,2014,Other Hallucinogens,3.61,Kilogram,,,
Canada,2014,Other Hallucinogens,0.16,Kilogram,,,
Canada,2014,Other Hallucinogens,16.88,Kilogram,,,
Canada,2013,Other Hallucinogens,14.89,Kilogram,,,
Canada,2013,Other Hallucinogens,215.5,Kilogram,,,
Canada,2012,Other Hallucinogens,87.5,Kilogram,,,
Canada,2012,Other Hallucinogens,300.2,Kilogram,,,
Canada,2012,Other Hallucinogens,52.27,Kilogram,,,
Canada,2011,Other Hallucinogens,21.21,Kilogram,,,
United States of America,2015,Other Hallucinogens,110.88,Kilogram,,,
United States of America,2015,Other Hallucinogens,"2,669.05",Kilogram,,,
United States of America,2015,Other Hallucinogens,92.47,Kilogram,,,
United States of America,2014,Other Hallucinogens,266,Kilogram,,,
United States of America,2014,Other Hallucinogens,225,Kilogram,,,
United States of America,2013,Other Hallucinogens,47.16,Kilogram,,,
United States of America,2012,Other Hallucinogens,87.41,Kilogram,,,
United States of America,2011,Other Hallucinogens,86.44,Kilogram,,,
Japan,2013,Other Hallucinogens,1.7,Kilogram,,,
Republic of Korea,2014,Other Hallucinogens,0.1,Kilogram,,,
Ukraine,2015,Other Hallucinogens,0.02,Kilogram,,,
Bulgaria,2015,Other Hallucinogens,0.15,Kilogram,,,
