Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Mauritius,2015,"5,409.09",Gram,n/a,n/a,https://data.unodc.org/#state:23
Mauritius,2014,611.36,Gram,,,
Mauritius,2013,"1,688.46",Gram,,,
Mauritius,2012,674.36,Gram,,,
South Africa,2015,100,Gram,,,
Zambia,2014,8.3,Gram,,,
Zambia,2012,"1,108.40",Gram,,,
Côte d'Ivoire,2015,35,Gram,,,
Gambia,2015,64.8,Gram,,,
Gambia,2014,124.45,Gram,,,
Gambia,2013,434.99,Gram,,,
Gambia,2011,6.44,Gram,,,
Dominican Republic,2014,2.8,Gram,,,
Costa Rica,2012,2,Gram,,,
Suriname,2015,4.3,Gram,,,
Suriname,2014,600,Gram,,,
Suriname,2012,80,Gram,,,
Suriname,2011,5,Gram,,,
Uruguay,2012,"1,331",Gram,,,
Armenia,2015,28,Gram,,,
Armenia,2014,504.2,Gram,,,
Armenia,2011,"11,321.40",Gram,,,
Georgia,2013,22.04,Gram,,,
Georgia,2012,2.1,Gram,,,
Kazakhstan,2015,"311,350",Gram,,,
Kazakhstan,2014,"252,890",Gram,,,
Kazakhstan,2013,"196,200.30",Gram,,,
Kazakhstan,2012,"225,881.78",Gram,,,
China,2011,85.5,Gram,,,
"China, Macao SAR",2014,7.68,Gram,,,
"China, Macao SAR",2013,0.29,Gram,,,
Indonesia,2015,199.62,Gram,,,
Indonesia,2014,"4,237.49",Gram,,,
Indonesia,2012,"7,836.44",Gram,,,
Indonesia,2011,230.99,Gram,,,
Mongolia,2013,70.3,Gram,,,
Mongolia,2012,92,Gram,,,
Philippines,2015,289.27,Gram,,,
Philippines,2014,216.78,Gram,,,
Qatar,2013,259,Gram,,,
Qatar,2012,259,Gram,,,
Saudi Arabia,2011,"23,128,323.12",Gram,,,
State of Palestine,2013,"5,748.20",Gram,,,
State of Palestine,2011,"15,130",Gram,,,
Albania,2014,"24,450",Gram,,,
Bosnia and Herzegovina,2015,"2,987",Gram,,,
Bosnia and Herzegovina,2014,7.5,Gram,,,
Bosnia and Herzegovina,2011,16.25,Gram,,,
Montenegro,2013,1,Gram,,,
Montenegro,2012,6.8,Gram,,,
Montenegro,2011,107.02,Gram,,,
Serbia,2012,717,Gram,,,
The former Yugoslav Republic of Macedonia,2013,4.15,Gram,,,
Andorra,2015,946.35,Gram,,,
Andorra,2014,"26,415.44",Gram,,,
Andorra,2013,"1,383.39",Gram,,,
Andorra,2012,"9,782.59",Gram,,,
Andorra,2011,"3,427.59",Gram,,,
Cyprus,2014,55,Gram,,,
Iceland,2015,"9,352.72",Gram,,,
Iceland,2013,680,Gram,,,
Iceland,2012,594,Gram,,,
Iceland,2011,1.83,Gram,,,
Ireland,2012,"1,618,663",Gram,,,
Ireland,2011,"1,632,246",Gram,,,
Latvia,2012,"117,295.36",Gram,,,
Liechtenstein,2013,144,Gram,,,
Malta,2013,535,Gram,,,
Monaco,2013,134.82,Gram,,,
Netherlands,2011,"1,087,304.95",Gram,,,
Uganda,2011,"2,327",Kilogram,,,
Algeria,2015,"126,685.77",Kilogram,,,
Algeria,2014,"181,942.90",Kilogram,,,
Algeria,2013,"211,512.77",Kilogram,,,
Algeria,2012,"157,382.64",Kilogram,,,
Algeria,2011,"53,323.09",Kilogram,,,
Egypt,2015,"33,550",Kilogram,,,
Egypt,2014,"54,598.87",Kilogram,,,
Egypt,2013,"84,256",Kilogram,,,
Egypt,2012,"12,296.74",Kilogram,,,
Egypt,2011,"18,213.42",Kilogram,,,
Morocco,2012,"137,335",Kilogram,,,
Mozambique,2015,1.91,Kilogram,,,
Mozambique,2014,"2,238",Kilogram,,,
Mozambique,2013,"5,354.88",Kilogram,,,
Mozambique,2012,201.04,Kilogram,,,
Mozambique,2011,48.06,Kilogram,,,
Cabo Verde,2011,53.9,Kilogram,,,
Côte d'Ivoire,2013,0.09,Kilogram,,,
Gambia,2012,1.04,Kilogram,,,
Niger,2013,875,Kilogram,,,
Niger,2012,875,Kilogram,,,
Bahamas,2014,32,Kilogram,,,
Bahamas,2011,197.3,Kilogram,,,
Cuba,2011,0.24,Kilogram,,,
Dominica,2014,276,Kilogram,,,
Dominica,2013,"4,537",Kilogram,,,
Jamaica,2015,6.2,Kilogram,,,
Jamaica,2015,1.42,Kilogram,,,
Jamaica,2013,22.6,Kilogram,,,
Jamaica,2012,2.99,Kilogram,,,
Jamaica,2011,8.85,Kilogram,,,
Costa Rica,2015,0.007,Kilogram,,,
Costa Rica,2014,1,Kilogram,,,
Canada,2015,488.09,Kilogram,,,
Canada,2014,"1,164.75",Kilogram,,,
Canada,2013,110.39,Kilogram,,,
Canada,2012,"1,622.33",Kilogram,,,
Canada,2011,"4,852.62",Kilogram,,,
Mexico,2015,11.63,Kilogram,,,
Mexico,2014,3.87,Kilogram,,,
Mexico,2013,11.37,Kilogram,,,
Mexico,2012,1.93,Kilogram,,,
Mexico,2011,9.1,Kilogram,,,
United States of America,2015,431.88,Kilogram,,,
United States of America,2015,233.87,Kilogram,,,
United States of America,2014,222,Kilogram,,,
United States of America,2014,192,Kilogram,,,
United States of America,2013,"2,452.91",Kilogram,,,
United States of America,2012,"1,882.25",Kilogram,,,
United States of America,2011,272.43,Kilogram,,,
Argentina,2015,0.43,Kilogram,,,
Argentina,2014,4.09,Kilogram,,,
Argentina,2013,105.03,Kilogram,,,
Argentina,2012,34.84,Kilogram,,,
Bolivia (Plurinational State of),2015,298.35,Kilogram,,,
Bolivia (Plurinational State of),2014,233.87,Kilogram,,,
Bolivia (Plurinational State of),2013,319.9,Kilogram,,,
Bolivia (Plurinational State of),2012,205.71,Kilogram,,,
Bolivia (Plurinational State of),2011,250.56,Kilogram,,,
Chile,2015,1.01,Kilogram,,,
Chile,2014,0.12,Kilogram,,,
Chile,2012,0.43,Kilogram,,,
Guyana,2013,0.01,Kilogram,,,
Guyana,2012,16,Kilogram,,,
Guyana,2011,89,Kilogram,,,
Paraguay,2015,1.61,Kilogram,,,
Paraguay,2014,6.25,Kilogram,,,
Paraguay,2013,7.42,Kilogram,,,
Paraguay,2012,79.7,Kilogram,,,
Paraguay,2011,79.7,Kilogram,,,
Suriname,2013,1.4,Kilogram,,,
Armenia,2013,1.48,Kilogram,,,
Armenia,2012,1.34,Kilogram,,,
Azerbaijan,2015,57.86,Kilogram,,,
Azerbaijan,2014,153.95,Kilogram,,,
Azerbaijan,2013,379.4,Kilogram,,,
Azerbaijan,2012,638.46,Kilogram,,,
Azerbaijan,2011,"1,008.62",Kilogram,,,
Georgia,2014,0.07,Kilogram,,,
Kazakhstan,2011,343.38,Kilogram,,,
Kyrgyzstan,2015,511.62,Kilogram,,,
Kyrgyzstan,2014,464.18,Kilogram,,,
Kyrgyzstan,2013,541.32,Kilogram,,,
Kyrgyzstan,2012,367.53,Kilogram,,,
Kyrgyzstan,2011,629.74,Kilogram,,,
Tajikistan,2015,"2,188.03",Kilogram,,,
Tajikistan,2014,"2,708.09",Kilogram,,,
Tajikistan,2013,"2,788.07",Kilogram,,,
Tajikistan,2012,"2,316.78",Kilogram,,,
Tajikistan,2011,"1,896.78",Kilogram,,,
Turkmenistan,2015,0.008,Kilogram,,,
Turkmenistan,2014,0.2,Kilogram,,,
Turkmenistan,2013,4.72,Kilogram,,,
Turkmenistan,2012,38.97,Kilogram,,,
Turkmenistan,2011,11.04,Kilogram,,,
Uzbekistan,2015,250.2,Kilogram,,,
Uzbekistan,2014,99.9,Kilogram,,,
Uzbekistan,2013,143.3,Kilogram,,,
Uzbekistan,2012,230.73,Kilogram,,,
Uzbekistan,2011,367,Kilogram,,,
Cambodia,2011,8.14,Kilogram,,,
China,2014,0.2,Kilogram,,,
China,2015,25.6,Kilogram,,,
China,2014,97.9,Kilogram,,,
China,2013,71.94,Kilogram,,,
China,2012,30.5,Kilogram,,,
China,2011,52.77,Kilogram,,,
Japan,2015,3.9,Kilogram,,,
Japan,2014,36.71,Kilogram,,,
Japan,2013,1.22,Kilogram,,,
Japan,2012,42.51,Kilogram,,,
Japan,2011,28.42,Kilogram,,,
Philippines,2012,37.46,Kilogram,,,
Republic of Korea,2015,0.32,Kilogram,,,
Republic of Korea,2014,0.33,Kilogram,,,
Republic of Korea,2012,0.33,Kilogram,,,
Thailand,2015,5.6,Kilogram,,,
Thailand,2011,71,Kilogram,,,
Viet Nam,2011,500,Kilogram,,,
Afghanistan,2015,"163,059.32",Kilogram,,,
Afghanistan,2014,"43,485.15",Kilogram,,,
Afghanistan,2013,"31,925.95",Kilogram,,,
Afghanistan,2012,"160,530.10",Kilogram,,,
Afghanistan,2011,"62,132.19",Kilogram,,,
Bahrain,2014,213,Kilogram,,,
Bahrain,2011,13.68,Kilogram,,,
Iran (Islamic Republic of),2015,"98,050",Kilogram,,,
Iran (Islamic Republic of),2014,"77,828",Kilogram,,,
Iran (Islamic Republic of),2013,"76,067",Kilogram,,,
Iran (Islamic Republic of),2012,"66,693",Kilogram,,,
Iran (Islamic Republic of),2011,"57,096",Kilogram,,,
Israel,2015,"1,035",Kilogram,,,
Israel,2014,"1,920",Kilogram,,,
Israel,2013,"2,552",Kilogram,,,
Israel,2012,"1,594",Kilogram,,,
Israel,2011,"1,060",Kilogram,,,
Jordan,2014,"1,222",Kilogram,,,
Jordan,2013,444.04,Kilogram,,,
Jordan,2012,157.24,Kilogram,,,
Jordan,2011,"1,761.34",Kilogram,,,
Kuwait,2011,424.8,Kilogram,,,
Lebanon,2015,"6,678.44",Kilogram,,,
Lebanon,2014,"2,780",Kilogram,,,
Lebanon,2013,92,Kilogram,,,
Lebanon,2012,240.37,Kilogram,,,
Lebanon,2011,140.88,Kilogram,,,
Pakistan,2015,"279,464.18",Kilogram,,,
Pakistan,2014,"230,574.77",Kilogram,,,
Pakistan,2013,"313,735.70",Kilogram,,,
Pakistan,2012,"166,026.31",Kilogram,,,
Pakistan,2011,"187,061.93",Kilogram,,,
Qatar,2015,5.08,Kilogram,,,
Qatar,2011,7.81,Kilogram,,,
Saudi Arabia,2015,"32,350",Kilogram,,,
Saudi Arabia,2013,"11,061.14",Kilogram,,,
State of Palestine,2014,6.55,Kilogram,,,
State of Palestine,2012,"18,870",Kilogram,,,
Syrian Arab Republic,2015,"2,944",Kilogram,,,
Syrian Arab Republic,2014,535,Kilogram,,,
Syrian Arab Republic,2013,267,Kilogram,,,
Syrian Arab Republic,2012,139,Kilogram,,,
Syrian Arab Republic,2011,"1,266",Kilogram,,,
United Arab Emirates,2015,469,Kilogram,,,
United Arab Emirates,2012,"1,192",Kilogram,,,
Yemen,2014,"1,059",Kilogram,,,
Yemen,2013,909,Kilogram,,,
Yemen,2012,"2,614",Kilogram,,,
Yemen,2011,785,Kilogram,,,
India,2015,"3,349",Kilogram,,,
India,2014,"2,281.30",Kilogram,,,
India,2013,"4,407",Kilogram,,,
India,2012,"3,291",Kilogram,,,
India,2011,"3,872.30",Kilogram,,,
Nepal,2011,"1,923.40",Kilogram,,,
Sri Lanka,2015,4.3,Kilogram,,,
Sri Lanka,2013,0.66,Kilogram,,,
Sri Lanka,2012,0.48,Kilogram,,,
Sri Lanka,2011,18.58,Kilogram,,,
Belarus,2014,252.4,Kilogram,,,
Belarus,2013,158,Kilogram,,,
Belarus,2012,4.8,Kilogram,,,
Belarus,2011,140.4,Kilogram,,,
Republic of Moldova,2015,290,Kilogram,,,
Republic of Moldova,2014,0.07,Kilogram,,,
Republic of Moldova,2013,82.45,Kilogram,,,
Republic of Moldova,2012,89,Kilogram,,,
Russian Federation,2015,"1,873.56",Kilogram,,,
Russian Federation,2014,"1,960.70",Kilogram,,,
Russian Federation,2013,"2,135.50",Kilogram,,,
Russian Federation,2012,"1,669",Kilogram,,,
Russian Federation,2011,"2,275.09",Kilogram,,,
Ukraine,2015,112.03,Kilogram,,,
Ukraine,2014,257.59,Kilogram,,,
Ukraine,2013,0.66,Kilogram,,,
Ukraine,2011,27.32,Kilogram,,,
Albania,2015,60.16,Kilogram,,,
Albania,2012,5.11,Kilogram,,,
Albania,2011,32.21,Kilogram,,,
Bosnia and Herzegovina,2013,15.11,Kilogram,,,
Bulgaria,2015,12.6,Kilogram,,,
Bulgaria,2014,2.36,Kilogram,,,
Bulgaria,2013,5.25,Kilogram,,,
Bulgaria,2012,"15,967.24",Kilogram,,,
Bulgaria,2011,16.84,Kilogram,,,
Croatia,2015,16,Kilogram,,,
Croatia,2014,2.38,Kilogram,,,
Croatia,2013,5.05,Kilogram,,,
Croatia,2012,23.15,Kilogram,,,
Croatia,2011,2.71,Kilogram,,,
Kosovo under UNSCR 1287,2012,0.55,Kilogram,,,
Montenegro,2015,0.05,Kilogram,,,
Montenegro,2014,0.002,Kilogram,,,
Romania,2015,5.15,Kilogram,,,
Romania,2014,15.21,Kilogram,,,
Romania,2013,24.86,Kilogram,,,
Romania,2012,27.26,Kilogram,,,
Romania,2011,17.57,Kilogram,,,
Serbia,2015,10.64,Kilogram,,,
Serbia,2014,6.2,Kilogram,,,
Serbia,2013,0.8,Kilogram,,,
Serbia,2011,5.47,Kilogram,,,
The former Yugoslav Republic of Macedonia,2015,0.49,Kilogram,,,
The former Yugoslav Republic of Macedonia,2014,5.1,Kilogram,,,
The former Yugoslav Republic of Macedonia,2012,22.9,Kilogram,,,
Turkey,2015,"7,855.42",Kilogram,,,
Turkey,2014,"30,634.74",Kilogram,,,
Turkey,2013,"94,279.36",Kilogram,,,
Turkey,2012,"27,413.11",Kilogram,,,
Turkey,2011,"21,141.38",Kilogram,,,
Austria,2015,286.93,Kilogram,,,
Austria,2014,100.91,Kilogram,,,
Austria,2013,129.66,Kilogram,,,
Austria,2012,173.76,Kilogram,,,
Austria,2011,75,Kilogram,,,
Belgium,2015,"7,045.41",Kilogram,,,
Belgium,2014,840.56,Kilogram,,,
