Country,Cannabis-type,Retail Level Price Typical,Year 
Burundi,Hashish (resin),,2008
Eritrea,Hashish (resin),5,2008
Kenya,Hashish (resin),6,2007
Madagascar,Hashish (resin),0.3,2006
Mauritius,Hashish (resin),49.8,2013
Algeria,Hashish (resin),3.3,2015
Egypt,Hashish (resin),,2015
Libya,Hashish (resin),15.4,2005
Morocco,Hashish (resin),3,2015
Sudan,Hashish (resin),23.8,2008
Congo,Hashish (resin),0.3,2004
Gambia,Hashish (resin),1.5,2007
Senegal,Hashish (resin),,
South Africa,Hashish (resin),11,2008
Zambia,Hashish (resin),0.4,2009
Bahamas,Hashish (resin),20,2008
bermuda,Hashish (resin),,
Cuba,Hashish (resin),,2009
jamaica,Hashish (resin),,
Turks and Caicos Islands,Hashish (resin),15,2004
Canada,Hashish (resin),17.2,2014
Mexico,Hashish (resin),,
United States of America,Hashish (resin),,2015
Brazil,Hashish (resin),2,2005
Colombia,Hashish (resin),1.9,2004
Paraguay,Hashish (resin),4.3,2014
Cambodia,Hashish (resin),12000,2014
China,Hashish (resin),,
Indonesia,Hashish (resin),8.5,2014
Japan,Hashish (resin),66.4,2015
"Hong Kong SAR, China",Hashish (resin),10.2,2015
"Macao SAR, China",Hashish (resin),12,2009
Mongolia,Hashish (resin),0,2012
Philippines,Hashish (resin),0.6,2010
Republic of Korea,Hashish (resin),36.2,2015
Afghanistan,Hashish (resin),0.2,2013
Armenia,Hashish (resin),,2015
Azerbaijan,Hashish (resin),,2015
Bahrain,Hashish (resin),53.2,2009
Bangladesh,Hashish (resin),2.2,2006
Georgia,Hashish (resin),,2009
India,Hashish (resin),1.8,2015
Iran (Islamic Republic of),Hashish (resin),0.6,2009
Israel,Hashish (resin),5,2008
Jordan,Hashish (resin),21,2009
Kazakhstan,Hashish (resin),14.8,2015
Kuwait,Hashish (resin),,2005
Kyrgyzstan,Hashish (resin),20,2015
Lebanon,Hashish (resin),12,2015
Nepal,Hashish (resin),3,2007
Oman,Hashish (resin),38.8,2007
Pakistan,Hashish (resin),0.9,2015
Qatar,Hashish (resin),,
Saudi Arabia,Hashish (resin),,2015
Sri Lanka,Hashish (resin),6.2,2015
Syrian Arab Republic,Hashish (resin),1.2,2007
Tajikistan,Hashish (resin),,2009
Turkmenistan,Hashish (resin),2,2006
United Arab Emirates,Hashish (resin),95,2006
Uzbekistan,Hashish (resin),,2013
Yemen,Hashish (resin),,2008
Belarus,Hashish (resin),17,2013
Republic of Moldova,Hashish (resin),11,2014
Russian Federation,Hashish (resin),17.2,2015
Ukraine,Hashish (resin),,2014
Albania,Hashish (resin),,
Andorra,Hashish (resin),,
Austria,Hashish (resin),8.8,2015
Belgium,Hashish (resin),9,2015
Bosnia and Herzegovina,Hashish (resin),7.4,2008
Bulgaria,Hashish (resin),18.7,2013
Croatia,Hashish (resin),15.9,2010
Cyprus,Hashish (resin),,2014
Czechia,Hashish (resin),,2014
Denmark,Hashish (resin),7.3,2015
Estonia,Hashish (resin),19.7,2014
Finland,Hashish (resin),,2015
France,Hashish (resin),7.1,2015
Germany,Hashish (resin),9,2015
Gibraltar,Hashish (resin),4.6,2008
Greece,Hashish (resin),27.4,2015
Hungary,Hashish (resin),8.9,2015
Iceland,Hashish (resin),22.3,2015
Ireland,Hashish (resin),6.6,2015
Italy,Hashish (resin),12.4,2015
Latvia,Hashish (resin),19.1,2015
Liechtenstein,Hashish (resin),15.1,2015
Lithuania,Hashish (resin),10.9,2015
Luxembourg,Hashish (resin),18.3,2015
Malta,Hashish (resin),26.3,2014
Monaco,Hashish (resin),2.5,2005
Netherlands,Hashish (resin),11.7,2014
Norway,Hashish (resin),17.3,2015
Poland,Hashish (resin),10.3,2015
Portugal,Hashish (resin),3.9,2013
Romania,Hashish (resin),,2015
Serbia,Hashish (resin),3.7,2008
Slovakia,Hashish (resin),,2015
Slovenia,Hashish (resin),10.9,2015
Spain,Hashish (resin),6.1,2015
Sweden,Hashish (resin),11.9,2015
Switzerland,Hashish (resin),13.1,2015
The former Yugoslav Republic of Macedonia,Hashish (resin),,2009
Turkey,Hashish (resin),,2015
United Kingdom,Hashish (resin),14.8,2015
Australia,Hashish (resin),,2014
New Zealand,Hashish (resin),17.2,2015
