Country,Year,Number,Definition,Interpretation,Link
Albania,,,N/A," * Definitions of treatment interventions, recording practices (including counting rules) and methods for determining the primary drug of abuse differ from country to country; percentages may fail to add up to 100 per cent owing to incomplete reporting, gaps in identifying primary drug of abuse and treatment for multiple drugs. ",
Andorra,2015,12.8,,,
Austria,2014,22.5,,,
Belarus,2011/2014***,,,,
Belgium,2015,25,,,
Bosnia and Herzegovina,2010-2015,93.9,,,
Bulgaria,2015,62.2,,,
Croatia,2015,67.7,,,
Cyprus,2013,21.7,,,
Czechia,2015,8.1,,,
Denmark,2013,8.4,,,
Estonia,2015,5.3,,,
Finland,2014,,,,
France,2014,28.7,,,
Germany,2014,,,,
Gibraltar,,,,,
Greece,2014,92.5,,,
Macedonia (TFYR),,,,,
Hungary,2015,2.8,,,
Iceland,,,,,
Ireland,2014,42.6,,,
Italy,2015,69.4,,,
Latvia,2015,46.6,,,
Liechtenstein,2015,,,,
Lithuania,2015,,,,
Luxembourg,2015,,,,
Malta,2014,,,,
Moldova (Republic of),2011/ 2013***,,,,
Monaco,2013,1.8,,,
Montenegro,2015,95.9,,,
Netherlands,2014,,,,
Norway,2014,,,,
Poland,2014,,,,
Portugal,2015,49.7,,,
Romania,2015,29.6,,,
Russian Federation,2014,,,,
Serbia,2015,,,,
Slovakia,2015,16.4,,,
Slovenia,2014,66.5,,,
Spain,2014,22.4,,,
Sweden,2014,,,,
Switzerland,,,,,
Turkey,2015,73.5,,,
Ukraine,2015,,,,
United Kingdom,2014,42.8,,,
