Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Ethiopia,2013,"11,299.06",Gram,n/a,n/a,https://data.unodc.org/#state:23
Ethiopia,2011,"7,200",Gram,,,
Kenya,2015,"39,493",Gram,,,
Mauritius,2015,"13,068.77",Gram,,,
Mauritius,2014,"12,001.77",Gram,,,
Mauritius,2013,"14,116.15",Gram,,,
Mauritius,2012,"18,338.05",Gram,,,
Algeria,2015,"2,573.75",Gram,,,
Algeria,2014,339.11,Gram,,,
Algeria,2013,868.3,Gram,,,
Algeria,2012,"6,073.66",Gram,,,
Algeria,2011,"2,496.65",Gram,,,
Tunisia,2015,"1,700",Gram,,,
Tunisia,2014,0.1,Gram,,,
Botswana,2014,969.1,Gram,,,
Swaziland,2014,0.008,Gram,,,
Zambia,2014,288.4,Gram,,,
Zambia,2012,431.44,Gram,,,
Burkina Faso,2013,2.36,Gram,,,
Gambia,2015,6,Gram,,,
Gambia,2014,24.85,Gram,,,
Gambia,2013,7.9,Gram,,,
Gambia,2012,113.77,Gram,,,
Gambia,2011,3,Gram,,,
El Salvador,2015,"2,261.70",Gram,,,
El Salvador,2013,771.5,Gram,,,
Suriname,2015,4,Gram,,,
Suriname,2014,42,Gram,,,
Armenia,2015,1,Gram,,,
Armenia,2014,"850,197.20",Gram,,,
Armenia,2013,4,Gram,,,
Armenia,2012,5.1,Gram,,,
Armenia,2011,"90,136.60",Gram,,,
Georgia,2015,"1,496.34",Gram,,,
Georgia,2012,261.5,Gram,,,
Georgia,2011,451.3,Gram,,,
Kazakhstan,2015,"464,000",Gram,,,
Kazakhstan,2014,"392,292",Gram,,,
Kazakhstan,2013,"753,854.70",Gram,,,
Kazakhstan,2012,"306,725.07",Gram,,,
Cambodia,2014,"1,840",Gram,,,
"China, Macao SAR",2012,"1,599.02",Gram,,,
"China, Taiwan Province of China",2015,"55,716.80",Gram,,,
"China, Taiwan Province of China",2014,"86,737.50",Gram,,,
"China, Taiwan Province of China",2013,"288,257",Gram,,,
"China, Taiwan Province of China",2012,"157,941",Gram,,,
"China, Taiwan Province of China",2011,"17,836",Gram,,,
Indonesia,2015,"13,329.34",Gram,,,
Indonesia,2014,"12,195.44",Gram,,,
Indonesia,2012,"52,424.92",Gram,,,
Indonesia,2011,"37,989.87",Gram,,,
Qatar,2015,5.59,Gram,,,
Qatar,2013,3,Gram,,,
Qatar,2012,3,Gram,,,
Saudi Arabia,2011,"111,232.42",Gram,,,
State of Palestine,2014,235,Gram,,,
State of Palestine,2013,200.1,Gram,,,
State of Palestine,2012,586,Gram,,,
State of Palestine,2011,"1,089",Gram,,,
Syrian Arab Republic,2015,"9,886",Gram,,,
Nepal,2011,5.8,Gram,,,
Republic of Moldova,2013,336.2,Gram,,,
Albania,2014,"73,491.70",Gram,,,
Bosnia and Herzegovina,2015,"12,995",Gram,,,
Bosnia and Herzegovina,2014,"4,349.70",Gram,,,
Bosnia and Herzegovina,2012,"13,158.44",Gram,,,
Montenegro,2011,"3,768.34",Gram,,,
Serbia,2012,"55,056",Gram,,,
Andorra,2015,23.96,Gram,,,
Andorra,2014,2.3,Gram,,,
Andorra,2013,3.7,Gram,,,
Andorra,2012,6.4,Gram,,,
Andorra,2011,20.3,Gram,,,
Cyprus,2015,1,Gram,,,
Estonia,2015,0.86,Gram,,,
Estonia,2014,3.24,Gram,,,
Estonia,2013,0.66,Gram,,,
Estonia,2012,0.4,Gram,,,
Iceland,2015,0.42,Gram,,,
Iceland,2013,1,Gram,,,
Iceland,2012,0.2,Gram,,,
Ireland,2012,"62,379",Gram,,,
Ireland,2011,"32,845",Gram,,,
Latvia,2012,"1,395.44",Gram,,,
Latvia,2011,444.11,Gram,,,
Liechtenstein,2013,6.2,Gram,,,
Lithuania,2012,465,Gram,,,
Netherlands,2011,"397,849.52",Gram,,,
New Zealand,2015,38.4,Gram,,,
Kenya,2014,386.92,Kilogram,,,
Kenya,2011,103,Kilogram,,,
Madagascar,2015,1.28,Kilogram,,,
Madagascar,2013,0.7,Kilogram,,,
Mauritius,2011,3.6,Kilogram,,,
Uganda,2012,11.9,Kilogram,,,
Uganda,2011,5,Kilogram,,,
United Republic of Tanzania,,50.2,Kilogram,,,
United Republic of Tanzania,2014,400,Kilogram,,,
United Republic of Tanzania,2012,260,Kilogram,,,
United Republic of Tanzania,2011,264.2,Kilogram,,,
Egypt,2015,516,Kilogram,,,
Egypt,2014,613.35,Kilogram,,,
Egypt,2013,260,Kilogram,,,
Egypt,2012,96.09,Kilogram,,,
Egypt,2011,74.8,Kilogram,,,
Morocco,2015,4.49,Kilogram,,,
Morocco,2014,7.3,Kilogram,,,
Morocco,2013,3.17,Kilogram,,,
Morocco,2012,9.72,Kilogram,,,
Morocco,2011,2.01,Kilogram,,,
Sudan,2013,3,Kilogram,,,
