Country,Year,Number,Definition,Interpretation,Link
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Kenya,2011,18.3,Data on the prevalence of people who inject drugs living with HIV,n/a,https://data.unodc.org/#state:37
Madagascar,2012,5.9,,,
Seychelles,2011,1.4,,,
,,,,,
,,,,,
Tanzania (United Republic of),2014,22,,,
,,,,,
Egypt,2010,3.9,,,
,,,,,
Libyan Arab Jamahiriya,2010,81.5,,,
,,,,,
,,,,,
Morocco,2013,0.4,,,
,,,,,
Mozambique,2014,36.8,,,
,,,,,
,,,,,
,,,,,
,,,,,
Côte d'Ivoire,2014,0,,,
,,,,,
Nigeria,2014,2.8,,,
,,,,,
,,,,,
,,,,,
Colombia,2014,2.7,,,
,,,,,
,,,,,
Armenia,2016,0,,,
,,,,,
,,,,,
,,,,,
Georgia,2015,1.53,,,
Cambodia,2012,7.3,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
China,2012,6,,,
Myanmar,2014,20.53,,,
,,,,,
,,,,,
"Taiwan, Province of China",2007,10,,,
,,,,,
,,,,,
Afghanistan,2012,3.3,,,
,,,,,
Pakistan,2011,37.3,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Oman,2005/06,7.7,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
India,2015,9,,,
,,,,,
,,,,,
Nepal,2015/16,2.4,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Russian Federation,"upper estimate 2011/12, lower estimate 2014",19.9,,,
Croatia,2015,0.2,,,
Serbia,2013,0,,,
Austria,2014,0,,,
Belgium,2012,0.1,,,
,,,,,
Czechia,2014,0.2,,,
Estonia,2014,42.9,,,
Germany,2011/14,0,,,
Greece,2014,6.4,,,
Luxembourg,2005,0.2,,,
"United Kingdom (England, Wales and Northern Ireland)",2015,0.59,,,
