Country,Mechanism,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Mauritius,Firearm %,0 %,,,,,Intentional homicide is defined as unlawful death inflicted upon a person with the intent to cause death or serious injury.,"When using the figures, any cross-national comparison should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, the different methods of offence counting and recording and differences in the share of criminal offences that are not reported to or detected by law enforcement authorities (i.e. the dark figure). ",https://data.unodc.org/#state:22
South Sudan,Firearm %,,14 %,,,,,,
Uganda,Firearm %,,,,,,,,
Sao Tome and Principe,Firearm %,100 %,,,,,,,
Algeria,Firearm %,,,,,,,,
Egypt,Firearm %,68 %,,,,,,,
Namibia,Firearm %,13 %,15 %,,,,,,
South Africa,Firearm %,,,,,,,,
Sierra Leone,Firearm %,,,,,,,,
Bahamas,Firearm %,74 %,,,,,,,
Dominican Republic,Firearm %,63 %,64 %,,,,,,
Grenada,Firearm %,0 %,0 %,,,,,,
Jamaica,Firearm %,70 %,,,,,,,
Saint Kitts and Nevis,Firearm %,88 %,,,,,,,
Saint Vincent and the Grenadines,Firearm %,,,,,,,,
Trinidad and Tobago,Firearm %,71 %,,,,,,,
Belize,Firearm %,67 %,,,,,,,
Costa Rica,Firearm %,63 %,64 %,,,,,,
El Salvador,Firearm %,70 %,62 %,,,,,,
Guatemala,Firearm %,,,,,,,,
Honduras,Firearm %,84 %,,,,,,,
Mexico,Firearm %,57 %,,,,,,,
Nicaragua,Firearm %,,,,,,,,
Panama,Firearm %,76 %,74 %,,,,,,
Canada,Firearm %,29 %,,,,,,,
United States of America (the),Firearm %,59 %,60 %,,,,,,
Argentina,Firearm %,,,,,,,,
Bolivia (Plurinational State of),Firearm %,,,,,,,,
Chile,Firearm %,27 %,,,,,,,
Colombia,Firearm %,77 %,,,,,,,
Ecuador,Firearm %,,,,,,,,
Guyana,Firearm %,25 %,,,,,,,
Paraguay,Firearm %,61 %,64 %,,,,,,
Peru,Firearm %,,,,,,,,
Uruguay,Firearm %,49 %,,,,,,,
Kazakhstan,Firearm %,7 %,7 %,,,,,,
Kyrgyzstan,Firearm %,1 %,,,,,,,
Tajikistan,Firearm %,10 %,,,,,,,
"China, Hong Kong SAR",Firearm %,,,,,,,,
Mongolia,Firearm %,2 %,,,,,,,
Republic of Korea,Firearm %,2 %,,,,,,,
Brunei Darussalam,Firearm %,,,,,,,,
Singapore,Firearm %,0 %,,,,,,,
India,Firearm %,,,,,,,,
Maldives,Firearm %,,,,,,,,
Nepal,Firearm %,,,,,,,,
Armenia,Firearm %,9 %,11 %,,,,,,
Azerbaijan,Firearm %,,,,,,,,
Bahrain,Firearm %,,,,,,,,
Cyprus,Firearm %,33 %,52 %,,,,,,
Georgia,Firearm %,,,,,,,,
Jordan,Firearm %,,,,,,,,
Lebanon,Firearm %,,,,,,,,
State of Palestine,Firearm %,,,,,,,,
Turkey,Firearm %,,,,,,,,
Belarus,Firearm %,,,,,,,,
Bulgaria,Firearm %,32 %,18 %,,,,,,
Czech Republic,Firearm %,11 %,10 %,,,,,,
Hungary,Firearm %,9 %,7 %,,,,,,
Poland,Firearm %,5 %,,,,,,,
Republic of Moldova,Firearm %,4 %,5 %,,,,,,
Romania,Firearm %,3 %,2 %,,,,,,
Slovakia,Firearm %,14 %,19 %,,,,,,
Ukraine,Firearm %,,,,,,,,
Denmark,Firearm %,34 %,,,,,,,
Finland,Firearm %,14 %,19 %,,,,,,
Iceland,Firearm %,0 %,0 %,,,,,,
Latvia,Firearm %,,,,,,,,
Lithuania,Firearm %,1 %,,,,,,,
Sweden,Firearm %,,,,,,,,
United Kingdom (England and Wales),Firearm %,7 %,,,,,,,
United Kingdom (Northern Ireland),Firearm %,22 %,,,,,,,
Albania,Firearm %,61 %,,,,,,,
Andorra,Firearm %,,,,,,,,
Bosnia and Herzegovina,Firearm %,14 %,,,,,,,
Croatia,Firearm %,27 %,31 %,,,,,,
Italy,Firearm %,,,,,,,,
Malta,Firearm %,0 %,42 %,,,,,,
Montenegro,Firearm %,76 %,,,,,,,
Portugal,Firearm %,20 %,37 %,,,,,,
Serbia,Firearm %,20 %,12 %,,,,,,
Slovenia,Firearm %,63 %,29 %,,,,,,
Spain,Firearm %,14 %,14 %,,,,,,
The former Yugoslav Republic of Macedonia,Firearm %,63 %,,,,,,,
Austria,Firearm %,10 %,,,,,,,
Germany,Firearm %,,,,,,,,
Liechtenstein,Firearm %,0 %,,,,,,,
Luxembourg,Firearm %,0 %,,,,,,,
Monaco,Firearm %,,,,,,,,
Netherlands,Firearm %,34 %,,,,,,,
Switzerland,Firearm %,48 %,,,,,,,
Australia,Firearm %,17 %,17 %,,,,,,
New Zealand,Firearm %,8 %,7 %,,,,,,
Solomon Islands,Firearm %,,,,,,,,
Tonga,Firearm %,0 %,0 %,,,,,,
