Country,Mechanism,2011,2012,2013,2014,2015,Definition,Interpretation,Link
South Sudan,Other %,,85 %,,,,Note: this is a prevalence (%) not a rate,,
Egypt,Other %,13 %,,,,,,,
South Africa,Other %,,,,,,,,
Bahamas,Other %,9 %,,,,,,,
Dominican Republic,Other %,13 %,11 %,,,,,,
Grenada,Other %,25 %,29 %,,,,,,
Jamaica,Other %,11 %,,,,,,,
Saint Vincent and the Grenadines,Other %,,,,,,,,
Trinidad and Tobago,Other %,13 %,,,,,,,
Belize,Other %,0 %,,,,,,,
Costa Rica,Other %,18 %,17 %,,,,,,
El Salvador,Other %,12 %,17 %,,,,,,
Honduras,Other %,6 %,,,,,,,
Nicaragua,Other %,,,,,,,,
Panama,Other %,8 %,10 %,,,,,,
Canada,Other %,34 %,,,,,,,
United States of America (the),Other %,30 %,30 %,,,,,,
Chile,Other %,41 %,,,,,,,
Colombia,Other %,9 %,,,,,,,
Guyana,Other %,30 %,,,,,,,
Uruguay,Other %,18 %,,,,,,,
"China, Hong Kong SAR",Other %,,,,,,,,
Mongolia,Other %,64 %,,,,,,,
Armenia,Other %,65 %,,,,,,,
Azerbaijan,Other %,,,,,,,,
Cyprus,Other %,33 %,22 %,,,,,,
Bulgaria,Other %,44 %,48 %,,,,,,
Czech Republic,Other %,43 %,,,,,,,
Hungary,Other %,46 %,57 %,,,,,,
Finland,Other %,43 %,46 %,,,,,,
Iceland,Other %,67 %,0 %,,,,,,
United Kingdom (England and Wales),Other %,54 %,,,,,,,
United Kingdom (Northern Ireland),Other %,44 %,,,,,,,
United Kingdom (Scotland),Other %,42 %,,,,,,,
Albania,Other %,20 %,,,,,,,
Andorra,Other %,,,,,,,,
Bosnia and Herzegovina,Other %,78 %,,,,,,,
Croatia,Other %,39 %,31 %,,,,,,
Italy,Other %,,,,,,,,
Malta,Other %,67 %,33 %,,,,,,
Montenegro,Other %,10 %,,,,,,,
Serbia,Other %,62 %,71 %,,,,,,
Slovenia,Other %,31 %,29 %,,,,,,
Spain,Other %,50 %,47 %,,,,,,
The former Yugoslav Republic of Macedonia,Other %,30 %,,,,,,,
Austria,Other %,53 %,,,,,,,
Liechtenstein,Other %,,,,,,,,
Luxembourg,Other %,50 %,,,,,,,
Switzerland,Other %,24 %,,,,,,,
Australia,Other %,,,,,,,,
New Zealand,Other %,51 %,59 %,,,,,,
