Country,City,Indicator,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Kenya,Nairobi,Rate,6.1,6.1,,,,Intentional homicide is defined as unlawful death inflicted upon a person with the intent to cause death or serious injury.,n/a,https://data.unodc.org/#state:1
Mozambique,Maputo,Rate,,,,,,,,
South Sudan,Juba,Rate,,12,,,,,,
Uganda,Kampala,Rate,,,,,,,,
United Republic of Tanzania,Dar es Salaam,Rate,,,,,,,,
Zambia,Lusaka,Rate,,,,,,,,
Democratic Republic of the Congo,Kinshasa,Rate,,,,,,,,
Sao Tome and Principe,Sao Tome,Rate,,,,,,,,
Algeria,Algiers,Rate,1.4,,,,,,,
Egypt,Cairo,Rate,2.4,,,,,,,
Morocco,Casablanca,Rate,,,,,,,,
Sudan,Khartoum,Rate,,,,,,,,
Botswana,Gaborone,Rate,,,,,,,,
Lesotho,Maseru,Rate,,,,,,,,
South Africa,Cape Town,Rate,,,,,,,,
Ghana,Accra,Rate,,,,,,,,
Liberia,Monrovia,Rate,,,,,,,,
Sierra Leone,Freetown,Rate,,,,,,,,
Bahamas,Nassau,Rate,44.2,,,,,,,
Dominican Republic,Santo Domingo,Rate,,29.1,,,,,,
Haiti,Port au Prince,Rate,,,,,,,,
Jamaica,Kingston,Rate,50.3,,,,,,,
Saint Kitts and Nevis,Basseterre,Rate,131.6,,,,,,,
Trinidad and Tobago,Port of Spain,Rate,17.2,,,,,,,
Belize,Belize City,Rate,105.1,,,,,,,
Costa Rica,San José,Rate,21.2,17.7,,,,,,
El Salvador,San Salvador,Rate,89.9,52.5,,,,,,
Guatemala,Guatemala City,Rate,,,,,,,,
Honduras,Tegucigalpa,Rate,102.2,,,,,,,
Mexico,Mexico City,Rate,8.8,,,,,,,
Nicaragua,Managua,Rate,,,,,,,,
Panama,Panama City,Rate,60.2,53.1,,,,,,
Canada,Toronto,Rate,1.3,,,,,,,
United States of America,New York City,Rate,6.3,5.1,,,,,,
Argentina,Buenos Aires,Rate,,,,,,,,
Bolivia (Plurinational State of),La Paz,Rate,,,,,,,,
Brazil,Sao Paolo,Rate,9.4,14.2,,,,,,
Chile,Santiago de Chile,Rate,3.9,,,,,,,
Colombia,Bogotá,Rate,21.6,16.5,,,,,,
Ecuador,Quito,Rate,11.4,,,,,,,
Paraguay,Asuncion,Rate,,,,,,,,
Peru,Lima,Rate,,,,,,,,
Uruguay,Montevideo,Rate,8.4,,,,,,,
Venezuela (Bolivarian Republic of),Caracas,Rate,,,,,,,,
Kazakhstan,Almaty,Rate,9.7,8.6,,,,,,
Kyrgyzstan,Bishkek,Rate,9,,,,,,,
Tajikistan,Dushanbe,Rate,3.6,,,,,,,
Turkmenistan,Ashkhabad,Rate,,,,,,,,
China,Hong Kong,Rate,0.2,0.4,,,,,,
Japan,Tokyo,Rate,0.2,,,,,,,
Mongolia,Ulan Bator,Rate,11.9,,,,,,,
Republic of Korea,Seoul,Rate,0.8,,,,,,,
Brunei Darussalam,Bandar Seri Begawan,Rate,,,,,,,,
Indonesia,Jakarta,Rate,0.8,,,,,,,
Malaysia,Kuala Lampur,Rate,,,,,,,,
Myanmar,Yangon,Rate,,,,,,,,
Philippines,Quezon City,Rate,,,,,,,,
Singapore,Singapore,Rate,0.3,0.2,,,,,,
Thailand,Bangkok,Rate,,,,,,,,
Timor-Leste,Dili,Rate,,,,,,,,
Bangladesh,Dhaka,Rate,,,,,,,,
India,Mumbai,Rate,,,,,,,,
Maldives,Male,Rate,,,,,,,,
Nepal,Kathmandu,Rate,,,,,,,,
Sri Lanka,Colombo,Rate,,,,,,,,
Armenia,Yerevan,Rate,1.8,1.7,,,,,,
Azerbaijan,Baku,Rate,,,,,,,,
Cyprus,Nicosia,Rate,0.6,2,,,,,,
Georgia,Tbilisi,Rate,,,,,,,,
Israel,Tel Aviv,Rate,,,,,,,,
Jordan,Amman,Rate,,,,,,,,
Kuwait,Kuwait City,Rate,,,,,,,,
Oman,Muscat,Rate,,,,,,,,
Qatar,Doha,Rate,,,,,,,,
State of Palestine,Hebron,Rate,,,,,,,,
Syrian Arab Republic,Aleppo,Rate,,,,,,,,
Turkey,Istanbul,Rate,,,,,,,,
United Arab Emirates,Dubai,Rate,,,,,,,,
Yemen,Sanaa,Rate,,,,,,,,
Belarus,Minsk,Rate,,,,,,,,
Bulgaria,Sofia,Rate,1.5,1.8,,,,,,
Czech Republic,Prague,Rate,0.8,1.4,,,,,,
Hungary,Budapest,Rate,1.8,1.6,,,,,,
Poland,Warsaw,Rate,2.1,,,,,,,
Republic of Moldova,Chishinau,Rate,4.4,5.2,,,,,,
Romania,Bucharest,Rate,0.9,1.1,,,,,,
Russian Federation,Moscow,Rate,3.8,,,,,,,
Slovakia,Bratislava,Rate,3.2,2.9,,,,,,
Ukraine,Kiev,Rate,,,,,,,,
Denmark,Copenhagen,Rate,1.3,1.1,,,,,,
Estonia,Tallinn,Rate,,,,,,,,
Finland,Helsinki,Rate,2.4,2,,,,,,
Iceland,Reykjavik,Rate,1.5,0.5,,,,,,
Ireland,Dublin,Rate,,,,,,,,
Latvia,Riga,Rate,2.7,4,,,,,,
Lithuania,Vilnius,Rate,4.1,3.5,,,,,,
Norway,Oslo,Rate,3.2,,,,,,,
United Kingdom (England and Wales),London,Rate,1.3,,,,,,,
United Kingdom (Northern Ireland),Belfast,Rate,1.1,,,,,,,
United Kingdom (Scotland),Glasgow,Rate,2,,,,,,,
Albania,Tirana,Rate,6.7,,,,,,,
Andorra,Andorra la Vella,Rate,2.7,,,,,,,
Bosnia and Herzegovina,Sarajevo,Rate,,,,,,,,
Croatia,Zagreb,Rate,1.4,1.3,,,,,,
Greece,Athens,Rate,2.4,,,,,,,
Italy,Rome,Rate,1,0.9,,,,,,
Malta,Valletta,Rate,0,0,,,,,,
Montenegro,Podgorica,Rate,3.5,3.5,,,,,,
Portugal,Lisbon,Rate,0.2,0.6,,,,,,
Serbia,Belgrade,Rate,2.2,1.3,,,,,,
Slovenia,Ljubljana,Rate,1.4,0.7,,,,,,
Spain,Madrid,Rate,0.6,0.9,,,,,,
The former Yugoslav Republic of Macedonia,Skopje,Rate,2.1,,,,,,,
Austria,Vienna,Rate,1.5,1.4,,,,,,
Belgium,Brussels,Rate,2.1,2.6,,,,,,
France,Paris,Rate,1.8,1.8,,,,,,
Germany,Berlin,Rate,1,,,,,,,
Liechtenstein,Vaduz,Rate,0,,,,,,,
Luxembourg,Luxembourg,Rate,3.2,,,,,,,
Monaco,Monte Carlo,Rate,,,,,,,,
Netherlands,Amsterdam,Rate,1.5,,,,,,,
Switzerland,Zürich,Rate,0.3,,,,,,,
Australia,Sydney,Rate,,,,,,,,
New Zealand,Auckland,Rate,0.9,0.7,,,,,,
Solomon Islands,Honiara City,Rate,,,,,,,,
Tonga,Nuku'alofa,Rate,8.1,4,,,,,,
