Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Kenya,6.1,6.1,,,,Intentional homicide is defined as unlawful death inflicted upon a person with the intent to cause death or serious injury.,,https://data.unodc.org/#state:1
Mauritius,5.4,,,,,,,
Mozambique,,,,,,,,
South Sudan,,12,,,,,,
Uganda,,,,,,,,
United Republic of Tanzania,,,,,,,,
Zambia,,,,,,,,
Democratic Republic of the Congo,,,,,,,,
Sao Tome and Principe,,,,,,,,
Algeria,1.4,,,,,,,
Egypt,2.4,,,,,,,
Morocco,,,,,,,,
Sudan,,,,,,,,
Botswana,,,,,,,,
Lesotho,,,,,,,,
South Africa,,,,,,,,
Ghana,,,,,,,,
Liberia,,,,,,,,
Sierra Leone,,,,,,,,
Bahamas,44.2,,,,,,,
Dominican Republic,,29.1,,,,,,
Haiti,,,,,,,,
Jamaica,50.3,,,,,,,
Saint Kitts and Nevis,131.6,,,,,,,
Trinidad and Tobago,17.2,,,,,,,
Belize,105.1,,,,,,,
Costa Rica,21.2,17.7,,,,,,
El Salvador,89.9,52.5,,,,,,
Guatemala,,,,,,,,
Honduras,102.2,,,,,,,
Mexico,8.8,,,,,,,
Nicaragua,,,,,,,,
Panama,60.2,53.1,,,,,,
Canada,1.3,,,,,,,
United States of America,6.3,5.1,,,,,,
Argentina,,,,,,,,
Bolivia (Plurinational State of),,,,,,,,
Brazil,9.4,14.2,,,,,,
Chile,3.9,,,,,,,
Colombia,21.6,16.5,,,,,,
Ecuador,11.4,,,,,,,
Paraguay,,,,,,,,
Peru,,,,,,,,
Uruguay,8.4,,,,,,,
Venezuela (Bolivarian Republic of),,,,,,,,
Kazakhstan,9.7,8.6,,,,,,
Kyrgyzstan,9,,,,,,,
Tajikistan,3.6,,,,,,,
Turkmenistan,,,,,,,,
China,0.2,0.4,,,,,,
Japan,0.2,,,,,,,
Mongolia,11.9,,,,,,,
Republic of Korea,0.8,,,,,,,
Brunei Darussalam,,,,,,,,
Indonesia,0.8,,,,,,,
Malaysia,,,,,,,,
Myanmar,,,,,,,,
Philippines,,,,,,,,
Singapore,0.3,0.2,,,,,,
Thailand,,,,,,,,
Timor-Leste,,,,,,,,
Bangladesh,,,,,,,,
India,,,,,,,,
Maldives,,,,,,,,
Nepal,,,,,,,,
Sri Lanka,,,,,,,,
Armenia,1.8,1.7,,,,,,
Azerbaijan,,,,,,,,
Cyprus,0.6,2,,,,,,
Georgia,,,,,,,,
Israel,,,,,,,,
Jordan,,,,,,,,
Kuwait,,,,,,,,
Oman,,,,,,,,
Qatar,,,,,,,,
State of Palestine,,,,,,,,
Syrian Arab Republic,,,,,,,,
Turkey,,,,,,,,
United Arab Emirates,,,,,,,,
Yemen,,,,,,,,
Belarus,,,,,,,,
Bulgaria,1.5,1.8,,,,,,
Czech Republic,0.8,1.4,,,,,,
Hungary,1.8,1.6,,,,,,
Poland,2.1,,,,,,,
Republic of Moldova,4.4,5.2,,,,,,
Romania,0.9,1.1,,,,,,
Russian Federation,3.8,,,,,,,
Slovakia,3.2,2.9,,,,,,
Ukraine,,,,,,,,
Denmark,1.3,1.1,,,,,,
Estonia,,,,,,,,
Finland,2.4,2,,,,,,
Iceland,1.5,0.5,,,,,,
Ireland,,,,,,,,
Latvia,2.7,4,,,,,,
Lithuania,4.1,3.5,,,,,,
Norway,3.2,,,,,,,
United Kingdom (England and Wales),1.3,,,,,,,
United Kingdom (Northern Ireland),1.1,,,,,,,
United Kingdom (Scotland),2,,,,,,,
Albania,6.7,,,,,,,
Andorra,2.7,,,,,,,
Bosnia and Herzegovina,,,,,,,,
Croatia,1.4,1.3,,,,,,
Greece,2.4,,,,,,,
Italy,1,0.9,,,,,,
Malta,0,0,,,,,,
Montenegro,3.5,3.5,,,,,,
Portugal,0.2,0.6,,,,,,
Serbia,2.2,1.3,,,,,,
Slovenia,1.4,0.7,,,,,,
Spain,0.6,0.9,,,,,,
The former Yugoslav Republic of Macedonia,2.1,,,,,,,
Austria,1.5,1.4,,,,,,
Belgium,2.1,2.6,,,,,,
France,1.8,1.8,,,,,,
Germany,1,,,,,,,
Liechtenstein,0,,,,,,,
Luxembourg,3.2,,,,,,,
Monaco,,,,,,,,
Netherlands,1.5,,,,,,,
Switzerland,0.3,,,,,,,
Australia,,,,,,,,
New Zealand,0.9,0.7,,,,,,
Solomon Islands,,,,,,,,
Tonga,8.1,4,,,,,,
