Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Mauritius,7,15,20,16,18,"Definitions: “Intentional Homicide” means unlawful death purposefully inflicted on a person by another person. Data on intentional homicide should also include serious assault leading to death and death as a result of terrorist attacks. It should exclude attempted homicide, manslaughter, death due to legal intervention, justifiable homicide in self-defence and death due to armed conflict. “Persons Convicted” means persons found guilty by any legal body authorized to pronounce a conviction under national criminal law, whether or not the conviction was later upheld.","Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.",https://data.unodc.org/#state:1
Uganda,,,,,,,,
Algeria,733,826,708,801,906,,,
Egypt,,,,,,,,
South Africa,"2,877","3,033","2,900","2,760","2,125",,,
Bahamas,,,,,,,,
Barbados,1,1,2,2,-,,,
Dominican Republic,,,,,,,,
Grenada,5,1,,,,,,
Jamaica,,,,43,,,,
Saint Kitts and Nevis,2,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,
Trinidad and Tobago,5,8,13,9,20,,,
Belize,,,,32,,,,
Costa Rica,248,267,233,203,,,,
Guatemala,230,,,326,,,,
Honduras,861,,,,319,,,
Mexico,"4,426","4,106","4,827",,,,,
Nicaragua,,,,,,,,
Panama*,67,64,,16,11,,,
Bermuda,,,7,,,,,
Canada,145,133,146,108,,,,
United States of America*,117,99,127,112,101,,,
Argentina,"1,372","1,463","1,524","1,741","1,694",,,
Chile,"1,217","1,511","1,453","1,100","1,115",,,
Colombia,"4,315","4,122","3,754","3,642","4,412",,,
Ecuador,,,,,,,,
Guyana,18,21,20,28,27,,,
Paraguay,683,232,284,331,891,,,
Peru,767,743,768,707,668,,,
Kazakhstan,"1,073","1,081",995,847,636,,,
Kyrgyzstan,453,370,338,252,256,,,
Tajikistan,,,,,136,,,
Turkmenistan,,,,,,,,
China,"10,431","11,571","10,559","8,769",,,,
"China, Hong Kong Special Administrative Region",15,9,7,,,,,
"China, Macao Special Administrative Region",1,2,3,9,2,,,
Japan,222,222,189,164,,,,
Mongolia,262,231,209,218,186,,,
Republic of Korea,758,663,644,685,,,,
Malaysia,,,,,,,,
Philippines,,,,,,,,
Singapore,16,15,19,11,14,,,
India,"20,008","16,438","15,647",,,,,
Nepal,,,,,,,,
Armenia,36,43,,31,17,,,
Azerbaijan,261,288,353,279,,,,
Bahrain,,,,,,,,
Cyprus,2,9,18,6,3,,,
Georgia,116,62,,69,,,,
Iraq (Central Iraq),"2,449","2,389","1,873",,,,,
Israel,,,,,,,,
Saudi Arabia,,,,,472,,,
State of Palestine,23,,,,,,,
Turkey,"15,215","17,802","20,905","14,478",,,,
United Arab Emirates,,,,,,,,
Belarus,,,,464,,,,
Bulgaria,114,107,76,74,98,,,
Czechia,,,,,,,,
Hungary,110,136,121,203,,,,
Poland,351,349,325,257,248,,,
Republic of Moldova,170,,,146,,,,
Romania,986,802,828,872,834,,,
Russian Federation,"10,740","8,621","8,418","8,271","7,950",,,
Slovakia,43,44,41,46,28,,,
Ukraine,,,,,,,,
Denmark,26,34,24,22,32,,,
Estonia,40,59,69,32,36,,,
Faeroe Islands,,,,-,,,,
Finland,82,71,67,74,,,,
Iceland,,,1,,,,,
Ireland,20,20,18,21,19,,,
Latvia,63,84,61,74,54,,,
Lithuania,217,188,173,197,130,,,
Norway,22,27,27,,25,,,
Sweden,134,130,146,136,156,,,
United Kingdom (England and Wales),343,356,314,333,266,,,
United Kingdom (Northern Ireland)*,13,9,14,7,5,,,
United Kingdom (Scotland),53,48,47,31,,,,
Albania,,,56,175,166,,,
Andorra,2,2,-,1,-,,,
Bosnia and Herzegovina,109,108,177,101,79,,,
Croatia,46,47,52,47,31,,,
Holy See,-,-,-,-,-,,,
Italy,451,493,535,595,516,,,
Kosovo under UNSCR 1244,90,59,43,79,97,,,
Malta,3,2,2,-,3,,,
Montenegro,6,6,36,37,63,,,
Portugal,138,135,130,,100,,,
Serbia,133,120,125,137,86,,,
Slovenia,28,24,39,35,14,,,
Spain,,84,95,206,248,,,
The former Yugoslav Republic of Macedonia,39,38,33,40,,,,
Austria,29,38,33,33,,,,
Belgium,246,294,249,229,245,,,
France,511,583,556,527,548,,,
Germany,325,355,288,320,,,,
Liechtenstein,,,,,,,,
Monaco,-,-,-,,-,,,
Netherlands,,,,,,,,
Switzerland,30,41,34,38,24,,,
Australia,114,96,134,125,128,,,
New Zealand,27,25,32,36,,,,
