Country,Sex,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Kenya,female %,,,,22%,27%,Intentional homicide is defined as unlawful death inflicted upon a person with the intent to cause death or serious injury.,"When using the figures, any cross-national comparison should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, the different methods of offence counting and recording and differences in the share of criminal offences that are not reported to or detected by law enforcement authorities (i.e. the dark figure). ",https://data.unodc.org/#state:21
Mauritius,female %,24%,,,,,,,
Uganda,female %,20%,18%,21%,19%,,,,
United Republic of Tanzania,female %,13%,13%,13%,23%,18%,,,
Sao Tome and Principe,female %,,,,,,,,
Algeria,female %,,21%,19%,17%,13%,,,
Egypt,female %,12%,,,,,,,
Morocco,female %,,15%,15%,,,,,
Cabo Verde,female %,,,10%,,,,,
Bahamas,female %,13%,9%,,,,,,
Barbados,female %,7%,9%,29%,12%,10%,,,
Dominican Republic,female %,10%,9%,,10%,,,,
Grenada,female %,25%,36%,33%,38%,,,,
Jamaica,female %,11%,12%,11%,10%,10%,,,
Saint Kitts and Nevis,female %,3%,,,,,,,
Saint Vincent and the Grenadines,female %,,,,,,,,
Trinidad and Tobago,female %,9%,12%,10%,11%,7%,,,
Belize,female %,10%,,,,,,,
Costa Rica,female %,14%,12%,9%,9%,,,,
El Salvador,female %,14%,12%,9%,7%,9%,,,
Guatemala,female %,11%,11%,12%,13%,,,,
Honduras,female %,7%,8%,8%,,9%,,,
Nicaragua,female %,,,,,,,,
Panama,female %,5%,5%,8%,7%,11%,,,
Bermuda,female %,25%,0%,0%,0%,0%,,,
Canada,female %,29%,28%,30%,29%,29%,,,
United States of America,female %,22%,22%,22%,22%,21%,,,
Argentina,female %,,,,,14%,,,
Brazil,female %,,,9%,,,,,
Chile,female %,18%,9%,19%,19%,,,,
Colombia,female %,8%,8%,8%,9%,8%,,,
Ecuador,female %,,,,14%,,,,
Guyana,female %,26%,19%,19%,,19%,,,
Paraguay,female %,9%,11%,9%,12%,9%,,,
Peru,female %,17%,16%,15%,17%,18%,,,
Uruguay,female %,,14%,21%,19%,17%,,,
Kazakhstan,female %,21%,20%,23%,,,,,
Tajikistan,female %,13%,,,,,,,
"China, Hong Kong Special Administrative Region",female %,53%,44%,60%,,,,,
"China, Macao Special Administrative Region",female %,75%,25%,,,,,,
Japan,female %,53%,56%,52%,52%,,,,
Mongolia,female %,23%,29%,28%,25%,,,,
Republic of Korea,female %,52%,,53%,51%,,,,
Myanmar,female %,9%,17%,17%,17%,19%,,,
Philippines,female %,12%,13%,,,,,,
Singapore,female %,38%,55%,35%,50%,,,,
India,female %,27%,27%,27%,,,,,
Sri Lanka,female %,25%,25%,22%,,,,,
Armenia,female %,27%,29%,29%,28%,28%,,,
Azerbaijan,female %,,29%,32%,37%,,,,
Cyprus,female %,67%,23%,25%,45%,13%,,,
Georgia,female %,24%,,,,,,,
Iraq,female %,18%,19%,16%,18%,,,,
Jordan,female %,20%,16%,,,,,,
Kuwait,female %,19%,16%,,,,,,
State of Palestine,female %,13%,15%,,,,,,
Turkey,female %,21%,19%,,,,,,
United Arab Emirates,female %,29%,25%,32%,27%,16%,,,
Belarus,female %,31%,37%,31%,34%,,,,
Bulgaria,female %,23%,26%,31%,22%,22%,,,
Czechia,female %,51%,46%,51%,52%,41%,,,
Hungary,female %,29%,47%,46%,46%,,,,
Republic of Moldova,female %,18%,28%,33%,37%,,,,
Slovakia,female %,35%,27%,32%,48%,32%,,,
Denmark,female %,33%,34%,27%,42%,41%,,,
Estonia,female %,22%,27%,35%,22%,24%,,,
Finland,female %,34%,45%,28%,30%,19%,,,
Iceland,female %,33%,100%,0%,100%,0%,,,
Latvia,female %,,53%,48%,57%,44%,,,
Lithuania,female %,31%,26%,30%,33%,28%,,,
Norway,female %,47%,33%,43%,45%,,,,
Sweden,female %,31%,31%,30%,29%,26%,,,
United Kingdom of Great Britain and Northern Ireland,female %,30%,29%,33%,35%,,,,
Albania,female %,16%,17%,19%,11%,21%,,,
Andorra,female %,0%,0%,,,,,,
Bosnia and Herzegovina,female %,31%,38%,30%,22%,32%,,,
Croatia,female %,43%,35%,46%,47%,41%,,,
Greece,female %,17%,23%,33%,25%,32%,,,
Holy See,female %,,,,,,,,
Italy,female %,30%,31%,36%,31%,30%,,,
Malta,female %,100%,25%,0%,17%,50%,,,
Montenegro,female %,14%,18%,10%,20%,18%,,,
Serbia,female %,29%,34%,33%,31%,30%,,,
Slovenia,female %,44%,43%,25%,40%,55%,,,
Spain,female %,33%,34%,40%,40%,40%,,,
The former Yugoslav Republic of Macedonia,female %,13%,38%,32%,30%,,,,
Austria,female %,47%,48%,48%,52%,39%,,,
Germany,female %,46%,45%,48%,47%,48%,,,
Liechtenstein,female %,,,,0%,,,,
Luxembourg,female %,0%,,,50%,,,,
Netherlands,female %,35%,34%,45%,24%,40%,,,
Switzerland,female %,50%,38%,56%,59%,53%,,,
Australia,female %,36%,34%,38%,39%,36%,,,
New Zealand,female %,38%,51%,26%,,,,,
