Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Mauritius,50.0 %,,,,,Intentional homicide is defined as unlawful death inflicted upon a person with the intent to cause death or serious injury.,"When using the figures, any cross-national comparison should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, the different methods of offence counting and recording and differences in the share of criminal offences that are not reported to or detected by law enforcement authorities (i.e. the dark figure). ",https://data.unodc.org/#state:23
Sao Tome and Principe,100.0 %,,,,,,,
Egypt,27.8 %,,,,,,,
South Africa,,,,,,,,
Bahamas,18.8 %,,,,,Note: this is a prevalence (%) not a rate,,
Dominican Republic,36.2 %,0%,,,,,,
Grenada,100.0 %,80.0 %,,,,,,
Jamaica,26.1 %,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,
Trinidad and Tobago,24.1 %,,,,,,,
El Salvador,0.2 %,4.0 %,,,,,,
Nicaragua,,,,,,,,
Panama,50.1 %,26.5 %,,,,,,
Canada,60.0 %,,,,,,,
United States of America,51.8 %,,,,,,,
Chile,7.8 %,,,,,,,
Colombia,13.3 %,,,,,,,
Guyana,32.8 %,,,,,,,
Uruguay,58.5 %,,,,,,,
"China, Hong Kong SAR",88.9 %,,,,,,,
Mongolia,3.3 %,,,,,,,
Singapore,33.3 %,,,,,,,
India,55.3 %,54.8 %,,,,,,
Armenia,0%,10.5 %,,,,,,
Azerbaijan,,,,,,,,
Cyprus,66.7 %,60.0 %,,,,,,
Georgia,,,,,,,,
Czech Republic,70.5 %,,,,,,,
Hungary,60.0 %,58.2 %,,,,,,
Romania,25.4 %,,,,,,,
Finland,74.4 %,,,,,,,
Iceland,100.0 %,100.0 %,,,,,,
Latvia,,10.2 %,,,,,,
Lithuania,37.9 %,32.1 %,,,,,,
Sweden,,,,,,,,
United Kingdom,67.5 %,,,,,,,
Albania,88.9 %,,,,,,,
Andorra,,,,,,,,
Bosnia and Herzegovina,56.3 %,,,,,,,
Croatia,47.6 %,66.7 %,,,,,,
Italy,73.3 %,,,,,,,
Malta,100.0 %,66.7 %,,,,,,
Montenegro,100.0 %,,,,,,,
Slovenia,71.4 %,83.3 %,,,,,,
Spain,57.0 %,58.1 %,,,,,,
The former Yugoslav Republic of Macedonia,75.0 %,,,,,,,
Austria,51.5 %,,,,,,,
Germany,50.1 %,,,,,,,
Liechtenstein,,,,,,,,
Luxembourg,0%,,,,,,,
Australia,,,,,,,,
New Zealand,66.7 %,66.7 %,,,,,,
Tonga,0%,0%,,,,,,
