Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Mauritius,26.9 %,,,,,Intentional homicide is defined as unlawful death inflicted upon a person with the intent to cause death or serious injury.,"When using the figures, any cross-national comparison should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, the different methods of offence counting and recording and differences in the share of criminal offences that are not reported to or detected by law enforcement authorities (i.e. the dark figure). ",https://data.unodc.org/#state:23
Sao Tome and Principe,100.0 %,,,,,,,
Egypt,4.6 %,,,,,,,
South Africa,,,,,,,,
Bahamas,9.9 %,,,,,Note: this is a prevalence (%) not a rate,,
Dominican Republic,1.5 %,11.3 %,,,,,,
Grenada,0%,11.1 %,,,,,,
Jamaica,7.0 %,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,
Trinidad and Tobago,4.1 %,,,,,,,
El Salvador,0%,0.3 %,,,,,,
Nicaragua,,,,,,,,
Panama,2.5 %,4.0 %,,,,,,
Canada,14.4 %,,,,,,,
United States of America,9.7 %,,,,,,,
Chile,2.5 %,,,,,,,
Colombia,1.0 %,,,,,,,
Guyana,7.3 %,,,,,,,
Uruguay,8.2 %,,,,,,,
"China, Hong Kong SAR",50.0 %,,,,,,,
Mongolia,2.9 %,,,,,,,
Singapore,0%,,,,,,,
India,0%,0%,,,,,,
Armenia,4.3 %,2.9 %,,,,,,
Azerbaijan,,,,,,,,
Cyprus,0%,23.5 %,,,,,,
Georgia,,,,,,,,
Czech Republic,52.4 %,,,,,,,
Hungary,25.5 %,22.1 %,,,,,,
Romania,17.4 %,,,,,,,
Finland,18.7 %,,,,,,,
Iceland,50.0 %,0%,,,,,,
Latvia,,6.4 %,,,,,,
Lithuania,15.9 %,12.1 %,,,,,,
Sweden,,,,,,,,
United Kingdom,13.7 %,,,,,,,
Albania,9.7 %,,,,,,,
Andorra,,,,,,,,
Bosnia and Herzegovina,14.3 %,,,,,,,
Croatia,32.1 %,45.5 %,,,,,,
Italy,21.1 %,,,,,,,
Malta,0%,0%,,,,,,
Montenegro,22.2 %,,,,,,,
Slovenia,11.1 %,12.5 %,,,,,,
Spain,12.4 %,12.2 %,,,,,,
The former Yugoslav Republic of Macedonia,19.2 %,,,,,,,
Austria,21.0 %,,,,,,,
Germany,23.0 %,,,,,,,
Liechtenstein,,,,,,,,
Luxembourg,0%,,,,,,,
Australia,,,,,,,,
New Zealand,20.8 %,15.0 %,,,,,,
Tonga,0%,0%,,,,,,
