Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Mauritius,55.23,52.41,61.98,119.63,75.97,"“Persons Convicted” means persons found guilty by any legal body authorized to pronounce a conviction under national criminal law, whether or not the conviction was later upheld. The total number of persons convicted should also include persons convicted of serious special law offences but exclude persons convicted of minor road traffic offences, misdemeanours and other petty offences. ","When using the figures, any cross-national comparison should be conducted with caution because of legal and procedural differences that exist across national criminal justice systems.",https://data.unodc.org/#state:7
Zimbabwe,,,,,,,,
Cameroon,,,9.82,,,,,
Algeria*,3.17,3.42,2.95,3.29,6.21,,,
Egypt,,,,,,,,
Morocco,,,,,,,,
South Africa,9.3,12.09,10.66,10.14,,,,
Burkina Faso,0.55,,,,,,,
Dominican Republic,,,,,,,,
Grenada,57.22,103.88,,,,,,
Saint Kitts and Nevis,129.66,,,,,,,
Belize,,,,4.31,,,,
Costa Rica,24.86,22.46,28.91,32.98,,,,
El Salvador,36.03,44.61,45.08,45.73,51.79,,,
Guatemala,8.07,,,20.62,,,,
Honduras,60.43,,,,18.01,,,
Mexico*,13.89,12.09,11.11,6.18,7.04,,,
Nicaragua,,,,,,,,
Panama,27.29,26.04,31.67,31.27,38.51,,,
Canada,359.19,336.23,290.67,236.45,,,,
United States of America,0.6,0.56,0.49,,,,,
Argentina,0.38,0.44,0.96,0.67,0.98,,,
Bolivia (Plurinational State of),,,,,,,,
Chile,121.58,124.06,131.18,143.56,142.05,,,
Colombia,88.54,74.05,80.4,75.75,79.86,,,
Guyana,4.66,8.79,5.15,8.04,10.73,,,
Paraguay,4.11,6.25,7.38,5.79,11.48,,,
Peru,18.06,20.75,24.08,26.17,28.65,,,
Kazakhstan,27.85,23.25,19.84,12.54,8.42,,,
Kyrgyzstan,21.17,17.81,11.47,9.45,8.8,,,
Tajikistan,,,,,11.57,,,
Turkmenistan,,,,,,,,
China,23.33,22.39,19.73,17.87,,,,
"China, Hong Kong Special Administrative Region",50.51,44.91,33.85,,,,,
"China, Macao Special Administrative Region*",130.93,79.11,75.1,55.64,31.2,,,
Japan,0.57,0.5,0.5,0.56,,,,
Mongolia,60.17,62.34,60.72,49.22,43.58,,,
Republic of Korea,8.16,13.16,12.72,15.36,,,,
Malaysia,,,,,,,,
Philippines,,,,,,,,
Thailand*,167.14,149.19,168.11,152.33,130.93,,,
Nepal,,,,,,,,
Armenia,15.09,12.32,,13.01,12.23,,,
Azerbaijan,9.4,9.22,10.68,11,,,,
Cyprus,274.34,237.3,186.67,115.68,128.88,,,
Georgia,75.39,,,45.33,,,,
Iraq (Central Iraq),7.87,6.51,7.01,,,,,
Israel,,,,,,,,
Saudi Arabia,,,,,10.18,,,
State of Palestine,,,,,,,,
Syrian Arab Republic,,,,,,,,
Turkey,216.87,267.29,357.03,431.44,,,,
United Arab Emirates,,,,,,,,
Belarus,,,,53.24,,,,
Bulgaria,225.77,191.2,156.46,136.37,103.69,,,
Czechia,119.73,119.35,108.58,87.05,75.99,,,
Hungary,325.71,288.06,296.28,314.48,,,,
Poland,319.2,297.01,273.88,236.35,177.06,,,
Republic of Moldova,39.26,,,33.53,,,,
Romania,88.16,79.93,77.61,84.39,61.61,,,
Russian Federation,146.63,123.75,109.39,86.85,82.59,,,
Slovakia,168.07,183.48,181.8,157.53,134.1,,,
Ukraine,,,,,,,,
Denmark,480.32,471.34,451.85,450.38,371.15,,,
Estonia,,,,,,,,
Finland,"1,098.07",938.13,835.82,785.23,,,,
Iceland,,,42.33,,,,,
Latvia,180.66,171.72,175.99,157.51,122.18,,,
Lithuania,182.02,163.72,199.17,213.18,189.87,,,
Norway,51.39,42.9,38.43,,30.83,,,
Sweden,633.55,535.63,473.62,440.95,444.31,,,
United Kingdom (England and Wales),532.98,394.68,297.19,257.83,,,,
United Kingdom (Northern Ireland)*,391.94,319.99,313.65,292.04,,,,
United Kingdom (Scotland)*,238.37,178.82,131.35,,,,,
Albania,89.28,119.31,94.37,109.87,87.49,,,
Andorra,251.43,96.06,84.01,257.63,,,,
Bosnia and Herzegovina*,40.43,50.45,101.78,81.99,45.23,,,
Croatia,100.56,77.83,68.58,71.89,54.2,,,
Italy,38.57,31.16,31.32,32.14,32.27,,,
Kosovo under UNSCR 1244,93.29,97.34,132.83,142.86,,,,
Malta,89.75,127.38,107.43,139.6,96.41,,,
Montenegro,26.3,44.26,74.35,80.05,73.88,,,
Portugal*,388.55,373.57,303.97,,259.36,,,
Serbia,121.92,124.26,144.96,112.97,108.55,,,
Slovenia,105.75,113.11,123.22,89.19,66.47,,,
Spain,221.58,201.05,190.47,184.26,164.57,,,
The former Yugoslav Republic of Macedonia,158.49,123.98,106.82,105.35,,,,
Austria,180.74,169.96,150.14,140.15,,,,
Belgium,119.12,116.63,158.96,155.01,206.54,,,
France,374.06,374.83,355.1,335.97,325.54,,,
Germany*,388.55,343.45,304.26,270.3,,,,
Liechtenstein,,,,,,,,
Monaco,475.47,679.08,468.09,,,,,
Netherlands,235.32,218.27,173.6,154.24,138.28,,,
Switzerland*,494.6,460.67,474.24,453.28,441.42,,,
Australia,421.61,391.12,363.58,351.13,327.86,,,
New Zealand*,16.83,13.51,14.34,10.5,,,,
