Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Burundi,,3.58,3.2,7.43,,"“Formal Contact” with the police and/or criminal justice system may include persons suspected, or arrested or cautioned, for a criminal offence, at the national level.","When using the figures, any cross-national comparison should be conducted with caution because of legal and procedural differences that exist across national criminal justice systems.",https://data.unodc.org/#state:0
Madagascar,18.83,19.8,21.66,17.18,23.22,,,
Mauritius,164.79,,,,,,,
Mozambique,,,,,,,,
Uganda,9.29,10.16,11.05,25.58,,,,
Algeria,77.27,64.07,54.63,74.96,76.8,,,
Egypt,25.01,,,,,,,
Morocco,,141.51,223.03,,,,,
Sudan,,,,,,,,
Botswana,"1,043.45",,,32.12,,,,
Swaziland,,,,,,,,
Cabo Verde,,,186.13,222.84,174.5,,,
Cote d'Ivoire,,,,,,,,
Bahamas,,,,,,,,
Barbados,158.85,192.74,270.2,213.11,219.27,,,
Dominican Republic,,28.93,,52.38,,,,
Grenada,"1,072.81",923.33,,,989.92,,,
Saint Kitts and Nevis,"2,175.48",,,,,,,
Trinidad and Tobago,81.34,68.71,84.27,84.36,71.54,,,
Belize,313.38,304.68,325.16,415.43,,,,
Costa Rica,,,,,,,,
El Salvador,322.93,239.23,214.74,248.68,204.66,,,
Guatemala,21.71,28.73,32.11,34.67,,,,
Honduras,19.42,28.71,33.61,,40.89,,,
Mexico*,,108.04,115.52,111.51,120.18,,,
Nicaragua,,,,,,,,
Panama,76.32,71.44,,,,,,
Bermuda,,,,,,,,
Canada,"1,043.46",971.77,837.82,741.64,711.27,,,
United States of America,"1,982.77","1,785.48","1,485.18","1,400.28","1,260.23",,,
Chile,"1,170.00","1,048.34",979.97,978.14,921.24,,,
Colombia,169.49,203.73,208.71,171.41,171.38,,,
Ecuador*,6.67,6.03,48.43,42.58,,,,
Guyana,55.95,60.54,65.93,,50.45,,,
Paraguay,114.59,141.59,152.21,163.18,138.89,,,
Peru,56.13,60.79,45.69,42.7,42.23,,,
Uruguay*,,"1,706.71",,,711.54,,,
Kazakhstan,130.76,118.65,104.62,80.86,62.32,,,
Kyrgyzstan,67.22,59.01,63.05,50.14,49.16,,,
Tajikistan,14.84,,,,,,,
Turkmenistan,,,,,,,,
