Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Burundi,7.89,5.37,4.12,2.89,,"“Persons Held in Prisons, Penal Institutions or Correctional Institutions” means persons held in Prisons, Penal Institutions or Correctional Institutions on a specified day and should exclude non-criminal prisoners held for administrative purposes, for example, persons held pending investigation into their immigration status or foreign citizens without a legal right to stay.	","Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.",https://data.unodc.org/#state:6
Kenya*,3.56,3.13,3.05,2.83,2.81,,,
Madagascar,4.49,4.94,4.67,5.07,5.99,,,
Mauritius,19.73,24.81,,,,,,
Mozambique,,,,,,,,
Seychelles,,,,,,,,
Zimbabwe,,,,,,,,
Cameroon*,8.67,8.31,7.85,7.05,,,,
Algeria,3.46,4.34,3.8,3.19,4.04,,,
Morocco,,,,,,,,
Botswana*,30.09,,30.23,50.9,,,,
Lesotho,,,,,,,,
Swaziland,,,,,,,,
Burkina Faso,1.28,,,,,,,
Guinea,,,,,,,,
Nigeria,0.96,,1.06,,,,,
Senegal*,,,,,,,,
Togo,,0.85,,,,,,
Bahamas,,34.89,,,,,,
Barbados,,,,92.2,,,,
Dominican Republic,,,,,,,,
Grenada,51.49,37.51,29.09,14.63,35.25,,,
Jamaica,48.46,38.53,33.01,28.52,29.24,,,
Saint Kitts and Nevis,252.13,,,,,,,
Trinidad and Tobago*,64.17,53.95,50.56,45.33,44.3,,,
Belize,127.84,135.65,134.82,116.95,,,,
Costa Rica,5.31,6.54,6.91,17.74,17.67,,,
El Salvador,72.88,64.09,63.26,65.47,30.06,,,
Honduras,8.55,,,,,,,
Mexico*,27.47,24.89,25.82,10.3,9.1,,,
Nicaragua,,,,,,,,
Panama*,79.69,71.92,100.14,,,,,
Bermuda*,,,,,,,,
Canada*,20.94,19.69,14.66,14.96,,,,
United States of America,10.39,9.08,8.03,7.1,7.11,,,
Argentina,,8.01,8.65,8.82,,,,
Bolivia (Plurinational State of),,45.72,,,,,,
Brazil,33.37,34.39,39.94,,,,,
Chile*,37.47,42,38.32,35.6,34.95,,,
Colombia,,,12.52,,,,,
Ecuador,,8.67,11.37,9.07,,,,
Guyana,5.33,25.71,,,4.29,,,
Paraguay,9.08,11.44,12.09,13.19,,,,
Uruguay,,,,,,,,
