Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Panama,2013,1.42,Gram,n/a,n/a,https://data.unodc.org/#state:23
Canada,2015,1.31,Kilogram,,,
Canada,2015,1.8,Gram,,,
Canada,2014,17.48,Kilogram,,,
Canada,2013,75,Kilogram,,,
Canada,2012,271.4,Kilogram,,,
Canada,2011,6.7,Kilogram,,,
Argentina,2015,2.6,Kilogram,,,
Argentina,2012,52,Gram,,,
Brunei Darussalam,2015,10.19,Gram,,,
Brunei Darussalam,2014,120.9,Gram,,,
Brunei Darussalam,2013,18,Gram,,,
Brunei Darussalam,2012,6,Gram,,,
Brunei Darussalam,2011,0.4,Kilogram,,,
Cambodia,2015,106.1,Gram,,,
Cambodia,2014,0.62,Gram,,,
Cambodia,2012,0.82,Kilogram,,,
China,2015,"19,649.29",Kilogram,,,
China,2014,"11,907",Kilogram,,,
China,2013,"9,692.32",Kilogram,,,
China,2012,"4,716.60",Kilogram,,,
China,2011,"5,384.84",Kilogram,,,
China,2015,499.42,Kilogram,,,
China,2014,508.53,Kilogram,,,
China,2013,292.84,Kilogram,,,
China,2012,663.2,Kilogram,,,
China,2011,351.99,Kilogram,,,
"China, Macao SAR",2015,4.26,Kilogram,,,
"China, Macao SAR",2014,8.4,Kilogram,,,
"China, Macao SAR",2013,2,Kilogram,,,
"China, Macao SAR",2012,"1,121.88",Gram,,,
"China, Macao SAR",2011,1.5,Kilogram,,,
"China, Taiwan Province of China",2015,"1,768,395",Gram,,,
"China, Taiwan Province of China",2014,"3,303,193.50",Gram,,,
"China, Taiwan Province of China",2013,"2,393,266.50",Gram,,,
"China, Taiwan Province of China",2012,"2,111,113.30",Gram,,,
"China, Taiwan Province of China",2011,"1,371,850.90",Gram,,,
Indonesia,2015,"13,400.09",Gram,,,
Indonesia,2014,"13,400.09",Gram,,,
Indonesia,2013,4.7,Kilogram,,,
Indonesia,2012,"13,426",Gram,,,
Indonesia,2011,"95,336.90",Gram,,,
Malaysia,2015,50.99,Kilogram,,,
Malaysia,2014,242.01,Kilogram,,,
Malaysia,2013,402.6,Kilogram,,,
Malaysia,2012,238.9,Kilogram,,,
Malaysia,2011,202.5,Kilogram,,,
Myanmar,2015,3.1,Kilogram,,,
Myanmar,2014,1,Kilogram,,,
Myanmar,2011,1.4,Kilogram,,,
Philippines,2012,0.01,Kilogram,,,
Philippines,2011,1,Gram,,,
Republic of Korea,2015,0.4,Kilogram,,,
Singapore,2015,2.28,Kilogram,,,
Singapore,2014,2.45,Kilogram,,,
Singapore,2013,4.26,Kilogram,,,
Singapore,2012,3.89,Kilogram,,,
Singapore,2011,7.93,Kilogram,,,
Thailand,2015,25.83,Kilogram,,,
Thailand,2014,"7,546.32",Gram,,,
Thailand,2013,24.4,Kilogram,,,
Thailand,2012,21,Kilogram,,,
Thailand,2011,78,Kilogram,,,
India,2015,275.86,Kilogram,,,
India,2014,39.74,Kilogram,,,
India,2012,652,Kilogram,,,
India,2011,"1,492.63",Kilogram,,,
Romania,2015,91.15,Gram,,,
Romania,2014,4.06,Gram,,,
Romania,2013,2.69,Gram,,,
Belgium,2015,2.06,Kilogram,,,
Belgium,2013,4.34,Kilogram,,,
Czechia,2014,846,Gram,,,
Czechia,2013,8.61,Kilogram,,,
Czechia,2011,29.4,Gram,,,
Denmark,2015,39.65,Kilogram,,,
Estonia,2014,0.96,Gram,,,
Estonia,2013,2.12,Gram,,,
France,2015,"16,396",Gram,,,
France,2014,1,Kilogram,,,
France,2013,14,Kilogram,,,
France,2012,4.61,Kilogram,,,
Greece,2015,0.00379,Kilogram,,,
Hungary,2015,8,Gram,,,
Hungary,2013,0.03,Kilogram,,,
Hungary,2012,0.01,Kilogram,,,
Hungary,2011,0.04,Kilogram,,,
Ireland,2015,21.73,Kilogram,,,
Ireland,2015,56.6,Gram,,,
Ireland,2014,68.12,Gram,,,
Italy,2014,10.5,Kilogram,,,
Italy,2013,4.71,Kilogram,,,
Malta,2015,5.5,Gram,,,
Malta,2011,9,Gram,,,
Netherlands,2015,201,Kilogram,,,
Netherlands,2012,3,Kilogram,,,
Norway,2015,0.04,Kilogram,,,
Norway,2015,0.02,Kilogram,,,
Norway,2014,1.04,Kilogram,,,
Norway,2013,0.46,Kilogram,,,
Norway,2013,0.07,Kilogram,,,
Norway,2012,0.06,Kilogram,,,
Norway,2012,0.17,Kilogram,,,
Sweden,2015,0.05,Kilogram,,,
Sweden,2015,27,Gram,,,
Sweden,2014,0.08,Kilogram,,,
United Kingdom,2015,56,Kilogram,,,
United Kingdom,2014,55.68,Kilogram,,,
United Kingdom,2013,357.2,Kilogram,,,
United Kingdom,2012,"1,425",Kilogram,,,
United Kingdom,2011,80.71,Kilogram,,,
Australia,2015,18.43,Kilogram,,,
Australia,2014,3.87,Kilogram,,,
Australia,2013,1.98,Kilogram,,,
Australia,2012,1.13,Kilogram,,,
Australia,2011,1.48,Kilogram,,,
