Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Zambia,,,,,,Intentional homicide is defined as unlawful death inflicted upon a person with the intent to cause death or serious injury.,,https://data.unodc.org/#state:1
Sao Tome and Principe,0.0 %,,,,,,,
Bahamas,65.4 %,,,,,,,
Barbados,,,,,,,,
Dominican Republic,2.5 %,0.8 %,,,,,,
Grenada,0.0 %,0.0 %,,,,,,
Jamaica,50.0 %,,,,,,,
Saint Kitts and Nevis,,,,,,,,
Trinidad and Tobago,26.4 %,,,,,,,
Belize,,,,,,,,
Costa Rica,37.1 %,,,,,,,
El Salvador,5.9 %,16.8 %,,,,,,
Honduras,,,,,,,,
Mexico,,,,,,,,
Nicaragua,,,,,,,,
Panama,37.0 %,52.1 %,,,,,,
Canada,34.4 %,,,,,,,
United States of America,4.6 %,,,,,,,
Colombia,5.6 %,,,,,,,
Uruguay,13.1 %,,,,,,,
Australia,,,,,,,,
"China, Hong Kong SAR",,,,,,,,
Japan,,,,,,,,
Mongolia,0.0 %,,,,,,,
Singapore,0.0 %,,,,,,,
Timor-Leste,,,,,,,,
Viet Nam,,,,,,,,
Sri Lanka,,,,,,,,
Armenia,0.0 %,0.0 %,,,,,,
Azerbaijan,,,,,,,,
Cyprus,0.0 %,,,,,,,
Georgia,,,,,,,,
Bulgaria,1.6 %,1.4 %,,,,,,
Czech Republic,0.0 %,,,,,,,
Hungary,0.0 %,0.8 %,,,,,,
Poland,2.2 %,,,,,,,
Finland,1.8 %,,,,,,,
Iceland,,0.0 %,,,,,,
Sweden,,,,,,,,
Albania,0.0 %,,,,,,,
Andorra,,,,,,,,
Italy,9.6 %,,,,,,,
Montenegro,0.0 %,,,,,,,
Slovenia,6.3 %,0.0 %,,,,,,
Spain,1.0 %,1.6 %,,,,,,
The former Yugoslav Republic of Macedonia,,,,,,,,
France,,,,,,,,
Liechtenstein,0.0 %,0.0 %,,,,,,
Luxembourg,0.0 %,,,,,,,
Netherlands,,,,,,,,
Switzerland,0.0 %,,,,,,,
