Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Bahamas,11.0 %,,,,,Intentional homicide is defined as unlawful death inflicted upon a person with the intent to cause death or serious injury.,,https://data.unodc.org/#state:1
Dominican Republic,15.2 %,27.6 %,,,,,,
Grenada,0.0 %,7.1 %,,,,,,
Jamaica,36.5 %,,,,,,,
Trinidad and Tobago,14.8 %,,,,,,,
Costa Rica,20.9 %,16.2 %,,,,,,
El Salvador,0.4 %,0.9 %,,,,,,
Panama,12.8 %,8.9 %,,,,,,
Canada,7.9 %,,,,,,,
United States of America,5.0 %,,,,,,,
Colombia,3.6 %,,,,,,,
Guyana,16.9 %,,,,,,,
Uruguay,15.6 %,,,,,,,
Japan,8.4 %,,,,,,,
Mongolia,0.0 %,,,,,,,
Republic of Korea,8.0 %,,,,,,,
Singapore,6.3 %,,,,,,,
Armenia,4.6 %,5.6 %,,,,,,
Azerbaijan,,,,,,,,
Cyprus,22.2 %,,,,,,,
Georgia,,,,,,,,
Bulgaria,5.5 %,5.0 %,,,,,,
Czech Republic,4.7 %,,,,,,,
Finland,1.8 %,,,,,,,
Iceland,,0.0 %,,,,,,
Albania,2.1 %,,,,,,,
Bosnia and Herzegovina,0.0 %,,,,,,,
Croatia,4.2 %,0.0 %,,,,,,
Italy,5.1 %,,,,,,,
Montenegro,4.8 %,,,,,,,
Spain,2.8 %,3.0 %,,,,,,
The former Yugoslav Republic of Macedonia,3.3 %,,,,,,,
Austria,4.2 %,,,,,,,
Germany,9.4 %,,,,,,,
Luxembourg,25.0 %,,,,,,,
Switzerland,2.2 %,,,,,,,
Australia,,,,,,,,
