Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Costa Rica,2015,159,Dose,n/a,n/a,https://data.unodc.org/#state:23
Costa Rica,2014,"15,666",Dose,,,
Costa Rica,2013,851,Dose,,,
Costa Rica,2012,5,Dose,,,
Costa Rica,2011,16,Dose,,,
Canada,2015,"9,799",Dose,,,
Canada,2014,"38,182",Dose,,,
Argentina,2014,"12,568",Dose,,,
Argentina,2013,"10,832",Dose,,,
Argentina,2012,"87,605",Dose,,,
Chile,2015,"2,900",Dose,,,
Chile,2012,568,Dose,,,
Uruguay,2014,110,Dose,,,
Uruguay,2013,32,Dose,,,
Uruguay,2012,213.5,Dose,,,
Croatia,2015,974,Dose,,,
Romania,2015,67,Dose,,,
Romania,2014,509,Dose,,,
Romania,2013,2,Dose,,,
Romania,2011,65,Dose,,,
Serbia,2015,5,Dose,,,
Andorra,2015,2,Dose,,,
Austria,2015,"1,848",Dose,,,
Austria,2014,778,Dose,,,
Austria,2013,618,Dose,,,
Austria,2012,276,Dose,,,
Austria,2011,"1,588",Dose,,,
Belgium,2013,121,Dose,,,
Czechia,2014,433,Dose,,,
Czechia,2013,471,Dose,,,
Greece,2015,812,Dose,,,
Greece,2014,99,Dose,,,
Italy,2015,"8,445",Dose,,,
Italy,2014,"1,549",Dose,,,
Italy,2013,"2,071",Dose,,,
Italy,2012,"1,418",Dose,,,
Italy,2011,"1,238",Dose,,,
Slovakia,2014,3,Dose,,,
Slovenia,2015,34,Dose,,,
Sweden,2015,"4,993",Dose,,,
Sweden,2014,"1,792",Dose,,,
Sweden,2013,"1,031",Dose,,,
Sweden,2012,"1,363",Dose,,,
Sweden,2011,565,Dose,,,
Switzerland,2015,"2,370",Dose,,,
Switzerland,2013,"2,938",Dose,,,
Switzerland,2012,"2,937",Dose,,,
Switzerland,2011,"1,587",Dose,,,
United Kingdom,2013,"5,227",Dose,,,
