Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Egypt,2014,200,Tablet,n/a,n/a,https://data.unodc.org/#state:23
Namibia,2013,75,Tablet,,,
Canada,2015,"1,107",Tablet,,,
Canada,2013,612,Tablet,,,
Canada,2012,437,Tablet,,,
Canada,2011,234,Tablet,,,
Bolivia (Plurinational State of),2013,"56,682",Tablet,,,
Bolivia (Plurinational State of),2012,"65,033",Tablet,,,
Bolivia (Plurinational State of),2011,"108,856",Tablet,,,
Ukraine,2015,1,Tablet,,,
Serbia,2012,163,Tablet,,,
Andorra,2013,3,Tablet,,,
Iceland,2013,115,Tablet,,,
Iceland,2012,14,Tablet,,,
Iceland,2011,"4,489",Tablet,,,
Ireland,2014,"13,174",Tablet,,,
Ireland,2013,986,Tablet,,,
Malta,2015,10,Tablet,,,
Poland,2013,457,Tablet,,,
Portugal,2015,2,Tablet,,,
Portugal,2014,47,Tablet,,,
Spain,2011,"4,923",Tablet,,,
Australia,2015,247,Tablet,,,
Australia,2011,25,Tablet,,,
New Zealand,2011,610,Tablet,,,
